ref,outcome,k=15,k=14,k=13,k=12,k=11,k=10,k=9,k=8,k=7,k=6,k=5,k=4,k=3,k=2,k=1
mw20.1,3,47.660261044,47.4369170785,47.2446310874,47.0439019619,46.8314964551,46.6014410577,46.3252971524,45.9839803428,45.5544605352,44.9839550743,44.1974796197,43.0387548402,41.1167822583,39.075658112,37.7046023616
mw20.2,2,41.6015010716,41.1450798944,40.6247955951,40.0606724954,39.4181821968,38.649838307,37.7186606141,36.560373837,35.1519769118,34.4228162486,33.5774130651,32.5788812667,31.0331289142,27.9954351548,27.2202507384
mw20.3,2,47.878653196,47.7410772221,47.5833217659,47.3994301095,47.1830546671,46.9235908335,46.6136795412,46.2272523157,45.7380148285,45.1808558669,44.4144409761,43.2878761221,41.4437692703,37.763582834,37.7110056521
mw20.4,3,121.0626491763,118.7264382876,116.2474637015,113.43435429,110.3457310966,106.8332772031,102.5423150701,97.1899611358,91.6976677995,85.6020077035,78.2995072798,69.8042927289,64.8732913707,57.8906924266,37.4180946754
mw20.5,3,127.649452775,125.2843935107,122.5559869523,119.3731765198,115.6140488875,111.1035179285,107.9630096186,104.2767107288,100.4585720734,95.3760919452,90.0491504963,85.7995471532,79.6149518695,67.320981387,37.6567066505
mw20.7,3,20.0781922114,19.3427948188,18.5027719366,17.5244137422,16.377131702,15.0139903806,13.3533766721,11.9242607622,10.7230437041,9.1221297913,6.8817395161,3.5252662707,3.5005094852,3.4527958708,3.316205939
mw20.8,3,40.8448914488,38.0196576823,36.4040725815,34.5193972516,34.1959486076,33.8234540472,33.5678833935,33.2734417335,32.8956531658,32.4120819499,31.9084262633,31.1566360177,29.9039301737,27.4320618788,27.0047287852
mw20.9,3,88.2125119333,86.5555825776,85.0189611919,83.580884531,81.8817307861,80.6360218896,79.2604247562,77.778190522,75.9017324957,73.5093022026,70.1696481352,65.6039010491,59.1788783989,46.4528686738,36.9397989525
mw20.10,3,47.9495139342,47.8118595132,47.6531173105,47.4679850548,47.2504489366,46.9906128209,46.680663615,46.2941253144,45.8005739228,45.2434151586,44.4819731476,43.3635178052,41.5331721766,37.9156828984,37.8585367134
mw20.11,3,77.0599669405,76.2230024859,75.2623770231,74.4587262473,73.5343988158,72.5740133817,71.4099032357,69.9550802355,68.0920546435,65.6777653862,62.2990034799,57.2309460363,48.7931306139,40.1792676486,38.0472038723
AM20.1,2,103.9863897486,101.5999062839,98.8553193974,95.6592901229,91.8899264222,87.83161574,82.8717820892,77.0017880283,70.0781280823,62.078488621,51.5512331887,40.9355862763,31.5779601415,28.4721735351,28.1629519752
AM20.2,2,82.5601166561,82.2868310802,81.972779889,81.6067845968,81.1772482775,80.6625463058,80.034893754,79.2519411825,78.2466813142,76.9070975782,75.2682365134,72.8488080321,68.8583998222,60.9499428981,37.895724871
