@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R2,165-166,274'

@attribute time numeric
@attribute orgdon-wateraccratio numeric
@attribute inorg-org-moleratio numeric
@attribute outcome {1,2,3,4}

@data
20,-0.0024,6.3889,4
20,-0.0045,4.6221,4
20,-0.0149,7.0834,4
20,-0.0061,6.8335,3
20,-0.012,6.9337,2
20,-0.0183,6.7283,4
24,-0.0077,12.4594,4
24,-0.006,13.1571,2
24,-0.018,12.9534,4
24,-0.0198,13.3723,3
24,-0.0028,8.4232,3
24,-0.0001,8.271,3
24,-0.001,12.4412,4
24,0,11.8993,3
48,-0.006,5.9677,3
48,-0.006,11.6399,3
48,-0.0064,5.9608,4
48,-0.0058,6.6325,3
48,-0.0061,12.0174,3
48,-0.0117,6.5412,3
48,-0.0128,11.7173,3
24,-0.0026,8.2894,4
24,-0.0008,8.3389,4
24,-0.0001,8.3977,3
24,0,6.7712,3
24,-0.0033,12.0436,4
24,-0.003,11.0313,4
24,-0.0009,20.5154,3
24,-0.0002,10.1774,4
24,-0.0058,6.7714,2
24,-0.0062,11.5274,3
24,-0.0056,6.2936,4
24,-0.0062,11.9501,3
24,-0.0059,6.6432,3
24,-0.0059,12.1544,2
24,-0.0122,6.4454,3
24,-0.012,12.2744,3
24,-0.0051,2.5195,4
24,0,2.7094,3
24,-0.0062,2.7177,4
24,-0.006,3.4702,4
24,-0.0098,2.6834,4
24,-0.0093,2.6038,4
24,-0.0049,2.6678,4
24,0,2.6887,4
24,-0.0095,2.6268,4
24,-0.0084,2.6838,4
24,-0.01,2.9451,4
24,-0.0091,2.9585,4
24,-0.0143,1.9158,4
24,-0.0131,1.8774,4
24,-0.0146,1.9952,3
24,-0.0126,2.0055,4
24,-0.1696,13.0808,4
24,-0.1152,1.5499,1
24,-0.0735,1.1167,4
24,-0.0698,1.1156,1
24,-0.1738,0.9767,2
24,-0.2127,0.9597,2
24,-0.1872,1.2654,3
24,-0.1841,1.2612,4
24,-0.0256,13.1706,3
24,-0.0112,13.054,1
24,-0.0138,12.0383,3
24,-0.0066,13.0574,2
24,-0.0071,10.9395,2
24,-0.0249,12.2091,4
24,-0.0269,11.791,4
24,-0.028,0.6721,3
24,-0.0228,1.0089,4
24,-0.0232,1.5144,3
24,-0.018,2.2726,4
24,-0.0119,3.8968,4
24,-0.007,7.3529,3
24,-0.0228,1.0615,3
24,-0.0184,1.5471,3
24,-0.0148,2.2061,4
24,-0.0093,4.1151,4
24,-0.005,8.127,3
24,-0.0192,1.4916,1
24,-0.014,2.375,1
24,-0.0093,5.2864,4
24,-0.0052,8.3082,3
24,-0.014,2.3477,3
24,-0.0088,4.1577,3
24,-0.0047,9.0726,3
24,-0.0092,4.0245,4
24,-0.0044,9.0425,4
24,-0.0045,8.5238,4
24,-0.0046,9.3465,3
24,-0.0177,1.3776,3
24,-0.0091,3.9174,3
24,-0.0084,4.0125,3
24,-0.0044,9.4277,3
24,-0.0154,1.7599,3
24,-0.0142,1.723,3
24,-0.0058,7.1381,4
24,-0.0228,1.0078,3
24,-0.0117,2.997,3
24,-0.0119,2.9055,3
24,-0.0065,6.2448,3
24,-0.0199,1.2846,3
24,-0.0197,1.3017,3
24,-0.0116,12.033,4
24,-0.013,21.942,4
24,-0.0138,12.1991,4
24,-0.0149,10.7742,4
24,-0.0035,11.5128,4
24,-0.0048,8.4164,4
24,-0.0033,11.1835,4
24,-0.0034,11.9431,4
24,-0.004,10.0384,4
24,-0.0034,12.4993,4
24,-0.0017,6.3546,4
24,-0.0029,5.3762,4
24,-0.0016,6.5475,4
24,-0.0027,5.4338,2
24,-0.0021,6.5356,4
24,-0.0034,9.4914,4
24,-0.0027,9.2005,4
24,-0.0032,11.7988,1
24,-0.0028,10.5805,4
24,-0.0041,10.5821,4
24,-0.0032,10.9743,1
24,-0.0114,11.4434,4
24,-0.0126,10.4252,4
24,-0.0116,11.4559,4
24,-0.0119,10.9497,4
24,-0.0118,10.9369,4
24,-0.0117,11.4904,4
24,-0.0029,7.8866,3
24,-0.0023,12.0066,3
24,-0.0023,12.0128,4
24,-0.0025,11.1824,4
24,-0.002,14.2329,4
24,-0.002,24.1981,4
24,-0.0024,11.4668,4
24,-0.0024,11.7029,1
24,-0.002,13.8903,1
24,-0.0019,15.2288,4
24,-0.0118,0.9368,4
24,-0.0169,1.0012,4
24,-0.0184,0.9663,4
24,-0.0332,1.069,4
24,-0.0127,10.52,4
24,-0.0173,10.8316,4
24,-0.0173,10.9405,4
24,-0.0342,10.8517,4
24,-0.0025,10.9317,4
24,-0.0032,8.9086,4
24,-0.0025,11.0222,4
24,-0.0024,10.1181,4
24,-0.0118,13.2225,4
24,-0.0119,12.6949,4
24,-0.0127,12.0884,4
24,0,1.0521,4
24,0,1.5086,4
24,-0.0004,1.9069,2
24,-0.0089,3.3966,4
24,-0.0028,2.6449,4
24,-0.0064,7.7511,4
24,-0.0077,5.2352,4
24,-0.0061,6.9461,4
24,-0.0058,7.1179,3
24,-0.0061,6.6786,4
24,-0.0062,6.9951,4
24,-0.0062,13.0386,1
24,-0.0067,11.5901,1
24,-0.0071,7.3812,4
24,-0.0061,7.6503,4
24,-0.0065,7.4073,4
24,-0.0063,7.9456,4
24,-0.0063,9.073,4
24,-0.007,6.7546,3
24,-0.007,6.9685,3
24,-0.0056,8.2903,1
24,-0.0068,7.4211,4
24,-0.006,7.2514,4
24,-0.0122,12.4832,1
24,-0.0125,12.8446,4
24,-0.0164,10.3086,4
24,-0.0121,12.8265,4
24,-0.0125,11.4636,4
24,-0.0132,12.8043,4
24,-0.0123,15.0492,4
24,-0.0144,14.3741,4
24,-0.0145,11.6655,4
24,-0.014,12.1087,4
24,-0.0062,10.4348,4
24,-0.006,12.8946,4
24,-0.0063,10.4439,4
24,-0.0061,12.7584,4
24,-0.0126,10.3016,4
24,-0.0127,12.4176,4
24,-0.0062,10.5936,4
24,-0.0061,12.6516,4
24,-0.006,10.8922,4
24,-0.0061,12.8947,4
24,-0.0124,10.5556,4
24,-0.0119,13.2909,4
20,-0.0023,4.5896,3
20,-0.0043,0.6618,3
20,-0.0147,1.1614,2
20,-0.0061,0.9563,3
20,-0.0125,0.9514,4
20,-0.0176,0.9703,4
20,-0.0025,0.8747,2
20,-0.0147,0.9893,2
20,-0.0064,0.9442,3
20,-0.0125,0.9122,2
24,-0.0018,3.165,1
24,-0.0013,3.1,3
24,0,3.181,3
24,0,1.6234,2
24,0,1.4651,1
24,0,2.9148,4
24,0,1.54,3
24,0,1.5245,3
24,0,1.4959,3
20,-0.0064,0.9253,3
20,-0.0033,0.895,4
20,-0.0063,0.9189,3
20,-0.0041,6.7476,4
20,-0.0001,6.5395,4
20,0,6.1278,4
20,-0.0098,6.9063,3
20,-0.0127,5.5273,3
20,-0.0002,4.7168,3
20,-0.0079,7.0022,4
20,-0.0069,6.1075,3
20,-0.0018,15.9428,3
20,-0.0127,7.3256,2
20,-0.0041,7.6594,3
20,-0.0093,6.1403,3
24,0,2.8493,4
24,-0.0054,3.2664,4
24,-0.0052,3.2155,4
24,-0.0052,3.4015,4
24,-0.0052,3.3265,4
26,-0.0043,2.8015,3
26,-0.0016,2.8148,3
26,-0.0096,3.1589,3
26,-0.0027,2.0038,3
26,-0.008,3.082,3
26,-0.0042,2.8823,3
26,-0.0088,2.7731,4
26,-0.004,3.4473,3
26,-0.0016,3.348,3
26,-0.0103,3.3972,3
26,-0.0027,2.252,3
26,-0.0082,3.3547,3
26,-0.0061,3.388,3
26,-5.8769,3.3413,3
26,-0.0097,2.976,4
20,-0.0085,6.6428,1
20,-0.0119,7.1194,1
20,-0.0073,7.6351,1
20,-0.0061,6.7109,3
20,-0.004,6.9756,4
20,-0.003,4.3081,3
20,-0.0016,6.3951,3
20,-0.0031,4.6433,3
20,-0.0103,6.8913,3
20,-0.0021,6.4595,2
20,-0.002,6.9898,2
