@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R39,41,85,96,164,240,254,267,274'

@attribute orgvanderwaalsMin numeric
@attribute orgASA+Min numeric
@attribute orghbdamsdonGeomAvg numeric
@attribute oxlikevanderwaalsMax numeric
@attribute orgacc-waterdonratio numeric
@attribute PaulingElectronegMean numeric
@attribute hardnessMaxWeighted numeric
@attribute AtomicRadiusMeanWeighted numeric
@attribute outcome {1,2}

@data
352.79,269.11,1.68,-1,-0.0098,2.09,1.8714,0.4295,2
206.42,188.71,4.96,227.57,-0.0001,1.865,0.5348,0.1989,1
298.21,211.47,0,227.57,-0.0111,1.865,0.4015,0.1712,2
273.45,228.83,3.2,227.57,-0.0028,1.865,0.424,0.1785,2
210.31,193.85,3.96,227.57,-0.0002,1.865,0.3992,0.1775,2
324.05,236.4,0,227.57,-0.0073,1.865,0.4024,0.1729,2
368.01,330.78,8.87,227.57,-0.004,1.865,0.4004,0.1744,2
239.3,132.96,0,227.57,0,1.865,0.4047,0.1727,2
301.3,233.22,6,227.57,0,1.865,0.4121,0.1781,2
289.27,244.99,1,227.57,-0.0036,1.865,0.4007,0.1746,2
352.79,269.11,1.18,227.57,-0.0029,1.865,0.4014,0.1719,2
299.78,247.15,7.19,227.57,-0.0031,1.865,0.4047,0.1741,2
295.52,244.26,3.89,227.57,-0.0004,1.865,0.3949,0.1748,2
346.48,293.38,9,227.57,-0.0035,1.865,0.4035,0.174,2
284.53,259.02,5,227.57,-0.0037,1.865,0.4057,0.1766,2
218.32,205.41,3.13,-1,-0.0202,2.09,2.0116,0.4496,2
218.32,205.41,3.13,-1,-0.0111,2.09,1.9107,0.4342,2
218.32,205.41,3.13,-1,-0.0095,2.09,1.8879,0.4314,2
273.45,228.83,3.2,-1,-0.0191,2.09,1.8929,0.4292,1
206.42,188.71,4.96,-1,-0.0008,2.09,1.9497,0.4368,2
281.27,216.3,0,-1,-0.0956,2.09,1.8358,0.4245,2
281.27,216.3,0,-1,-0.0461,2.09,1.8848,0.4299,2
281.27,216.3,0,-1,-0.0219,2.09,2.028,0.4492,2
402.71,324.98,1.06,-1,-0.0039,2.09,2.2304,0.4014,2
402.71,324.98,1.06,-1,-0.0037,2.09,2.2233,0.3981,2
294.5,268.62,0.88,-1,-0.0192,2.09,1.8381,0.4377,2
298.21,211.47,0,-1,-0.031,2.09,1.8566,0.4264,2
206.42,188.71,4.96,-1,-0.0004,2.09,1.8606,0.4261,1
281.27,216.3,0.73,-1,-0.0159,2.09,1.8993,0.4313,2
203.38,203.38,4,-1,0,2.09,1.8374,0.4245,2
310.74,287.07,0.93,-1,-0.0119,2.09,1.8808,0.433,1
324.05,236.4,0,-1,-0.0218,2.09,1.8479,0.4312,2
353.93,337.12,9.92,-1,-0.001,2.09,1.8563,0.4304,2
368.01,330.78,8.87,-1,-0.0138,2.09,1.8929,0.443,2
238.74,220.5,3,-1,0,2.09,1.076,0.2364,2
269.22,261.51,5.99,-1,0,2.09,2.3013,0.4057,2
269.22,261.51,5.99,-1,-0.0001,2.09,1.8754,0.4276,2
298.21,211.47,0.42,-1,-0.0073,2.09,2.2791,0.3991,2
294.5,268.62,0.88,-1,-0.0105,2.09,1.9232,0.4325,2
210.31,193.85,4,-1,0,2.09,1.1507,0.2453,2
206.42,188.71,5,-1,0,2.09,2.2654,0.4013,2
273.23,244.65,0.97,-1,-0.197,2.09,3.3064,0.5446,2
273.23,244.65,0.97,-1,-0.1972,2.09,4.4255,0.6722,1
206.42,188.71,5,-1,0,2.09,2.2254,0.3923,2
206.42,188.71,5,-1,0,2.09,3.329,0.5454,1
258.23,222.38,4,-1,0,2.09,2.2768,0.4024,2
258.23,222.38,4,-1,0,2.09,4.5411,0.7135,2
294.5,268.62,1,-1,-0.0051,2.09,1.1174,0.2417,2
397.24,351.09,7.98,-1,-0.0002,2.09,1.8613,0.4387,1
324.05,236.4,0.58,-1,-0.0122,2.09,1.8257,0.4187,2
294.5,268.62,1,-1,-0.0045,2.09,2.2032,0.4013,2
206.42,188.71,5,-1,0,2.09,2.2291,0.395,2
258.23,222.38,4,-1,0,2.09,2.2324,0.3977,1
207.08,189.33,6,-1,0,2.09,2.2207,0.392,2
289.27,244.99,1,-1,-0.006,2.09,4.6141,0.7301,1
273.45,228.83,3.2,-1,-0.0049,2.09,4.8255,0.7536,2
298.21,211.47,0.42,-1,-0.0106,2.09,4.5079,0.7102,2
281.27,216.3,0.21,-1,-0.0083,2.09,4.6978,0.7371,2
275.81,239.3,1.99,-1,0,2.09,2.225,0.3949,2
340.09,267.29,2,-1,0,2.09,2.2875,0.4003,2
340.09,267.29,2,-1,0,2.09,4.4074,0.6942,2
258.23,222.38,4,-1,0,2.09,2.2694,0.3975,2
258.23,222.38,4,-1,0,2.09,4.5388,0.7094,2
281.27,216.3,0.73,-1,-0.0045,2.09,2.9723,0.4972,2
281.27,216.3,0.21,-1,-0.0068,2.09,2.9787,0.5004,2
281.27,216.3,0.03,-1,-0.0082,2.09,3.1461,0.5196,2
281.27,216.3,0,-1,-0.0117,2.09,2.9659,0.501,2
273.23,244.65,0.97,-1,-0.0035,2.09,4.6265,0.726,2
281.27,216.3,0.03,-1,-0.0115,2.09,4.6578,0.7284,2
211.8,211.8,2,-1,0,2.09,2.2859,0.4093,1
211.8,211.8,2,-1,0,2.09,4.4326,0.7009,2
275.81,239.3,2,-1,0,2.09,4.4524,0.7031,2
340.09,267.29,2,-1,0,2.09,2.2825,0.3988,2
258.23,222.38,4,-1,0,2.09,2.228,0.4,2
298.21,211.47,0,-1,-0.0099,2.09,1.1544,0.2426,2
294.5,268.62,1,-1,-0.0062,2.09,1.2324,0.2553,2
294.5,268.62,1,-1,-0.0098,2.09,2.2707,0.4839,2
298.21,211.47,0.42,-1,-0.0184,2.09,2.2032,0.4785,2
298.21,211.47,0,-1,-0.0241,2.09,2.256,0.4877,2
294.5,268.62,1,-1,-0.0084,2.09,2.2795,0.4834,2
294.5,268.62,1,-1,-0.0143,2.09,2.4392,0.5084,2
294.5,268.62,1,-1,-0.0131,2.09,2.3084,0.4941,2
294.5,268.62,1,-1,-0.0146,2.09,2.2472,0.5642,2
294.5,268.62,1,-1,-0.0126,2.09,2.3239,0.5732,2
206.42,188.71,5,-1,0,2.09,4.569,0.7198,2
206.42,188.71,5,-1,0,2.09,4.5509,0.7131,1
275.81,239.3,1.99,-1,-0.0004,2.09,4.4107,0.695,2
275.81,239.3,2,-1,0,2.09,4.4679,0.703,1
210.31,193.85,4,-1,0,2.09,4.4736,0.7017,1
210.31,193.85,4,-1,0,2.09,6.0979,0.9302,1
203.38,203.38,4,-1,0,2.09,4.4746,0.7052,1
340.09,267.29,2,-1,0,2.09,4.5391,0.7151,1
340.09,267.29,2,-1,0,2.09,4.4867,0.7082,1
282.76,265.65,8,-1,0,2.09,4.4326,0.6982,2
289.27,244.99,1.56,-1,-0.0079,2.09,1.111,0.244,2
289.27,244.99,1.56,-1,-0.0064,2.09,1.5258,0.3047,2
275.81,239.3,1.93,-1,-0.0007,2.09,2.2422,0.4017,2
289.27,244.99,1.56,-1,-0.0064,2.09,1.1954,0.3429,2
289.27,244.99,1.56,-1,-0.0052,2.09,1.5016,0.3871,2
