@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-6,33,63,100,165,168,170,172,180,184,231,274'

@attribute Temp_max numeric
@attribute slowCool {yes,no}
@attribute leak {yes,no}
@attribute numberInorg numeric
@attribute orgmaximalprojectionsizeMin numeric
@attribute orgASA_PArithAvg numeric
@attribute oxlikeASA_HMax numeric
@attribute orgdon-wateraccratio numeric
@attribute Na {yes,no}
@attribute Te {yes,no}
@attribute K {yes,no}
@attribute S {yes,no}
@attribute Co {yes,no}
@attribute AtomicRadiusMax numeric
@attribute outcome {1,2,3,4}

@data
105,yes,no,2,5.92,27.89,0,-0.0062,yes,no,no,no,no,171,4
105,yes,no,2,5.92,27.89,0,-0.0069,yes,no,no,no,no,171,4
105,yes,no,2,5.92,27.89,0,-0.0064,yes,no,no,no,no,171,4
105,yes,no,2,5.92,27.89,0,-0.0066,yes,no,no,no,no,171,4
105,yes,no,2,5.92,27.89,0,-0.0073,yes,no,no,no,no,171,4
105,yes,no,2,5.92,27.89,17.64,-0.0063,yes,no,no,no,no,171,4
90,?,no,2,5.18,33.93,-1,0,yes,no,no,no,no,171,4
90,?,no,2,5.18,33.93,-1,0,yes,no,no,no,no,171,4
90,?,no,2,4.08,30.99,-1,0,yes,no,no,no,no,171,4
90,?,no,2,4.08,30.99,-1,0,yes,no,no,no,no,171,3
90,?,no,2,5.69,64.03,-1,-0.0123,yes,no,no,no,no,171,4
90,?,no,2,5.69,64.03,-1,-0.0123,yes,no,no,no,no,171,4
90,?,no,2,5.88,16.6,-1,-0.0046,yes,no,no,no,no,171,4
90,?,no,2,5.88,16.6,-1,-0.0047,yes,no,no,no,no,171,3
90,?,no,2,5.52,32.37,-1,-0.0096,yes,no,no,no,no,171,2
90,?,no,2,5.52,32.37,-1,-0.01,yes,no,no,no,no,171,2
90,?,no,2,5.71,0,-1,0,yes,no,no,no,no,171,2
90,?,no,2,5.71,0,-1,0,yes,no,no,no,no,171,2
90,?,no,2,5.18,33.93,-1,0,yes,no,no,no,no,171,4
90,?,no,2,5.18,33.93,-1,0,yes,no,no,no,no,171,4
90,?,no,2,4.08,30.99,-1,0,yes,no,no,no,no,171,4
90,?,no,2,4.08,30.99,-1,-0.0001,yes,no,no,no,no,171,3
90,?,no,2,5.69,64.03,-1,-0.0124,yes,no,no,no,no,171,4
90,?,no,2,5.69,64.03,-1,-0.0124,yes,no,no,no,no,171,4
90,?,no,2,5.88,16.6,-1,-0.0047,yes,no,no,no,no,171,4
90,?,no,2,5.88,16.6,-1,-0.0046,yes,no,no,no,no,171,4
120,?,no,2,5.25,13.86,-1,-0.0069,yes,no,no,no,no,171,4
120,yes,no,2,5.25,13.86,-1,-0.0067,yes,no,no,no,no,171,4
120,yes,no,2,5.88,16.6,-1,-0.0061,no,no,no,no,no,171,3
120,yes,no,2,5.88,16.6,-1,-0.006,no,no,no,no,no,171,3
120,yes,no,2,5.88,16.6,-1,-0.0062,no,no,no,no,no,171,3
120,yes,no,2,5.88,16.6,-1,-0.006,no,no,no,no,no,171,3
120,yes,no,2,5.88,16.6,-1,-0.0056,no,no,no,no,no,171,4
120,yes,no,2,5.4,112.14,-1,-0.023,no,no,no,no,no,171,3
120,yes,no,2,5.4,112.14,-1,-0.0235,no,no,no,no,no,171,3
120,yes,no,2,5.4,112.14,-1,-0.0311,no,no,no,no,no,171,3
120,yes,no,2,5.4,112.14,-1,-0.027,no,no,no,no,no,171,4
120,yes,no,2,5.4,112.14,-1,-0.0313,no,no,no,no,no,171,4
150,yes,no,2,5.04,64.07,-1,-0.0141,yes,no,no,no,no,171,4
150,yes,no,2,5.44,58.29,-1,-0.0231,yes,no,no,no,no,171,3
150,yes,no,2,5.69,64.03,-1,-0.0149,yes,no,no,no,no,171,4
150,yes,no,2,5.69,64.03,-1,-0.0146,yes,no,no,no,no,171,4
