sigma,0.25,1.0,4.0,16.0,64.0
0.25,0.657,0.65,0.626,0.623,0.622
1.0,0.667,0.671,0.67,0.667,0.667
4.0,0.646,0.634,0.626,0.621,0.623
16.0,0.593,0.555,0.528,0.519,0.519
64.0,0.5,0.5,0.5,0.5,0.5
