@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,9-12,18,31,39,44,82,84,168,176,180,182-183,188,228,254,274'

@attribute Temp_max numeric
@attribute slowCool {yes,no}
@attribute pH numeric
@attribute leak {yes,no}
@attribute numberComponents numeric
@attribute orgavgpolMax numeric
@attribute orgrefractivityMax numeric
@attribute orgmaximalprojectionareaMax numeric
@attribute orgavgpol_pHdependentMax numeric
@attribute orgmaximalprojectionareaMin numeric
@attribute orgvanderwaalsMin numeric
@attribute orgASA_PMin numeric
@attribute orgASA_PGeomAvg numeric
@attribute orghbdamsaccGeomAvg numeric
@attribute Na {yes,no}
@attribute Mo {yes,no}
@attribute S {yes,no}
@attribute Se {yes,no}
@attribute Zn {yes,no}
@attribute Cr {yes,no}
@attribute PaulingElectronegMax numeric
@attribute hardnessMaxWeighted numeric
@attribute outcome {1,2}

@data
90,no,1,no,3,9.94,25.21,32.65,10.63,32.65,206.42,64.03,64.03,0,no,no,no,yes,no,no,2.55,2.1928,2
90,no,1,no,3,13.88,34.29,44.31,14.51,44.31,258.23,32.37,32.37,0,no,no,no,yes,no,no,2.55,2.2119,2
90,no,1,no,3,13.33,37.45,47.62,13.69,47.62,294.5,31.24,31.24,1,no,no,no,yes,no,no,2.55,2.2341,2
90,no,1,no,3,13.33,37.45,47.62,13.69,47.62,294.5,31.24,31.24,1,yes,no,no,yes,no,no,2.55,1.353,2
90,yes,2,no,3,14.87,38.01,45.76,15.43,45.76,340.09,16.6,16.6,0,no,no,no,yes,no,no,2.55,2.218,2
90,yes,2,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,1.27,no,no,no,yes,no,no,2.55,2.5834,2
90,yes,2,no,3,13.33,37.45,47.62,13.69,47.62,294.5,31.24,31.24,1.12,no,no,no,yes,no,no,2.55,2.4869,2
90,yes,2,no,3,13.88,34.29,44.31,14.51,44.31,258.23,32.37,32.37,0,no,no,no,yes,no,no,2.55,2.2314,2
130,yes,3,no,3,14.02,36.04,43.59,14.53,43.59,275.81,13.86,13.86,0.07,yes,no,no,yes,no,no,2.55,2.3561,2
130,yes,2,no,3,14.02,36.04,43.59,14.53,43.59,275.81,13.86,13.86,0.01,yes,no,no,yes,no,no,2.55,1.9534,1
130,yes,2,yes,3,14.02,36.04,43.59,14.53,43.59,275.81,13.86,13.86,0.01,yes,no,no,yes,no,no,2.55,2.1843,1
130,yes,3,yes,3,14.02,36.04,43.59,14.53,43.59,275.81,13.86,13.86,0.07,yes,no,no,yes,no,no,2.55,2.296,1
130,yes,2,yes,3,14.02,36.04,43.59,14.53,43.59,275.81,13.86,13.86,0.01,yes,no,no,yes,no,no,2.55,2.1282,1
105,yes,2,no,4,11.97,30.74,39.23,12.54,39.23,238.74,27.89,27.89,0,yes,no,no,yes,no,no,2.55,1.5013,2
105,yes,1,no,4,11.97,30.74,39.23,12.54,39.23,238.74,27.89,27.89,0,yes,no,no,yes,no,no,2.55,1.5584,2
105,yes,3,no,4,11.97,30.74,39.23,12.54,39.23,238.74,27.89,27.89,0,yes,no,no,yes,no,no,2.55,1.511,2
90,?,5,no,3,13.33,37.45,47.62,13.33,47.62,298.21,30.99,30.99,1.99,yes,no,no,yes,no,no,2.55,1.3772,2
90,?,5,no,3,9.94,25.21,32.65,10.63,32.65,206.42,64.03,64.03,0,yes,no,no,yes,no,no,2.55,1.345,2
90,?,5,no,3,9.94,25.21,32.65,10.63,32.65,206.42,64.03,64.03,0,yes,no,no,yes,no,no,2.55,0.4824,2
90,?,5,no,3,14.87,38.01,45.76,15.43,45.76,340.09,16.6,16.6,0.04,yes,no,no,yes,no,no,2.55,1.3819,2
90,?,5,no,3,13.88,34.29,44.31,14.51,44.31,258.23,32.37,32.37,0.04,yes,no,no,yes,no,no,2.55,0.518,1
90,?,5,no,3,9.47,25.19,29.3,9.47,29.3,239.3,0,0,0,yes,no,no,yes,no,no,2.55,1.3322,1
90,?,6,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,2,yes,no,no,yes,no,no,2.55,1.122,2
90,?,5,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,2,yes,no,no,yes,no,no,2.55,0.3705,2
90,?,5,no,3,13.33,37.45,47.62,13.33,47.62,298.21,30.99,30.99,1.99,yes,no,no,yes,no,no,2.55,1.1431,2
90,?,5,no,3,13.33,37.45,47.62,13.33,47.62,298.21,30.99,30.99,1.99,yes,no,no,yes,no,no,2.55,0.5053,2
