Reaction number,Reactant 1 name,Reactant 1 mass (g),Reactant 2 name,Reactant 2 mass (g),Reactant 3 name,Reactant 3 mass (g),Reactant 4 name,Reactant 4 mass (g),Reactant 5 name,Reactant 5 mass (g),Temp (ºC),Time (h),Slow cool,pH (x = unknown),Leak,purity (0 = no data in notebook; 1 = multiphase; 2 = single phase),"outcome (0 = no data in notebook, 1 = no solid; 2 = noncrystalline/brown; 3 = powder/crystallites; 4 = large single crystals)",Notes
kc148.2,Li2CO3,0.1396,V2O5,0.3426,x,-1,x,-1,x,-1,600,24,no,x,no,1,4,
kc148.3,Li2CO3,0.1387,V2O5,0.3428,x,-1,x,-1,x,-1,500,24,no,x,no,1,4,
kc148.4,LiVO3,0.3731,TeO2,0.5634,x,-1,x,-1,x,-1,500,24,no,x,no,1,4,
kc148.5,Li2CO3,0.1396,V2O5,0.3427,x,-1,x,-1,x,-1,400,24,no,x,no,1,4,
kc148.6,Li2CO3,0.3631,TeO2,0.5483,x,-1,x,-1,x,-1,400,24,no,x,no,1,4,
kc149.1,V2O5,0.1443,Na2TeO3,0.08277,1-epip,0.0422,water,3mL,EtOH,3mL,110,120,yes,8,no,0,0,
kc149.2,V2O5,0.1445,Na2TeO3,0.0873,1-epip,0.046,water,2mL,EtOH,2mL,110,120,yes,8,no,0,0,
kc149.3,V2O5,0.1449,Na2TeO3,0.0887,1-epip,0.0488,water,1mL,EtOH,1mL,110,120,yes,x,no,0,0,
kc149.4,V2O5,0.1443,Na2TeO3,0.0701,1-epip,0.0495,water,3mL,EtOH,3mL,110,120,yes,8,no,0,0,
kc149.5,V2O5,0.1467,Na2TeO3,0.0708,1-epip,0.0465,water,2mL,EtOH,2mL,110,120,yes,8,no,0,0,
kc149.6,V2O5,0.1451,Na2TeO3,0.0695,1-epip,0.0419,water,1mL,EtOH,1mL,110,120,yes,8,no,0,0,
kc149.7,V2O5,0.1501,Na2TeO3,0.0883,1-epip,0.0686,water,3mL,EtOH,3mL,110,120,yes,8,no,0,0,
kc149.8,V2O5,0.1472,Na2TeO3,0.0894,1-epip,0.0604,water,2mL,EtOH,2mL,110,120,yes,8,no,0,0,
kc149.9,V2O5,0.1469,Na2TeO3,0.0883,1-epip,0.0758,water,1mL,EtOH,1mL,110,120,yes,8,no,0,0,
kc149.10,V2O5,0.147,Na2TeO3,0.0886,1-epip,0.025,water,3mL,EtOH,3mL,110,120,yes,8,no,0,0,
kc149.11,V2O5,0.1568,Na2TeO3,0.0886,1-epip,0.0255,water,2mL,EtOH,2mL,110,120,yes,x,no,0,0,
kc149.12,V2O5,0.1459,Na2TeO3,0.0892,1-epip,0.0321,water,1mL,EtOH,1mL,110,120,yes,x,no,0,0,
kc149.13,V2O5,0.1483,Na2TeO3,0.0874,1-epip,0.0456,water,1mL,EtOH,1mL,110,120,yes,8,no,0,0,
kc150.1,NaVO3,0.2536,Na2TeO3,0.4437,"1,3-dap",0.1495,water,7mL,x,-1,90,60,yes,x,no,1,3,
kc150.2,NaVO3,0.2448,Na2TeO3,0.4447,"1,3-dap",0.1474,water,7mL,x,-1,90,60,yes,x,no,1,3,
kc150.3,NaVO3,0.2439,Na2TeO3,0.4486,"1,3-dap",0.1499,water,7mL,x,-1,90,60,yes,12,no,1,3,
kc151.1,NaVO3,0.2417,Na2TeO3,0.4433,deta,0.2031,water,10mL,x,-1,90,48,yes,4,no,1,3,
kc151.2,NaVO3,0.247,Na2TeO3,0.4425,deta,0.209,water,10mL,x,-1,90,48,yes,11,no,0,0,
kc151.3,NaVO3,0.2426,Na2TeO3,0.4457,deta,0.2042,water,10mL,x,-1,90,48,yes,11,no,0,0,
kc152.1,NaVO3,0.2429,Na2TeO3,0.4465,deta,0.2019,water,7mL,x,-1,90,60,yes,x,no,2,3,
kc152.2,NaVO3,0.2428,Na2TeO3,0.4465,tren,0.2961,water,7mL,x,-1,90,60,yes,x,no,2,3,
kc152.3,NaVO3,0.2445,Na2TeO3,0.4447,2-mpip,0.2012,water,7mL,x,-1,90,60,yes,x,no,2,3,
kc152.4,NaVO3,0.2425,Na2TeO3,0.4448,1-mpip,0.2051,water,7mL,x,-1,90,60,yes,x,no,2,3,
kc152.5,NaVO3,0.2449,Na2TeO3,0.443,deta,0.2158,water,10mL,x,-1,90,60,yes,x,no,2,3,
kc152.6,NaVO3,0.2433,Na2TeO3,0.4434,tren,0.3015,water,10mL,x,-1,90,60,yes,x,no,2,3,
kc152.7,NaVO3,0.2425,Na2TeO3,0.4434,2-mpip,0.2074,water,10mL,x,-1,90,60,yes,x,no,2,3,
kc152.8,NaVO3,0.2442,Na2TeO3,0.4427,1-mpip,0.1992,water,10mL,x,-1,90,60,yes,x,no,2,3,
kc152.9,NaVO3,0.2433,Na2TeO3,0.4422,"1,3-dap",0.1415,water,10mL,x,-1,90,60,yes,x,no,2,3,
kc154.1,NaVO3,0.1503,Na2TeO3,0.264,deta,0.1293,water,2mL,x,-1,90,60,yes,8,no,1,4,
kc154.2,NaVO3,0.1463,Na2TeO3,0.265,tren,0.1792,water,2mL,x,-1,90,60,yes,8,no,1,4,
kc154.3,NaVO3,0.1442,Na2TeO3,0.2684,2-mpip,0.1248,water,2mL,x,-1,90,60,yes,8,no,2,3,
kc154.4,NaVO3,0.1469,Na2TeO3,0.2719,1-mpip,0.1251,water,2mL,x,-1,90,60,yes,8,no,2,3,
kc154.5,NaVO3,0.1443,Na2TeO3,0.2673,"1,3-dap",0.0867,water,2mL,x,-1,90,60,yes,8,no,1,4,
kc156.1,NaVO3,0.1495,Na2TeO3,0.2642,"1,6-dah",0.136,water,6mL,x,-1,90,60,yes,6,no,1,4,
kc156.2,NaVO3,0.1446,Na2TeO3,0.2744,dmeed,0.1353,water,6mL,x,-1,90,60,yes,8,no,0,0,
kc156.3,NaVO3,0.1456,Na2TeO3,0.264,tmed,0.133,water,6mL,x,-1,90,60,yes,8,no,1,4,
kc156.4,NaVO3,0.1446,Na2TeO3,0.2655,Hexamethylenetetramine,0.1676,water,6mL,x,-1,90,60,yes,8,no,1,3,need abreviation
kc156.5,NaVO3,0.1483,Na2TeO3,0.2696,teta,0.1783,water,6mL,x,-1,90,60,yes,8,no,1,4,
kc156.6,NaVO3,0.1454,Na2TeO3,0.2636,dabco,0.1403,water,6mL,x,-1,90,60,yes,8,no,0,0,
kc156.7,NaVO3,0.1462,Na2TeO3,0.2605,"1,2-dach",0.1409,water,6mL,x,-1,90,60,yes,8,no,1,4,
kc156.8,NaVO3,0.1512,Na2TeO3,0.267,1-epip,0.1382,water,6mL,x,-1,90,60,yes,8,no,1,4,
kc156.9,NaVO3,0.1444,Na2TeO3,0.2623,"1,4-dmpip",0.136,water,6mL,x,-1,90,60,yes,7,no,0,0,
kc156.10,NaVO3,0.1451,Na2TeO3,0.2639,"2,6-dmpip",0.1356,water,6mL,x,-1,90,60,yes,8,no,0,0,
kc156.11,NaVO3,0.1486,Na2TeO3,0.2665,"2,5-dmpip",0.1363,water,6mL,x,-1,90,60,yes,7,no,1,4,
kc156.12,NaVO3,0.1446,Na2TeO3,0.263,bapp,0.2436,water,6mL,x,-1,90,60,yes,8,no,2,3,
dh34.1,TeO2,0.4752,NaVO3,0.1591,en,0.3839,water,9.0071,x,-1,x,x,no,10,no,1,4,
dh34.2,TeO2,0.4787,NaVO3,0.1587,en,0.3793,water,9.0374,x,-1,x,x,no,10,no,1,4,
dh34.3,TeO2,0.4827,NaVO3,0.1571,en,0.3851,water,9.0153,x,-1,x,x,no,10,no,1,4,
dh34.4,TeO2,0.4791,NaVO3,0.1579,"1,3-dap",0.4471,water,9.0218,x,-1,x,x,no,10,no,2,1,
dh34.5,TeO2,0.4757,NaVO3,0.1577,"1,3-dap",0.4435,water,9.0185,x,-1,x,x,no,10,no,2,1,
dh34.6,TeO2,0.4798,NaVO3,0.1579,"1,3-dap",0.4496,water,9.184,x,-1,x,x,no,10,no,2,1,
dh34.7,TeO2,0.4776,NaVO3,0.157,tren,0.8764,water,9.0097,x,-1,x,x,no,11,no,2,2,
dh34.8,TeO2,0.476,NaVO3,0.1575,tren,0.8824,water,9.024,x,-1,x,x,no,11,no,2,2,
dh34.9,TeO2,0.4788,NaVO3,0.157,tren,0.8736,water,9.0883,x,-1,x,x,no,11,no,2,2,
dh34.10,TeO2,0.4785,NaVO3,0.1579,1-mpip,0.602,water,9.0643,x,-1,x,x,no,9,no,1,3,
dh34.11,TeO2,0.4809,NaVO3,0.1574,1-mpip,0.606,water,9.07,x,-1,x,x,no,9,no,1,3,
dh34.12,TeO2,0.48,NaVO3,0.1583,1-mpip,0.6208,water,9.0769,x,-1,x,x,no,9,no,1,3,
dh34.13,TeO2,0.4793,NaVO3,0.1594,"1,2-dap",0.4491,water,9.16,x,-1,x,x,no,11,no,2,3,
dh34.14,TeO2,0.48,NaVO3,0.158,"1,2-dap",0.449,water,9.0155,x,-1,x,x,no,11,no,2,3,
dh34.15,TeO2,0.4785,NaVO3,0.159,"1,2-dap",0.4527,water,9.0299,x,-1,x,x,no,11,no,2,3,
dh38.1,V2O5,0.1836,Na2TeO3,0.111,imidazole,0.0326,EtOH,4.0923,water,5.0011,110,x,no,x,no,0,0,
dh38.2,V2O5,0.1816,Na2TeO3,0.1145,imidazole,0.036,EtOH,4.0545,water,5.1198,110,x,no,x,no,0,0,
dh38.3,V2O5,0.1821,Na2TeO3,0.1157,teta,0.0737,EtOH,3.9932,water,5.0174,110,x,no,x,no,0,0,
dh38.4,V2O5,0.1812,Na2TeO3,0.117,teta,0.0721,EtOH,3.977,water,5.0462,110,x,no,x,no,0,0,
dh38.5,V2O5,0.1807,Na2TeO3,0.1142,pip,0.0406,EtOH,4.1095,water,5.1716,110,x,no,x,no,0,0,
dh38.6,V2O5,0.1835,Na2TeO3,0.114,pip,0.0306,EtOH,3.972,water,5.0085,110,x,no,x,no,0,0,
dh38.7,V2O5,0.1833,Na2TeO3,0.1153,"2,5-dmpip",0.0591,EtOH,3.993,water,5.1236,110,x,no,x,no,0,0,
dh38.8,V2O5,0.1802,Na2TeO3,0.1138,"2,5-dmpip",0.0568,EtOH,4.0512,water,5.1113,110,x,no,x,no,0,0,
dh38.9,V2O5,0.1815,Na2TeO3,0.1163,1-methylheptamine,0.1428,EtOH,4.3195,water,5.1329,110,x,no,x,no,0,0,
dh38.10,V2O5,0.1884,Na2TeO3,0.1173,1-methylheptamine,0.0687,EtOH,3.9768,water,5.1679,110,x,no,x,no,0,0,
dh38.11,V2O5,0.183,Na2TeO3,0.112,1-mpip,0.2372,EtOH,4.1135,water,5.0198,110,x,no,x,no,0,0,
dh38.12,V2O5,0.18,Na2TeO3,0.1164,1-mpip,0.0762,EtOH,4.0702,water,5.1011,110,x,no,x,no,0,0,
dh38.13,V2O5,0.1828,Na2TeO3,0.1121,en,0.0955,EtOH,4.0076,water,5.0965,110,x,no,x,no,0,0,
dh38.14,V2O5,0.181,Na2TeO3,0.1125,en,0.0882,EtOH,3.9547,water,5.0784,110,x,no,x,no,0,0,
dh38.15,V2O5,0.18,Na2TeO3,0.1151,"1,2-dach",0.067,EtOH,4.1212,water,5.0041,110,x,no,x,no,0,0,
dh38.16,V2O5,0.18,Na2TeO3,0.1141,"1,2-dach",0.0688,EtOH,4.004,water,5.1818,110,x,no,x,no,0,0,
dh38.17,V2O5,0.1817,Na2TeO3,0.114,tmed,0.0537,EtOH,4.0286,water,5.089,110,x,no,x,no,0,0,
dh38.18,V2O5,0.181,Na2TeO3,0.116,tmed,0.0683,EtOH,4.1822,water,5.067,110,x,no,x,no,0,0,
dh38.19,V2O5,0.1846,Na2TeO3,0.1149,hydrazine,x,EtOH,3.9689,water,5.0167,110,x,no,x,no,0,0,
dh38.20,V2O5,0.1796,Na2TeO3,0.1132,hydrazine,x,EtOH,3.9798,water,5.018,110,x,no,x,no,0,0,
dh38.21,V2O5,0.181,Na2TeO3,0.113,dmeed,0.0858,EtOH,3.9912,water,5.4128,110,x,no,x,no,0,0,
dh38.22,V2O5,0.1795,Na2TeO3,0.117,dmeed,0.0776,EtOH,3.6425,water,5.81206,110,x,no,x,no,0,0,
dh38.23,V2O5,0.1818,Na2TeO3,0.1146,dmed,0.0841,EtOH,4.031,water,5.0206,110,x,no,x,no,0,0,
dh38.24,V2O5,0.18,Na2TeO3,0.1196,dmed,0.0777,EtOH,4.0505,water,5.1121,110,x,no,x,no,0,0,
dh38.25,V2O5,0.1819,Na2TeO3,0.112,"1,4-dab",0.174,EtOH,3.977,water,5.0834,110,x,no,x,no,0,0,
dh38.26,V2O5,0.1819,Na2TeO3,0.1155,"1,4-dab",0.0602,EtOH,4.049,water,5.02,110,x,no,x,no,0,0,
dh38.27,V2O5,0.1802,Na2TeO3,0.1136,1-epip,0.0977,EtOH,4.0336,water,5.0266,110,x,no,x,no,0,0,
dh38.28,V2O5,0.184,Na2TeO3,0.1178,1-epip,0.0567,EtOH,3.944,water,5.2236,110,x,no,x,no,0,0,
dh42.1,V2O5,0.1846,Na2TeO3,0.1152,1-mhep,0.1426,EtOH,4.017,water,5.1174,110,x,no,12,no,0,0,
dh42.2,V2O5,0.181,Na2TeO3,0.1154,1-mhep,0.127,EtOH,0.39656,water,5.317,110,x,no,16,no,0,0,
dh42.3,V2O5,0.1854,Na2TeO3,0.1132,1-mhep,0.1241,EtOH,4.0539,water,5.0343,110,x,no,3,no,0,0,
dh42.4,V2O5,0.1842,Na2TeO3,0.1148,1-mhep,0.1292,EtOH,3.9508,water,5.0647,110,x,no,8,no,0,0,
dh42.5,V2O5,0.186,Na2TeO3,0.1155,1-mpip,0.1029,EtOH,3.9651,water,5.0389,110,x,no,8,no,0,0,
