Reaction number,Reactant 1 name,Reactant 1 mass (g),Reactant 2 name,Reactant 2 mass (g),Reactant 3 name,Reactant 3 mass (g),Reactant 4 name,Reactant 4 mass (g),Reactant 5 name,Reactant 5 mass (g),Temp (ºC),Time (h),Slow cool,pH (x = unknown),Leak,purity (0 = no data in notebook; 1 = multiphase; 2 = single phase),"outcome (0 = no data in notebook, 1 = no solid; 2 = noncrystalline/brown; 3 = powder/crystallites; 4 = large single crystals)",Notes
jho210.1,NH4VO3,0.1198,SeO2,0.6782,dabco,0.1197,water,6.5548,x,-1,90,48,yes,1.5,no,1,3,
jho210.2,NH4VO3,0.1174,SeO2,0.6816,dabco,0.0316,water,6.7293,x,-1,90,48,yes,1.5,no,2,3,
jho210.3,NH4VO3,0.0627,SeO2,0.6878,dabco,0.1178,water,6.3981,x,-1,90,48,yes,1.5,no,1,3,
jho210.4,NH4VO3,0.062,SeO2,0.6434,dabco,0.0238,water,6.3997,x,-1,90,48,yes,1,no,2,3,
jho210.5,V2O5,0.096,SeO2,0.6572,dabco,0.119,water,6.8529,x,-1,90,48,yes,1.5,no,2,4,
jho210.6,V2O5,0.0952,SeO2,0.6952,dabco,0.0245,water,6.0024,x,-1,90,48,yes,1,no,1,3,
jho212.1,NH4VO3,0.115,SeO2,1.1135,en,0.0728,water,6.0882,x,-1,90,48,yes,1.5,no,1,3,
jho212.2,NH4VO3,0.1121,SeO2,1.1756,en,0.1069,water,6.6781,x,-1,90,48,yes,1.5,no,1,3,
jho212.3,NH4VO3,0.1177,SeO2,1.1938,en,0.0621,water,6.062,x,-1,90,48,yes,1.5,no,1,3,
jho212.4,NH4VO3,0.112,SeO2,0.799,en,0.0666,water,6.5255,x,-1,90,48,yes,1.5,no,1,3,
jho213.1,NH4VO3,0.1175,H2SeO3,1.0791,en,0.0706,water,6.0102,x,-1,110,48,yes,1.5,no,1,2,
jho213.2,NH4VO3,0.117,H2SeO3,1.3431,en,0.0771,water,6.0448,x,-1,110,48,yes,1.5,no,1,2,
jho213.3,NH4VO3,0.1191,H2SeO3,1.0941,aqnHCl,0.2021,water,6.3565,x,-1,110,48,yes,1.5,no,1,3,
jho213.4,NH4VO3,0.1177,H2SeO3,1.2942,aqnHCl,0.2478,water,6.0441,x,-1,110,48,yes,1.5,yes,1,3,
jho213.5,NH4VO3,0.1171,H2SeO3,1.0404,2-mpip,0.1182,water,6.017,x,-1,110,48,yes,1.5,no,1,3,
jho213.6,NH4VO3,0.1143,H2SeO3,1.299,2-mpip,0.1303,water,6.0636,x,-1,110,48,yes,1.5,no,1,3,
jho213.7,NH4VO3,0.12,H2SeO3,1.0519,"2,5-dmpip",0.1269,water,6.0326,x,-1,110,48,yes,1.5,no,1,2,
jho213.8,NH4VO3,0.1123,H2SeO3,1.2833,"2,5-dmpip",0.123,water,6.0107,x,-1,110,48,yes,1.5,no,1,2,
jho213.9,NH4VO3,0.1151,H2SeO3,1.0622,"2,6-dmpip",0.1295,water,6.1629,x,-1,110,48,yes,1.5,no,2,3,
jho213.10,NH4VO3,0.1143,H2SeO3,1.2957,"2,6-dmpip",0.1174,water,6.0823,x,-1,110,48,yes,1.5,no,2,3,
jho213.11,NH4VO3,0.1202,H2SeO3,1.0326,1-mpip,0.1134,water,6.0318,x,-1,110,48,yes,1.5,no,1,3,
jho213.12,NH4VO3,0.1159,H2SeO3,1.304,1-mpip,0.1153,water,6.0587,x,-1,110,48,yes,1.5,no,1,3,
jho213.13,NH4VO3,0.1212,H2SeO3,1.0358,deta,0.1104,water,6.1441,x,-1,110,48,yes,1.5,no,2,4,
jho213.14,NH4VO3,0.1146,H2SeO3,1.3228,deta,0.1277,water,6.0065,x,-1,110,48,yes,1.5,no,2,4,
jho213.15,NH4VO3,0.118,H2SeO3,1.03,teta,0.1485,water,6.5663,x,-1,110,48,yes,1.5,no,1,4,
jho213.16,NH4VO3,0.1307,H2SeO3,1.3158,teta,0.2345,water,6.0106,x,-1,110,48,yes,1.5,no,1,4,
jho213.17,NH4VO3,0.1217,H2SeO3,1.2805,tmed,0.1179,water,6.299,x,-1,110,48,yes,1.5,no,1,3,
jho213.18,NH4VO3,0.1184,H2SeO3,1.0327,tmed,0.1169,water,6.0421,x,-1,110,48,yes,1.5,no,1,3,
jho213.19,NH4VO3,0.1129,H2SeO3,1.0696,dmed,0.091,water,6.1178,x,-1,110,48,yes,1.5,no,1,4,
jho213.20,NH4VO3,0.1171,H2SeO3,1.3558,dmed,0.0851,water,6.0548,x,-1,110,48,yes,1.5,no,2,4,
jho218.1,NH4VO3,0.1172,SeO2,1.0981,teta,0.1479,water,7.2361,x,-1,110,48,yes,1.5,no,1,4,
jho218.2,NH4VO3,0.1208,SeO2,1.332,teta,0.1525,water,7.0913,x,-1,110,48,yes,1.5,no,1,4,
jho218.3,NH4VO3,0.118,SeO2,1.0601,dmed,0.0938,water,7.0326,x,-1,110,48,yes,1.5,no,1,4,
jho218.4,NH4VO3,0.1176,SeO2,1.3064,dmed,0.0977,water,7.3199,x,-1,110,48,yes,1.5,no,1,3,
jho218.5,NH4VO3,0.1259,SeO2,1.0105,3-apyrHCl,0.1583,water,7.0121,x,-1,110,48,yes,1.5,no,1,3,"js: this read 3-apry, assuming it is an error and corrected it"
jho218.6,NH4VO3,0.116,SeO2,1.3768,3-apyrHCl,0.1584,water,7.2458,x,-1,110,48,yes,1.5,no,1,4,"js: this read 3-apry, assuming it is an error and corrected it"
jho218.7,NH4VO3,0.1153,SeO2,1.357,dabco,0.1282,water,7.2312,x,-1,110,48,yes,1.5,no,2,3,
jho218.8,NH4VO3,0.1194,SeO2,1.0055,dabco,0.1254,water,7.2502,x,-1,110,48,yes,1.5,no,2,3,
jho218.9,NH4VO3,0.1172,SeO2,0.9812,hpip,0.1027,water,7.0367,x,-1,110,48,yes,1.5,no,1,3,
jho218.10,NH4VO3,0.1185,SeO2,1.3253,hpip,0.1054,water,7.2456,x,-1,110,48,yes,1.5,no,1,3,
jho218.11,NH4VO3,0.1174,SeO2,1.0642,pip,0.0961,water,7.1912,x,-1,110,48,yes,1.5,no,1,3,
jho218.12,NH4VO3,0.1195,SeO2,1.5712,pip,0.1067,water,7.3876,x,-1,110,48,yes,1.5,yes,0,0,
jho220.1,NH4VO3,0.1186,SeO2,0.4493,tmed,0.1183,water,9.2845,x,-1,90,24,yes,1.5,no,2,3,
jho220.2,NH4VO3,0.1145,SeO2,0.6579,tmed,0.127,water,8.8595,x,-1,90,24,yes,1.5,no,2,3,
jho220.3,NH4VO3,0.116,SeO2,1.2025,tmed,0.1234,water,9.3759,x,-1,90,24,yes,1.5,no,2,3,
jho220.4,NH4VO3,0.121,SeO2,1.3258,tmed,0.1137,water,8.9073,x,-1,90,24,yes,1.5,no,2,3,
jho220.5,NH4VO3,0.1168,SeO2,0.6965,deta,0.1385,water,8.9696,x,-1,90,24,yes,1.5,no,1,4,
jho220.6,NH4VO3,0.116,SeO2,0.4744,deta,0.1086,water,8.9911,x,-1,90,24,yes,1.5,no,2,4,
jho220.7,NH4VO3,0.1127,SeO2,1.1093,deta,0.1089,water,9.0335,x,-1,90,24,yes,1.5,no,1,4,
jho220.8,NH4VO3,0.1176,SeO2,1.3614,deta,0.1182,water,8.8821,x,-1,90,24,yes,1.5,no,1,4,
jho220.9,NH4VO3,0.117,SeO2,0.4374,"1,4-dmpip",0.1248,water,8.8875,x,-1,90,24,yes,1.5,no,1,3,
jho220.10,NH4VO3,0.1182,SeO2,0.6717,"1,4-dmpip",0.1127,water,9.1504,x,-1,90,24,yes,1.5,no,2,3,
jho220.11,NH4VO3,0.1153,SeO2,1.1031,"1,4-dmpip",0.1246,water,9.072,x,-1,90,24,yes,1.5,no,2,3,
jho220.12,NH4VO3,0.1181,SeO2,1.3246,"1,4-dmpip",0.1153,water,8.9553,x,-1,90,24,yes,1.5,no,1,3,
jho95.1,V2O5,0.0919,SeO2,0.7662,2-mpip,0.0987,water,5.9782,x,-1,90,48,no,1,no,1,3,
jho95.2,V2O5,0.0914,SeO2,0.6523,3-apyrHCl,0.1658,water,6.22,x,-1,90,48,no,1,no,1,3,
jho95.3,V2O5,0.0934,SeO2,0.658,"2,5-dmpip",0.1131,water,5.9926,x,-1,90,48,no,1,no,1,3,
jho95.4,V2O5,0.0918,SeO2,0.6625,tmed,0.115,water,6.0744,x,-1,90,48,no,1,no,1,3,
jho95.5,V2O5,0.0928,SeO2,0.6646,aqnHCl,0.1975,water,5.9827,x,-1,90,48,no,1,no,1,4,
jho95.6,NaVO3,0.1447,SeO2,0.4025,aqnHCl,0.2379,water,9.4239,x,-1,90,48,no,1,no,1,4,
jho222.1,V2O5,0.0921,SeO2,0.6598,tmed,0.1134,water,6.1346,x,-1,90,24,yes,1.5,no,2,4,
jho222.2,V2O5,0.0928,SeO2,0.7024,hmta,0.1446,water,6.0044,x,-1,90,24,yes,1.5,no,1,3,
jho222.3,V2O5,0.0914,SeO2,0.7685,2-mpip,0.112,water,6.0189,x,-1,90,24,yes,1.5,no,2,3,
jho222.4,V2O5,0.0991,SeO2,0.658,3-apyrHCl,0.1557,water,6.0872,x,-1,90,24,yes,1.5,no,1,4,
jho222.5,V2O5,0.0993,SeO2,0.7398,aqnHCl,0.2009,water,7.567,x,-1,90,24,yes,1.5,no,1,4,
jho222.6,V2O5,0.0961,SeO2,0.6638,"2,5-dmpip",0.1148,water,6.1056,x,-1,90,24,yes,1.5,no,2,3,
jho224.1,NaVO3,0.1251,SeO2,0.7009,"1,4-dmpip",0.1255,water,6.0291,x,-1,130,20,yes,2.5,no,2,4,
jho224.2,NaVO3,0.1252,SeO2,0.5811,"1,4-dmpip",0.1177,water,6.1814,x,-1,130,20,yes,2,no,1,2,
jho224.3,NaVO3,0.1201,SeO2,0.6498,"1,4-dmpip",0.1123,water,6.0752,x,-1,130,20,yes,1.5,yes,0,0,
jho224.4,NaVO3,0.1221,SeO2,0.683,"1,4-dmpip",0.1132,water,8.9763,x,-1,130,20,yes,3,yes,0,0,
jho224.5,NaVO3,0.1269,SeO2,0.6354,"1,4-dmpip",0.1062,water,9.2738,x,-1,130,20,yes,3,yes,0,0,
jho224.6,NaVO3,0.1243,SeO2,0.6331,"1,4-dmpip",0.126,water,9.0419,x,-1,130,20,yes,1.5,yes,0,0,
jho225.1,NH4VO3,0.1186,SeO2,0.4557,1-mpip,0.1048,Na2C2O4,0.1071,water,9.0746,105,60,yes,2,no,1,4,
jho225.2,NH4VO3,0.1188,SeO2,0.4466,1-mpip,0.1164,Na2C2O4,0.1221,water,9.1513,105,60,yes,2,no,1,4,
jho225.3,NH4VO3,0.1274,SeO2,0.4636,1-mpip,0.1095,Na2C2O4,0.1041,water,9.1889,105,60,yes,1,no,1,4,
jho225.4,NH4VO3,0.1181,SeO2,0.3468,1-mpip,0.1078,Na2C2O4,0.1213,water,8.8621,105,60,yes,1,no,1,4,
jho225.5,NH4VO3,0.117,SeO2,0.4495,1-mpip,0.122,Na2C2O4,0.112,water,9.0188,105,60,yes,3,no,2,4,
jho225.6,NH4VO3,0.1328,SeO2,0.3416,1-mpip,0.1074,Na2C2O4,0.1158,water,9.2003,105,60,yes,4,no,1,4,
jho96.1,NaVO3,0.1494,SeO2,0.4025,2-mpip,0.1237,water,9.0734,x,-1,90,24,,5,no,1,4,
jho96.2,NaVO3,0.1448,SeO2,0.1694,2-mpip,0.1315,water,9.0584,x,-1,90,24,,5,no,1,4,
jho96.3,NaVO3,0.1446,SeO2,0.4097,aqnHCl,0.2217,water,8.939,x,-1,90,24,,5,no,2,4,
jho96.4,NaVO3,0.1459,SeO2,0.1441,aqnHCl,0.2485,water,9.1065,x,-1,90,24,,5,no,2,3,
jho96.5,NaVO3,0.1479,SeO2,0.4001,3-apyrHCl,0.1963,water,9.038,x,-1,90,24,,5,no,1,4,
jho96.6,NaVO3,0.1441,SeO2,0.1435,3-apyrHCl,0.2033,water,9.3484,x,-1,90,24,,5,no,2,4,
jho96.7,NaVO3,0.1473,SeO2,0.4111,tmed,0.1377,water,9.0432,x,-1,90,24,,5,no,2,4,
jho96.8,NaVO3,0.1469,SeO2,0.1603,tmed,0.1417,water,9.1333,x,-1,90,24,,5,no,2,3,
jho96.9,NaVO3,0.1471,SeO2,0.4135,"2,5-dmpip",0.1385,water,9.0526,x,-1,90,24,,5,no,1,2,
jho96.10,NaVO3,0.1484,SeO2,0.1541,"2,5-dmpip",0.144,water,8.9969,x,-1,90,24,,5,no,1,2,
jho96.11,NaVO3,0.1473,SeO2,0.3963,"1,2-dap",0.0935,water,8.9762,x,-1,90,24,,5,no,1,2,
jho96.12,NaVO3,0.1468,SeO2,0.1667,"1,2-dap",0.0914,water,9.1654,x,-1,90,24,,5,no,2,2,
jho96.13,NaVO3,0.1544,SeO2,0.3958,"2,5-dmpip",0.1356,water,8.9895,x,-1,90,24,,x,no,1,2,
jho96.14,NaVO3,0.1473,SeO2,0.4083,tmed,0.1369,water,9.1539,x,-1,90,24,,x,no,2,3,
jho96.15,NaVO3,0.1456,Na2SeO3,0.5202,2-mpip,0.1385,water,9.1411,x,-1,90,24,,5.5,no,1,4,
jho96.16,NaVO3,0.1453,Na2SeO3,0.1718,2-mpip,0.12,water,9.0591,x,-1,90,24,,5,no,2,4,
jho96.17,NaVO3,0.147,Na2SeO3,0.53,aqnHCl,0.2344,water,9.0458,x,-1,90,24,,5,no,2,4,
jho96.18,NaVO3,0.1479,Na2SeO3,0.2343,aqnHCl,0.3739,water,9.0328,x,-1,90,24,,5,no,2,3,
jho96.19,NaVO3,0.1463,Na2SeO3,0.5151,3-apyrHCl,0.1973,water,9.0186,x,-1,90,24,,5,no,1,4,
jho96.20,NaVO3,0.1462,Na2SeO3,0.1651,3-apyrHCl,0.1967,water,8.9936,x,-1,90,24,,5,no,2,4,
jho96.21,NaVO3,0.148,Na2SeO3,0.5264,tmed,0.1384,water,9.0049,x,-1,90,24,,5,no,2,4,
jho96.22,NaVO3,0.1489,Na2SeO3,0.2004,tmed,0.135,water,8.9331,x,-1,90,24,,5,no,1,4,
jho227.1,NaVO3,0.127,SeO2,0.6933,"1,4-dmpip",0.136,water,6.0434,x,-1,120,60,,3,no,1,4,
jho227.2,NaVO3,0.1273,SeO2,0.6986,"1,4-dmpip",0.1334,water,6.0318,x,-1,120,60,yes,3,no,1,4,
jho228.1,NH4VO3,0.1197,SeO2,0.5568,tmed,0.1186,water,6.0622,x,-1,120,60,yes,2,no,1,3,
jho228.2,NH4VO3,0.1164,SeO2,0.6601,tmed,0.1181,water,6.0574,x,-1,120,60,yes,2,no,1,3,
jho228.3,NH4VO3,0.113,SeO2,0.7903,tmed,0.1221,water,6.1044,x,-1,120,60,yes,2,no,1,3,
jho228.4,NH4VO3,0.1175,SeO2,0.8806,tmed,0.1182,water,6.1095,x,-1,120,60,yes,2,no,1,3,
jho228.5,NH4VO3,0.1156,SeO2,1.0015,tmed,0.1119,water,6.1647,x,-1,120,60,yes,1,no,1,4,
jho228.6,NH4VO3,0.119,SeO2,0.5676,deta,0.1025,water,6.216,x,-1,120,60,yes,2,no,1,3,
jho228.7,NH4VO3,0.1201,SeO2,0.6621,deta,0.1012,water,6.0094,x,-1,120,60,yes,2,no,1,3,
jho228.8,NH4VO3,0.1152,SeO2,0.7743,deta,0.1344,water,6.0309,x,-1,120,60,yes,2,no,1,3,
jho228.9,NH4VO3,0.1142,SeO2,0.8914,deta,0.1179,water,6.1049,x,-1,120,60,yes,1.5,no,1,4,
jho228.10,NH4VO3,0.1149,SeO2,0.9934,deta,0.135,water,6.0189,x,-1,120,60,yes,1,no,2,4,
jho230.1,NaVO3,0.1218,SeO2,0.6937,R-3-apyrHCl,0.1524,water,6.1,x,-1,150,20,yes,1,no,1,4,
jho230.2,NaVO3,0.1214,SeO2,0.7048,S-3-apyr,0.1388,water,6.2966,x,-1,150,20,yes,1,no,1,3,
jho230.3,NaVO3,0.1227,SeO2,0.671,3-apyrHCl,0.1612,water,6.1152,x,-1,150,20,yes,1,no,1,4,
jho230.4,NaVO3,0.1205,SeO2,0.706,3-apyrHCl,0.1562,water,6.0608,x,-1,150,20,yes,1,no,1,4,
jho231.1,NaVO3,0.1205,SeO2,0.6882,R-2-mpip,0.1018,water,8.9346,Na2C2O4,0.1363,130,20,yes,2,no,2,4,
jho231.2,NaVO3,0.119,SeO2,0.6745,S-2-mpip,0.1018,water,8.7298,Na2C2O4,0.1352,130,20,yes,2,no,2,4,
jho231.3,NaVO3,0.1255,SeO2,0.6635,S-3-apyr,0.1529,water,8.8496,Na2C2O4,0.1322,130,20,yes,1,no,1,4,
jho231.4,NaVO3,0.1232,SeO2,0.6633,R-3-apyrHCl,0.1689,water,8.9455,Na2C2O4,0.1422,130,20,yes,1,no,1,4,
jho231.5,NaVO3,0.1318,SeO2,0.6692,dmed,0.0907,water,9.0264,Na2C2O4,0.1334,130,20,yes,2,no,2,4,
jho231.6,NaVO3,0.1303,SeO2,0.6589,teta,0.144,water,9.0285,Na2C2O4,0.1312,130,20,yes,2,no,1,4,
jho231.7,NaVO3,0.12,SeO2,0.6613,tren,0.1483,water,8.8613,Na2C2O4,0.1322,130,20,yes,2,no,1,4,
jho231.8,NaVO3,0.119,SeO2,0.6685,bapp,0.2147,water,8.9922,Na2C2O4,0.1322,130,20,yes,2,no,1,3,
jho233.1,VOSO4,0.3262,SeO2,0.5605,pip,0.333,water,2.2821,x,-1,110,72,,6,no,1,4,GMN: It's unclear whether slow cool was used on these reactions. It's not mentioned directly.
jho233.2,VOSO4,0.3194,SeO2,0.5756,2-mpip,0.3724,water,2.2133,x,-1,110,72,,6,no,1,4,
jho233.3,VOSO4,0.3839,SeO2,0.5872,"2,5-dmpip",0.4184,water,2.3021,x,-1,110,72,,5.5,no,1,4,
jho233.4,VOSO4,0.3209,SeO2,0.5938,"1,4-dmpip",0.4179,water,2.2434,x,-1,110,72,,4.5,no,2,4,
jho233.5,VOSO4,0.3196,SeO2,0.5539,1-mpip,0.3884,water,2.6134,x,-1,110,72,,6,no,1,1,
jho233.6,VOSO4,0.3337,SeO2,0.5522,dabco,0.4265,water,2.2934,x,-1,110,72,,4,no,2,4,
jho233.7,VOSO4,0.3239,SeO2,0.5749,tmed,0.4229,water,2.3114,x,-1,110,72,,6,no,2,1,
jho233.8,VOSO4,0.3203,SeO2,0.5581,deta,0.3964,water,2.2484,x,-1,110,72,,7,no,2,3,
jho234.1,VOSO4,0.3345,SeO2,0.554,pip,0.3204,water,2.4466,x,-1,110,312,,6,no,1,4,
jho234.2,VOSO4,0.3267,SeO2,0.5584,2-mpip,0.3796,water,2.3974,x,-1,110,312,,6,no,1,4,
jho234.3,VOSO4,0.3287,SeO2,0.5611,"2,5-dmpip",0.4181,water,2.2128,x,-1,110,312,,6,no,1,4,
jho234.4,VOSO4,0.315,SeO2,0.5692,"1,4-dmpip",0.4166,water,2.2558,x,-1,110,312,,4.5,no,1,4,
jho234.5,VOSO4,0.3215,SeO2,0.556,1-mpip,0.3818,water,2.4076,x,-1,110,312,,6,no,1,4,
jho234.6,VOSO4,0.3356,SeO2,0.5628,dabco,0.4112,water,2.2013,x,-1,110,312,,4.5,no,2,4,
jho234.7,VOSO4,0.3262,SeO2,0.5567,tmed,0.4346,water,2.1962,x,-1,110,312,,6,no,2,3,
jho234.8,VOSO4,0.3261,SeO2,0.5581,deta,0.3906,water,2.2273,x,-1,110,312,,7,no,2,2,
jho236.1,NaVO3,0.1455,Na2TeO3,0.349,3-apyrHCl,0.1917,Na2C2O4,0.1019,water,6.0282,90,60,yes,7,no,1,2,GMN: HCl not indicated one way or another. Which should I put?
jho236.2,NaVO3,0.1459,Na2TeO3,0.269,2-mpip,0.1216,Na2C2O4,0.1376,water,6.583,90,60,yes,7,no,2,3,
jho236.3,NaVO3,0.1405,Na2TeO3,0.262,aqnHCl,0.2408,Na2C2O4,0.1027,water,6.0106,90,60,yes,7,no,2,3,"GMN: Again HCl not notated. aqn is aqnHCl be default, correct?"
jho236.4,NaVO3,0.1451,Na2TeO3,0.2767,"2,5-dmpip",0.1327,Na2C2O4,0.1082,water,6.0018,90,60,yes,7,no,2,3,
jho236.5,NaVO3,0.1433,Na2TeO3,0.2737,pip,0.1474,Na2C2O4,0.1059,water,6.0653,90,60,yes,7,no,2,3,
jho236.6,NaVO3,0.15,Na2TeO3,0.2605,hpip,0.1339,Na2C2O4,0.1063,water,6.1677,90,60,yes,7,no,2,4,
jho236.7,NaVO3,0.1426,Na2TeO3,0.2626,"2,6-dmpip",0.1335,Na2C2O4,0.105,water,6.0794,90,60,yes,7,no,2,3,
jho236.8,NaVO3,0.1462,Na2TeO3,0.2619,dabco,0.194,Na2C2O4,0.1028,water,6.0243,90,60,yes,7,no,2,3,
jho236.9,NaVO3,0.1453,Na2TeO3,0.2613,teta,0.1726,Na2C2O4,0.1046,water,6.0177,90,60,yes,7,no,2,3,
jho236.10,NaVO3,0.1417,Na2TeO3,0.2641,"1,2-dap",0.0917,Na2C2O4,0.106,water,6.1339,90,60,yes,7,no,2,3,
jho236.11,NaVO3,0.1477,Na2TeO3,0.2716,"1,3-dap",0.0894,Na2C2O4,0.1068,water,6.0735,90,60,yes,7,no,2,3,
jho236.12,NaVO3,0.1475,Na2TeO3,0.2689,"1,5-dap",0.1281,Na2C2O4,0.1034,water,6.204,90,60,yes,7,no,2,3,
jho236.13,NaVO3,0.1422,Na2TeO3,0.362,"1,6-dah",0.1406,Na2C2O4,0.1044,water,6.0519,90,60,yes,7,no,2,3,
jho236.14,NaVO3,0.1471,Na2TeO3,0.264,1-mpip,0.127,Na2C2O4,0.1067,water,6.1116,90,60,yes,7,no,1,3,
jho236.15,NaVO3,0.1455,Na2TeO3,0.2615,"1,4-dmpip",0.1392,Na2C2O4,0.1047,water,6.091,90,60,yes,7,no,2,3,
jho236.16,NaVO3,0.1415,Na2TeO3,0.2619,tmed,0.138,Na2C2O4,0.1054,water,6.0586,90,60,yes,7,no,1,3,
jho236.17,NaVO3,0.1437,Na2TeO3,0.2641,deta,0.133,Na2C2O4,0.1052,water,6.1038,90,60,yes,7,no,1,3,
jho236.18,NaVO3,0.1473,Na2TeO3,0.2577,dmed,0.1134,Na2C2O4,0.107,water,6.0662,90,60,yes,7,no,2,3,
jho236.19,NaVO3,0.144,Na2TeO3,0.2633,tren,0.1727,Na2C2O4,0.1069,water,6.0936,90,60,yes,7,no,1,4,
jho236.20,NaVO3,0.1471,Na2TeO3,0.2647,aep,0.1616,Na2C2O4,0.1076,water,6.0558,90,60,yes,7,no,1,4,
jho239.1,VOSO4,0.3277,SeO2,0.5984,pip,0.3482,water,3.1324,x,-1,110,24,yes,7,no,1,4,
jho239.2,VOSO4,0.3248,SeO2,0.5684,pip,0.3467,water,5.6943,x,-1,110,24,yes,7,no,1,4,
jho239.3,VOSO4,0.3209,SeO2,0.5626,pip,0.35,water,1.1545,x,-1,110,24,yes,7,no,2,4,
jho239.4,VOSO4,0.3256,SeO2,0.5616,pip,0.1781,water,3.4244,x,-1,110,24,yes,7,yes,1,4,
jho239.5,VOSO4,0.32,SeO2,0.5631,"2,5-dmpip",0.4596,water,3.0382,x,-1,110,24,yes,7,no,1,2,
jho239.6,VOSO4,0.3302,SeO2,0.5575,"2,5-dmpip",0.1674,water,3.4214,x,-1,110,24,yes,7,no,2,3,
jho239.7,VOSO4,0.3195,SeO2,0.58,3-apyrHCl,0.5436,water,3.0578,x,-1,110,24,yes,7,no,2,3,
jho239.8,VOSO4,0.3233,SeO2,0.548,3-apyrHCl,0.3244,water,3.427,x,-1,110,24,yes,7,no,2,3,
jho239.9,VOSO4,0.326,SeO2,0.5461,2-mpip,0.3947,water,1.5801,x,-1,110,24,yes,7,no,1,4,
jho239.10,VOSO4,0.3234,SeO2,0.5607,2-mpip,0.4065,water,3.378,x,-1,110,24,yes,7,no,1,4,Purity corrected to 1 on review of original rxn by MDS
jho239.11,VOSO4,0.3211,SeO2,0.549,2-mpip,0.4202,water,6.1626,x,-1,110,24,yes,7,no,1,4,
jho239.12,VOSO4,0.3226,SeO2,0.6033,2-mpip,0.2011,water,3.5166,x,-1,110,24,yes,7,no,1,3,
jho241.1,NaVO3,0.1368,SeO2,0.6526,R-aqnHCl,0.1875,water,6.1111,x,-1,150,20,yes,1,no,2,4,"This one just says ""150°C, 20hr 6°C/hr."" presumably this indicates a slow cool even though it isn't explicit?
ajn:  yes, the 6ºC/h is the slow cool"
jho241.2,NaVO3,0.1382,SeO2,0.6625,R-aqnHCl,0.1984,water,6.0522,x,-1,150,20,yes,1,no,2,4,
jho241.3,NaVO3,0.1332,SeO2,0.6635,S-aqnHCl,0.2067,water,6.2674,x,-1,150,20,yes,1,no,2,4,
jho241.4,NaVO3,0.1299,SeO2,0.6614,S-aqnHCl,0.1912,water,6.1668,x,-1,150,20,yes,1,no,2,4,
jho242.1,VOSO4,0.3507,SeO2,0.5468,aqnHCl,0.3701,water,2.9855,x,-1,90,24,yes,1.5,no,2,3,
jho242.2,VOSO4,0.3242,SeO2,0.5523,aqnHCl,0.3721,water,3.323,x,-1,90,24,yes,6.5,no,1,4,
jho242.3,VOSO4,0.3232,SeO2,0.5463,3-apyrHCl,0.2749,water,3.3762,x,-1,90,24,yes,1,no,2,1,GMN: Again HCl Not specified. I'm going to have to come back to these because they're basically all not specified
jho242.4,VOSO4,0.3225,SeO2,0.5535,3-apyrHCl,0.2982,water,3.0914,x,-1,90,24,yes,7,no,2,2,
jho242.5,VOSO4,0.3224,SeO2,0.565,2-mpip,0.2022,water,3.0965,x,-1,90,24,yes,1.5,no,2,4,
jho242.6,VOSO4,0.3385,SeO2,0.5666,2-mpip,0.2154,water,3.0065,x,-1,90,24,yes,7,no,2,3,
jho242.7,VOSO4,0.3256,SeO2,0.5466,pip,0.1759,water,2.9737,x,-1,90,24,yes,1.5,no,2,3,
jho242.8,VOSO4,0.3328,SeO2,0.557,pip,0.1807,water,3.0709,x,-1,90,24,yes,7,no,1,4,
jho242.9,VOSO4,0.3304,SeO2,0.5595,"2,6-dmpip",0.2062,water,3.083,x,-1,90,24,yes,1.5,no,2,1,
jho242.10,VOSO4,0.3357,SeO2,0.5497,"2,6-dmpip",0.2197,water,3.3633,x,-1,90,24,yes,7,no,2,3,
jho242.11,VOSO4,0.3319,SeO2,0.5522,teta,0.3184,water,3.209,x,-1,90,24,yes,4,no,2,3,
jho242.12,VOSO4,0.3464,SeO2,0.5631,teta,0.3028,water,3.0452,x,-1,90,24,yes,7,no,2,3,
jho244.1,VOSO4,0.165,SeO2,0.8586,1-mpip,0.1011,water,5.756,x,-1,110,24,yes,4,no,1,3,
jho244.2,VOSO4,0.1675,SeO2,0.3201,1-mpip,0.1016,water,5.9121,x,-1,110,24,yes,1.5,no,2,3,
jho244.3,VOSO4,0.322,SeO2,0.678,1-mpip,0.2041,water,5.9083,x,-1,110,24,yes,1.5,no,1,3,
jho244.4,VOSO4,0.1652,SeO2,0.3267,aep,0.1296,water,6.1059,x,-1,110,24,yes,1.5,no,2,3,
jho244.5,VOSO4,0.1676,SeO2,0.6846,aep,0.1233,water,5.8948,x,-1,110,24,yes,1.5,no,1,3,
jho244.6,VOSO4,0.3215,SeO2,0.5579,aep,0.2606,water,6.4092,x,-1,110,24,yes,1.5,no,2,3,
jho244.7,VOSO4,0.1693,SeO2,0.361,aqnHCl,0.2111,water,7.1149,x,-1,110,24,yes,1.5,no,1,4,
jho244.8,VOSO4,0.1609,SeO2,0.678,aqnHCl,0.2067,water,6.2013,x,-1,110,24,yes,2.5,no,1,4,
jho244.9,VOSO4,0.3184,SeO2,0.5721,aqnHCl,0.3979,water,5.9003,x,-1,110,24,yes,2,no,1,4,
jho244.10,VOSO4,0.1647,SeO2,0.3423,hpip,0.1186,water,6.0806,x,-1,110,24,yes,1.5,no,2,3,
