@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R5,25,60,164,172,175,180,241,274'

@attribute leak {yes,no}
@attribute orgASA_PMax numeric
@attribute orgASA+ArithAvg numeric
@attribute orgacc-waterdonratio numeric
@attribute K {yes,no}
@attribute I {yes,no}
@attribute S {yes,no}
@attribute PearsonElectronegMean numeric
@attribute outcome {1,2}

@data
no,60.56,180.175,-0.2061,no,no,no,440.25,2
no,60.56,180.175,-1.0014,no,no,no,440.25,2
no,46.13,203.95,-0.6196,no,no,no,440.25,2
no,46.13,203.95,-0.6199,no,no,no,440.25,2
no,13.98,214.35,-0.0118,no,no,no,440.25,2
no,25.06,177.86,-0.0145,no,no,no,440.25,2
no,33.93,216.3,-0.0249,no,no,no,440.25,2
no,33.93,216.3,-0.0263,no,no,no,440.25,2
no,37.25,315.94,-0.047,no,no,no,440.25,2
no,37.25,315.94,-0.0469,no,no,no,440.25,2
no,19.12,215.15,-0.0146,no,no,no,440.25,2
no,61.92,171.035,-0.6196,no,no,no,440.25,2
no,46.13,191.165,-0.6197,no,no,no,440.25,2
no,96.38,181.11,-0.6179,no,no,no,440.25,2
no,96.38,181.11,-0.6168,no,no,no,440.25,2
no,46.13,192.14,-0.6216,no,no,no,440.25,2
no,46.13,192.14,-0.6254,no,no,no,440.25,2
no,46.13,192.14,-0.6261,no,no,no,440.25,2
no,25.06,177.86,-0.0092,no,no,no,440.25,2
no,112.14,265.65,0,no,no,no,440.25,2
no,33.96,274.38,-0.0089,no,no,no,440.25,1
no,104.8,247.15,-0.0112,no,no,no,440.25,2
no,143.27,293.38,-0.0111,no,no,no,440.25,2
no,33.93,216.3,-0.0239,no,no,no,440.25,2
no,96.38,194.24,-0.0002,no,no,no,440.25,2
no,96.39,258.26,0,no,no,no,440.25,2
no,24.54,276.46,-0.0026,no,no,no,440.25,1
no,14.69,269.11,-0.0034,no,no,no,440.25,2
no,18.92,200.46,-0.0141,no,no,no,440.25,2
no,111.5,324.71,-0.0059,no,no,no,440.25,2
no,13.98,214.35,-0.0037,no,no,no,440.25,1
no,40.31,189.97,-0.0011,no,no,no,440.25,2
no,14.18,239.92,-0.0036,no,no,no,440.25,2
no,27.88,236.4,-0.0075,no,no,no,440.25,1
no,102.72,370.3,-0.0045,no,no,no,440.25,2
no,27.06,192.82,-0.0146,no,no,no,440.25,2
no,27.06,192.82,-0.0149,no,no,no,440.25,2
no,60.56,192.37,-0.0083,no,no,no,440.25,1
no,60.56,192.37,-0.0082,no,no,no,440.25,1
no,60.56,192.37,-0.0082,no,no,no,440.25,1
no,37.25,315.94,-0.0411,no,no,no,440.25,1
no,37.25,315.94,-0.0404,no,no,no,440.25,1
no,27.25,224.12,-0.0124,no,no,no,440.25,2
no,27.25,224.12,-0.0127,no,no,no,440.25,2
no,0,132.96,0,no,no,no,440.25,2
no,46.13,229.175,-0.6139,no,no,no,440.25,1
no,46.13,229.175,-0.6298,no,no,no,440.25,1
no,46.13,196.05,-0.6191,no,no,no,440.25,1
no,46.13,199.885,-0.6182,no,no,no,440.25,1
no,46.13,194.24,-0.6125,no,no,no,440.25,1
no,46.13,218.545,-0.6021,no,no,no,440.25,1
no,46.13,219.145,-0.6253,no,no,no,440.25,1
no,46.13,217.635,-0.6164,no,no,no,440.25,1
no,46.13,208.735,-0.6207,no,no,no,440.25,1
no,46.13,203.95,-0.6122,no,no,no,440.25,1
no,46.13,208.735,-0.6282,no,no,no,440.25,1
no,46.13,202.25,-0.6143,no,no,no,440.25,1
no,46.13,186.695,-0.5137,no,no,no,440.25,2
no,46.13,191.165,-0.6087,no,no,no,440.25,2
no,96.02,196.945,-0.6326,no,no,no,440.25,2
no,96.02,196.945,-0.5922,no,no,no,440.25,2
no,46.13,192.14,-0.6189,no,no,no,440.25,2
no,46.13,218.545,-0.6272,no,no,no,440.25,2
no,96.32,200.6,-0.6169,no,no,no,440.25,2
no,46.13,204.42,-0.6184,no,no,no,440.25,2
no,46.13,206.12,-0.5175,no,no,no,440.25,1
no,46.13,223.905,-0.6032,no,no,no,440.25,1
no,46.13,223.905,-0.5815,no,no,no,440.25,1
no,46.13,185.68,-0.6001,no,no,no,440.25,2
no,46.13,189.89,-0.5896,no,no,no,440.25,1
no,96.02,196.945,-0.5887,no,no,no,440.25,2
no,46.13,192.14,-0.5917,no,no,no,440.25,1
no,46.13,192.14,-0.5749,no,no,no,440.25,1
no,46.13,192.14,-0.6241,no,no,no,440.25,1
no,96.32,200.6,-0.5896,no,no,no,440.25,1
no,96.38,181.11,-0.6164,no,no,no,440.25,2
no,96.38,181.11,-0.6188,no,no,no,440.25,2
no,96.02,196.945,-0.6054,no,no,no,440.25,2
no,96.02,196.945,-0.6086,no,no,no,440.25,2
no,96.02,196.945,-0.5923,no,no,no,440.25,2
no,96.02,196.945,-0.585,no,no,no,440.25,2
no,96.02,196.945,-0.6225,no,no,no,440.25,2
no,96.02,196.945,-0.7215,no,no,no,440.25,2
no,96.02,196.945,-0.6155,no,no,no,440.25,2
no,46.13,185.14,-0.6005,no,no,no,440.25,2
no,46.13,197.56,-0.6136,no,no,no,440.25,2
no,96.32,200.6,-0.631,no,no,no,440.25,2
no,96.39,213.12,-0.5356,no,no,no,440.25,2
no,96.02,196.945,-0.6225,no,no,no,440.25,2
no,96.02,196.945,-0.3244,no,no,no,440.25,2
no,96.02,196.945,-0.6253,no,no,no,440.25,2
no,46.13,185.14,-0.6066,no,no,no,440.25,2
no,96.39,213.12,-0.6326,no,no,no,440.25,2
no,46.13,210.15,-0.6206,no,no,no,440.25,2
no,46.13,210.15,-0.6282,no,no,no,440.25,2
no,46.13,227.375,-0.4314,no,no,no,440.25,2
no,46.13,227.375,-0.6234,no,no,no,440.25,2
no,46.13,229.655,-0.6105,no,no,no,440.25,2
no,46.13,189.725,-0.6145,no,no,no,440.25,2
no,46.13,189.725,-0.632,no,no,no,440.25,1
no,46.13,189.725,-0.631,no,no,no,440.25,2
no,46.13,192.14,-0.6199,no,no,no,440.25,2
no,46.13,192.14,-0.6395,no,no,no,440.25,2
no,46.13,192.14,-0.6415,no,no,no,440.25,2
no,96.39,258.26,0,no,no,no,440.25,1
no,14.69,269.11,-0.0042,no,no,no,440.25,1
no,23.05,228.83,-0.0034,no,no,no,440.25,2
no,102.72,370.3,-0.0032,no,no,no,440.25,1
no,72.75,259.02,-0.0025,no,no,no,440.25,1
no,14.64,198.3,-0.0008,no,no,no,440.25,1
no,102.72,370.3,-0.003,no,no,no,440.25,1
no,102.72,370.3,-0.003,no,no,no,440.25,1
no,102.72,370.3,-0.0031,no,no,no,440.25,1
no,72.75,259.02,-0.0025,no,no,no,440.25,1
no,72.75,259.02,-0.003,no,no,no,440.25,1
no,72.75,259.02,-0.0027,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,2
no,96.39,258.26,0,no,no,no,440.25,2
no,96.39,258.26,0,no,no,no,440.25,2
no,23.05,228.83,-0.0035,no,no,no,440.25,1
no,23.05,228.83,-0.0035,no,no,no,440.25,1
no,23.05,228.83,-0.0034,no,no,no,440.25,1
no,14.64,198.3,-0.0008,no,no,no,440.25,1
no,14.64,198.3,-0.0008,no,no,no,440.25,1
no,14.64,198.3,-0.0009,no,no,no,440.25,1
no,14.64,198.3,-0.0008,no,no,no,440.25,1
no,14.64,198.3,-0.0008,no,no,no,440.25,1
no,14.64,198.3,-0.0008,no,no,no,440.25,1
no,14.64,198.3,-0.0009,no,no,no,440.25,1
no,14.64,198.3,-0.0008,no,no,no,440.25,1
no,14.64,198.3,-0.001,no,no,no,440.25,1
no,14.64,198.3,-0.001,no,no,no,440.25,1
no,14.64,198.3,-0.0008,no,no,no,440.25,1
no,14.64,198.3,-0.0008,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,14.69,269.11,-0.0034,no,no,no,440.25,1
no,14.69,269.11,-0.0035,no,no,no,440.25,1
no,14.69,269.11,-0.0037,no,no,no,440.25,1
no,14.69,269.11,-0.0035,no,no,no,440.25,1
no,14.69,269.11,-0.0032,no,no,no,440.25,1
no,14.69,269.11,-0.0035,no,no,no,440.25,1
no,14.69,269.11,-0.0036,no,no,no,440.25,1
no,14.69,269.11,-0.0035,no,no,no,440.25,1
no,14.69,269.11,-0.0033,no,no,no,440.25,1
no,14.69,269.11,-0.0035,no,no,no,440.25,1
no,14.69,269.11,-0.0033,no,no,no,440.25,1
no,14.69,269.11,-0.0037,no,no,no,440.25,1
no,14.69,269.11,-0.0034,no,no,no,440.25,1
no,14.69,269.11,-0.0037,no,no,no,440.25,1
no,14.69,269.11,-0.0041,no,no,no,440.25,1
no,14.69,269.11,-0.0034,no,no,no,440.25,1
no,14.69,269.11,-0.0035,no,no,no,440.25,1
no,14.69,269.11,-0.0033,no,no,no,440.25,1
no,14.69,269.11,-0.0034,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,96.39,258.26,0,no,no,no,440.25,1
no,30.88,205.41,-0.0041,no,no,no,440.25,1
no,30.88,205.41,-0.0037,no,no,no,440.25,1
no,30.88,205.41,-0.0034,no,no,no,440.25,1
no,30.88,205.41,-0.0033,no,no,no,440.25,1
no,30.88,205.41,-0.004,no,no,no,440.25,1
no,61.92,174.09,-0.0024,no,no,no,440.25,1
no,61.92,174.09,-0.0027,no,no,no,440.25,1
no,61.92,174.09,-0.0033,no,no,no,440.25,1
no,104.8,247.15,-0.0049,no,no,no,440.25,1
no,104.8,247.15,-0.0052,no,no,no,440.25,1
no,104.8,247.15,-0.0055,no,no,no,440.25,1
no,104.8,247.15,-0.0048,no,no,no,440.25,1
no,14.69,269.11,-0.0045,no,no,no,440.25,1
no,14.69,269.11,-0.0043,no,no,no,440.25,1
no,14.69,269.11,-0.0047,no,no,no,440.25,1
no,14.69,269.11,-0.0039,no,no,no,440.25,1
no,33.93,216.3,-0.0037,no,no,no,440.25,2
no,33.93,216.3,-0.0051,no,no,no,440.25,2
no,30.88,205.41,-0.0027,no,no,no,440.25,2
no,46.13,192.14,-0.7849,no,no,no,440.25,2
no,46.13,192.14,-0.3923,no,no,no,440.25,2
no,46.13,192.14,-0.7582,no,no,no,440.25,2
no,33.93,216.3,-0.0056,yes,no,no,440.25,2
no,33.93,216.3,-0.0037,yes,no,no,440.25,2
no,33.93,216.3,-0.0036,yes,no,no,440.25,2
no,33.93,216.3,-0.0061,no,no,no,440.25,2
no,33.93,216.3,-0.0055,no,no,no,440.25,2
no,33.93,216.3,-0.0038,no,no,no,440.25,2
no,33.93,216.3,-0.0038,no,no,no,440.25,2
no,33.93,216.3,-0.0033,no,no,no,440.25,2
no,33.93,216.3,-0.0035,no,no,no,440.25,2
no,33.93,216.3,-0.0032,no,no,no,440.25,2
no,33.93,216.3,-0.0033,no,no,no,440.25,2
no,33.93,216.3,-0.3859,no,no,no,440.25,2
no,33.93,216.3,-0.033,no,no,no,440.25,2
no,33.93,216.3,-0.0033,no,no,no,440.25,2
no,28.21,215.51,-0.0015,no,no,no,440.25,1
no,28.21,215.51,-0.0015,no,no,no,440.25,1
no,28.21,215.51,-0.0015,no,no,no,440.25,1
no,33.93,216.3,-0.0024,no,no,no,440.25,1
no,33.93,216.3,-0.0029,no,no,no,440.25,1
no,12.27,244.99,-0.0012,no,no,no,440.25,1
no,14.18,239.92,-0.0015,no,no,no,440.25,2
no,14.18,239.92,-0.0012,no,no,no,440.25,2
no,143.27,293.38,-0.0015,no,no,no,440.25,2
no,143.27,293.38,-0.0012,no,no,no,440.25,2
no,143.27,293.38,-0.0011,no,no,no,440.25,2
no,102.72,370.3,-0.001,no,no,no,440.25,2
no,102.72,370.3,-0.0009,no,no,no,440.25,2
?,61.92,174.09,-0.001,no,no,no,440.25,1
?,30.88,205.41,-0.0016,no,no,no,440.25,1
?,30.88,205.41,-0.0017,no,no,no,440.25,1
?,30.88,205.41,-0.0017,no,no,no,440.25,1
?,33.93,216.3,-0.029,no,no,no,440.25,1
?,33.93,216.3,-0.0037,no,no,no,440.25,1
no,96.11,189.33,0,no,no,no,378.1,2
no,96.11,189.33,0,no,no,no,378.1,2
no,96.11,189.33,0,no,no,no,378.1,1
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,1
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,1
no,96.11,189.33,0,no,no,no,378.1,2
no,96.11,189.33,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.11,189.33,0,no,no,no,378.1,2
no,96.11,189.33,0,no,no,no,378.1,2
no,96.11,189.33,0,no,no,no,378.1,2
no,96.11,189.33,0,no,no,no,378.1,2
no,96.11,189.33,0,no,no,no,378.1,2
no,96.11,189.33,0,no,no,no,378.1,2
no,96.11,189.33,0,no,no,no,378.1,2
no,96.11,189.33,0,no,no,no,378.1,2
no,96.11,189.33,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.34,282.95,0,no,no,no,378.1,2
no,96.34,282.95,0,no,no,no,378.1,2
no,96.36,307.78,0,no,no,no,378.1,2
no,96.36,307.78,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,1
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,1
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,1
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,1
no,96.02,225.91,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,2
no,96.34,282.95,0,no,no,no,378.1,2
no,96.34,282.95,0,no,no,no,378.1,1
no,96.34,282.95,0,no,no,no,378.1,1
no,96.34,282.95,0,no,no,no,378.1,2
no,96.34,282.95,0,no,no,no,378.1,2
no,96.34,282.95,0,no,no,no,378.1,1
no,96.34,282.95,0,no,no,no,378.1,2
no,96.34,282.95,0,no,no,no,378.1,2
no,96.34,282.95,0,no,no,no,378.1,2
no,96.34,282.95,0,no,no,no,378.1,2
no,96.34,282.95,0,no,no,no,378.1,1
no,96.34,282.95,0,no,no,no,378.1,1
no,96.34,282.95,0,no,no,no,378.1,2
no,96.34,282.95,0,no,no,no,378.1,2
no,112.14,265.65,0,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,459.35,1
no,31.24,268.62,-0.0038,no,no,no,459.35,1
no,16.6,267.29,0,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
yes,45.39,287.07,-0.0021,no,no,no,459.35,1
yes,45.39,287.07,-0.0037,no,no,no,459.35,1
no,13.86,239.3,0,no,no,no,459.35,2
no,32.37,222.38,0,no,no,no,459.35,2
no,33.93,216.3,-0.003,no,no,no,459.35,2
no,45.39,287.07,-0.0022,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,1
no,31.24,268.62,-0.0035,no,no,no,459.35,2
no,58.29,181.77,0,no,no,no,459.35,1
no,96.11,189.33,0,no,no,no,459.35,2
no,33.93,216.3,-0.0036,no,no,no,459.35,2
no,33.93,216.3,-0.0052,no,no,no,459.35,1
no,32.37,222.38,0,no,no,no,459.35,2
no,32.37,222.38,0,no,no,no,459.35,2
yes,32.37,222.38,0,no,no,no,459.35,1
yes,32.37,222.38,0,no,no,no,459.35,1
no,112.14,265.65,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,1
no,13.86,239.3,0,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,32.37,222.38,0,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
no,72.41,261.51,0,no,no,no,459.35,2
no,17.76,211.8,0,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,459.35,2
no,31.24,268.62,-0.0035,no,no,no,459.35,1
no,96.11,189.33,0,no,no,no,459.35,2
no,0,132.96,0,no,no,no,459.35,2
no,96.38,194.24,0,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,17.76,211.8,0,no,no,no,459.35,2
no,96.11,189.33,0,no,no,no,459.35,2
yes,13.86,239.3,0,no,no,no,459.35,1
no,27.89,220.5,0,no,no,no,459.35,2
no,33.93,216.3,-0.0053,no,no,no,459.35,2
yes,27.89,220.5,0,no,no,no,459.35,1
no,13.86,239.3,0,no,no,no,459.35,2
no,31.24,268.62,-0.005,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,96.34,282.95,0,no,no,no,378.1,1
no,96.34,282.95,0,no,no,no,378.1,1
no,96.34,282.95,0,no,no,no,378.1,2
no,96.34,282.95,0,no,no,no,378.1,2
no,96.34,282.95,0,no,no,no,378.1,2
no,96.34,282.95,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.38,194.24,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.02,225.91,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.32,233.22,0,no,no,no,378.1,2
no,96.39,258.26,0,no,no,no,378.1,1
no,96.39,258.26,0,no,no,no,378.1,2
no,72.75,259.02,-0.0014,no,no,no,440.25,2
no,72.75,259.02,-0.0025,no,no,no,440.25,2
no,72.75,259.02,-0.0008,no,no,no,440.25,2
no,72.75,259.02,-0.0008,no,no,no,440.25,2
no,72.75,259.02,-0.0035,no,no,no,440.25,2
no,72.75,259.02,-0.002,no,no,no,440.25,2
no,72.75,259.02,-0.0016,no,no,no,440.25,2
no,12.27,244.99,-0.0015,no,no,no,440.25,2
no,33.93,216.3,-0.0026,no,no,no,440.25,2
no,33.93,216.3,-0.0076,no,no,no,440.25,2
no,33.93,216.3,-0.0022,no,no,no,440.25,2
no,33.93,216.3,-0.0041,no,no,no,440.25,2
no,33.93,216.3,-0.0041,no,no,no,440.25,2
no,33.93,216.3,-0.0015,no,no,no,440.25,2
no,33.93,216.3,-0.0016,no,no,no,440.25,2
no,33.93,216.3,-0.0014,no,no,no,440.25,2
no,33.93,216.3,-0.0014,no,no,no,440.25,2
no,33.93,216.3,-0.006,no,no,no,440.25,2
no,33.93,216.3,-0.0032,no,no,no,440.25,2
no,72.75,259.02,-0.0013,no,no,no,440.25,2
no,72.75,259.02,-0.0013,no,no,no,440.25,2
no,72.75,259.02,-0.0026,no,no,no,440.25,2
no,72.75,259.02,-0.0011,no,no,no,440.25,2
no,72.75,259.02,-0.002,no,no,no,440.25,2
no,72.75,259.02,-0.0017,no,no,no,440.25,2
no,72.75,259.02,-0.0009,no,no,no,440.25,2
no,72.75,259.02,-0.0035,no,no,no,440.25,2
no,72.75,259.02,-0.0008,no,no,no,440.25,2
no,72.75,259.02,-0.0017,no,no,no,440.25,2
no,72.75,259.02,-0.0029,no,no,no,440.25,1
yes,12.27,244.99,-0.0013,no,no,no,440.25,2
no,96.38,194.24,-0.0001,no,no,no,440.25,2
no,25.98,205.02,-0.0005,no,no,no,440.25,2
no,25.98,205.02,-0.0009,no,no,no,440.25,2
no,25.98,205.02,-0.0005,no,no,no,440.25,2
no,33.54,186.94,-0.0005,no,no,no,440.25,2
no,28.68,182.64,-0.0005,no,no,no,440.25,2
no,28.68,182.64,-0.0005,no,no,no,440.25,2
no,28.68,182.64,-0.0004,no,no,no,440.25,2
no,14.69,269.11,-0.0034,no,no,no,440.25,2
no,14.69,269.11,-0.0037,no,no,no,440.25,2
no,14.69,269.11,-0.0033,no,no,no,440.25,2
no,14.69,269.11,-0.0033,no,no,no,440.25,2
no,14.69,269.11,-0.0023,no,no,no,440.25,2
no,14.69,269.11,-0.0023,no,no,no,440.25,2
no,14.69,269.11,-0.0022,no,no,no,440.25,2
no,14.69,269.11,-0.0023,no,no,no,440.25,2
no,14.69,269.11,-0.0023,no,no,no,440.25,2
no,14.69,269.11,-0.0023,no,no,no,440.25,2
no,61.92,174.09,-0.0055,no,no,no,440.25,2
no,0,132.96,0,no,no,no,440.25,2
no,58.26,200.73,-0.0001,no,no,no,440.25,2
no,41.81,203.38,-0.0056,no,no,no,378.1,2
no,41.81,203.38,-0.0047,no,no,no,378.1,2
no,41.81,203.38,-0.0034,no,no,no,378.1,2
no,41.81,203.38,-0.0023,no,no,no,378.1,2
no,41.81,203.38,-0.0011,no,no,no,378.1,2
no,41.81,203.38,-0.0024,no,no,no,378.1,2
no,41.81,203.38,-0.0015,no,no,no,378.1,2
no,41.81,203.38,-0.0011,no,no,no,378.1,2
no,41.81,203.38,-0.0006,no,no,no,378.1,2
no,41.81,203.38,-0.0022,no,no,no,378.1,2
no,41.81,203.38,-0.0016,no,no,no,378.1,2
no,41.81,203.38,-0.0014,no,no,no,378.1,2
no,41.81,203.38,-0.0011,no,no,no,378.1,2
no,41.81,203.38,-0.0007,no,no,no,378.1,2
no,41.81,203.38,-0.0014,no,no,no,378.1,2
no,41.81,203.38,-0.0012,no,no,no,378.1,2
no,41.81,203.38,-0.0007,no,no,no,378.1,2
no,41.81,203.38,-0.0006,no,no,no,378.1,2
no,90.84,253.77,0,no,no,no,378.1,2
no,90.84,253.77,0,no,no,no,378.1,1
no,90.84,253.77,0,no,no,no,378.1,2
no,90.84,253.77,0,no,no,no,378.1,2
no,41.81,203.38,-0.0095,no,no,no,378.1,2
