@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R5,25,60,164,172,175,180,241,274'

@attribute leak {yes,no}
@attribute orgASA_PMax numeric
@attribute orgASA+ArithAvg numeric
@attribute orgacc-waterdonratio numeric
@attribute K {yes,no}
@attribute I {yes,no}
@attribute S {yes,no}
@attribute PearsonElectronegMean numeric
@attribute outcome {1,2}

@data
no,31.24,268.62,-0.0192,no,no,yes,459.35,2
no,30.99,211.47,-0.031,no,no,yes,459.35,2
no,64.03,188.71,-0.0004,no,no,yes,459.35,1
no,33.93,216.3,-0.0159,no,no,yes,459.35,2
no,41.81,203.38,0,no,no,yes,459.35,2
no,45.39,287.07,-0.0119,no,no,yes,459.35,1
no,27.88,236.4,-0.0218,no,no,yes,459.35,2
no,128.75,337.12,-0.001,no,no,yes,459.35,2
no,119.9,330.78,-0.0138,no,no,yes,459.35,2
no,27.89,220.5,0,no,no,yes,459.35,2
no,72.41,261.51,0,no,no,yes,459.35,2
no,72.41,261.51,-0.0001,no,no,yes,459.35,2
no,30.99,211.47,-0.0073,no,no,yes,459.35,2
no,31.24,268.62,-0.0105,no,no,yes,459.35,2
no,36.59,193.85,0,no,no,yes,459.35,2
no,64.03,188.71,0,no,no,yes,459.35,2
no,59.99,244.65,-0.197,no,no,yes,459.35,2
no,59.99,244.65,-0.1972,no,no,yes,459.35,1
no,64.03,188.71,0,no,no,yes,459.35,2
no,64.03,188.71,0,no,no,yes,459.35,1
no,32.37,222.38,0,no,no,yes,459.35,2
no,32.37,222.38,0,no,no,yes,459.35,2
no,31.24,268.62,-0.0051,no,no,yes,459.35,2
no,107.52,351.09,-0.0002,no,no,yes,459.35,1
no,27.88,236.4,-0.0122,no,no,yes,459.35,2
no,31.24,268.62,-0.0045,no,no,no,459.35,2
no,64.03,188.71,0,no,no,no,459.35,2
yes,32.37,222.38,0,no,no,no,459.35,1
no,96.11,189.33,0,no,no,no,459.35,2
no,12.27,244.99,-0.006,no,no,yes,459.35,1
no,23.05,228.83,-0.0049,no,no,yes,459.35,2
no,30.99,211.47,-0.0106,no,no,yes,459.35,2
no,33.93,216.3,-0.0083,no,no,yes,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,459.35,2
no,32.37,222.38,0,no,no,no,459.35,2
no,32.37,222.38,0,no,no,no,459.35,2
no,33.93,216.3,-0.0045,no,no,yes,459.35,2
no,33.93,216.3,-0.0068,no,no,yes,459.35,2
no,33.93,216.3,-0.0082,no,no,yes,459.35,2
no,33.93,216.3,-0.0117,no,no,yes,459.35,2
no,59.99,244.65,-0.0035,no,no,yes,459.35,2
no,33.93,216.3,-0.0115,no,no,yes,459.35,2
no,17.76,211.8,0,no,no,no,459.35,1
no,17.76,211.8,0,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,459.35,2
no,32.37,222.38,0,no,no,no,459.35,2
no,30.99,211.47,-0.0099,no,no,yes,459.35,2
no,31.24,268.62,-0.0062,no,no,yes,459.35,2
no,31.24,268.62,-0.0098,no,no,yes,459.35,2
no,30.99,211.47,-0.0184,no,no,yes,459.35,2
no,30.99,211.47,-0.0241,no,no,yes,459.35,2
no,31.24,268.62,-0.0084,no,no,yes,459.35,2
no,31.24,268.62,-0.0143,no,no,yes,459.35,2
no,31.24,268.62,-0.0131,no,no,yes,459.35,2
no,31.24,268.62,-0.0146,no,no,yes,459.35,2
no,31.24,268.62,-0.0126,no,no,yes,459.35,2
no,64.03,188.71,0,no,no,yes,459.35,2
no,64.03,188.71,0,no,no,yes,459.35,1
no,13.86,239.3,-0.0004,no,no,yes,459.35,2
no,13.86,239.3,0,no,no,yes,459.35,1
no,36.59,193.85,0,no,no,yes,459.35,1
no,36.59,193.85,0,no,no,yes,459.35,1
no,41.81,203.38,0,no,no,yes,459.35,1
no,16.6,267.29,0,no,no,yes,459.35,1
no,16.6,267.29,0,no,no,yes,459.35,1
no,112.14,265.65,0,no,no,yes,459.35,2
no,12.27,244.99,-0.0079,no,no,no,459.35,2
no,12.27,244.99,-0.0064,no,no,no,459.35,2
no,13.86,239.3,-0.0007,no,no,no,459.35,2
no,12.27,244.99,-0.0064,no,no,no,459.35,2
no,12.27,244.99,-0.0052,no,no,no,459.35,2
no,12.27,244.99,-0.0042,no,no,no,459.35,2
no,12.27,244.99,-0.0026,no,no,no,459.35,2
yes,12.27,244.99,-0.0054,no,no,no,459.35,1
yes,12.27,244.99,-0.0039,no,no,no,459.35,1
no,12.27,244.99,-0.0015,no,no,no,459.35,2
no,12.27,244.99,-0.004,no,no,no,459.35,2
no,12.27,244.99,-0.0025,no,no,no,459.35,2
no,12.27,244.99,-0.0013,no,no,no,459.35,2
no,12.27,244.99,-0.0012,no,no,no,459.35,2
no,12.27,244.99,-0.0013,no,no,no,459.35,2
no,34.93,341.49,-0.0177,no,no,no,459.35,2
no,34.93,341.49,-0.0091,no,no,no,459.35,2
yes,34.93,341.49,-0.0084,no,no,no,459.35,2
no,34.93,341.49,-0.0154,no,no,no,459.35,2
no,34.93,341.49,-0.0142,no,no,no,459.35,2
no,13.86,239.3,-0.0001,no,no,no,459.35,2
no,13.86,239.3,-0.0002,no,no,no,459.35,2
no,13.86,239.3,-0.0007,no,no,no,459.35,2
no,13.86,239.3,-0.0007,no,no,no,459.35,2
no,36.99,211.13,0,no,no,yes,459.35,2
no,36.99,211.13,0,no,no,yes,459.35,2
no,36.99,211.13,0,no,no,yes,459.35,2
no,59.99,244.65,-0.0037,no,no,yes,459.35,2
no,59.99,244.65,-0.0051,no,no,yes,459.35,2
no,59.99,244.65,-0.0036,no,no,yes,459.35,2
no,59.99,244.65,-0.0043,no,no,yes,459.35,2
no,33.93,216.3,-0.0029,no,no,no,459.35,2
no,33.93,216.3,-0.0027,no,no,no,459.35,2
yes,33.93,216.3,-0.0047,no,no,no,459.35,1
no,59.99,244.65,-0.0022,no,no,no,459.35,2
no,59.99,244.65,-0.0036,no,no,yes,459.35,2
no,33.93,216.3,-0.0046,no,no,yes,459.35,2
no,59.99,244.65,-0.0034,no,no,yes,459.35,1
no,59.99,244.65,-0.0043,no,no,yes,459.35,2
yes,33.93,216.3,-0.0056,no,no,yes,459.35,1
no,44.53,244.26,0,no,no,no,459.35,2
no,44.53,244.26,0,no,no,no,459.35,2
no,44.53,244.26,0,no,no,no,459.35,2
no,33.93,216.3,-0.0041,no,no,no,459.35,2
no,33.93,216.3,-0.0034,no,no,yes,459.35,2
no,33.93,216.3,-0.0042,no,no,yes,459.35,2
no,33.93,216.3,-0.0041,no,no,yes,459.35,1
no,33.93,216.3,-0.0035,no,no,yes,459.35,1
no,33.93,216.3,-0.0032,no,no,yes,459.35,2
no,44.53,244.26,0,no,no,no,350.7,2
no,44.53,244.26,0,no,no,no,350.7,2
no,44.53,244.26,0,no,no,no,350.7,2
no,44.53,244.26,0,no,no,no,459.35,2
no,33.93,216.3,-0.0044,no,no,yes,459.35,2
no,33.93,216.3,-0.0055,no,no,yes,459.35,2
no,33.93,216.3,-0.0042,no,no,yes,459.35,2
no,32.37,222.38,0,no,no,yes,459.35,2
no,33.93,216.3,-0.0385,no,no,yes,459.35,2
yes,33.93,216.3,-0.0249,no,no,yes,459.35,1
no,33.93,216.3,-0.0155,no,no,yes,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
yes,13.86,239.3,0,no,no,no,459.35,2
no,13.86,239.3,0,no,no,yes,459.35,2
no,13.86,239.3,0,no,no,yes,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
yes,13.86,239.3,0,no,no,no,459.35,2
