found 3142 values for descriptor 1, 3103 for descriptor 2
V3_legacy Inorg_boolean_valence_3_DRP_1.5_any
mds63.6 False True
mds63.7 False True
mds63.8 False True
mds63.9 False True
mds67.1 False True
mds67.2 False True
mds67.3 False True
mds71.1 False True
mds71.10 False True
mds71.11 False True
mds71.12 False True
mds71.13 False True
mds71.14 False True
mds71.15 False True
mds71.16 False True
mds71.2 False True
mds71.4 False True
mds71.5 False True
mds71.6 False True
mds71.7 False True
mds71.8 False True
mds71.9 False True
yh82.1 False DoesNotExist
yh82.10 False True
yh82.11 False DoesNotExist
yh82.12 False DoesNotExist
yh82.17 False DoesNotExist
yh82.19 False DoesNotExist
yh82.2 False DoesNotExist
yh82.26 False True
yh82.3 False DoesNotExist
yh82.4 False True
yh82.6 False True
yh82.7 False DoesNotExist
yh82.8 False True
326
['2tv21.3', '2tv23.3', '2tv23.4', '2tv23.5', '2tv27.3', '2tv27.4', '2tv27.5', '2tv45.1', '2tv49.1', '2tv49.2', '2tv49.3', '2tv73.1', '2tv73.3', 'jho120.12', 'jho120.15', 'jho120.18', 'jho120.21', 'jho120.3', 'jho120.6', 'jho120.9', 'jho126.1', 'jho126.10', 'jho126.11', 'jho126.12', 'jho126.13', 'jho126.14', 'jho126.15', 'jho126.16', 'jho126.17', 'jho126.18', 'jho126.19', 'jho126.2', 'jho126.20', 'jho126.21', 'jho126.3', 'jho126.4', 'jho126.5', 'jho126.6', 'jho126.7', 'jho126.8', 'jho126.9', 'jho132.1', 'jho132.2', 'jho132.3', 'jho132.4', 'jho132.5', 'jho132.6', 'jho132.7', 'jho133.1', 'jho133.2', 'jho133.3', 'jho133.4', 'jho133.5', 'jho133.6', 'jho133.7', 'jho139.1', 'jho139.10', 'jho139.2', 'jho139.3', 'jho139.4', 'jho139.5', 'jho139.6', 'jho139.7', 'jho139.8', 'jho139.9', 'jho143.1', 'jho143.10', 'jho143.11', 'jho143.12', 'jho143.13', 'jho143.14', 'jho143.15', 'jho143.2', 'jho143.3', 'jho143.4', 'jho143.5', 'jho143.6', 'jho143.7', 'jho143.8', 'jho143.9', 'jho148.1', 'jho148.2', 'jho148.3', 'jho148.4', 'jho149.1', 'jho149.10', 'jho149.11', 'jho149.2', 'jho149.3', 'jho149.4', 'jho149.5', 'jho149.6', 'jho149.7', 'jho149.8', 'jho149.9', 'jho152.7', 'jho152.8', 'jho152.9', 'jho154.1', 'jho154.2', 'jho154.3', 'jho154.4', 'jho154.5', 'jho154.6', 'jho155.1', 'jho155.2', 'jho155.3', 'jho155.4', 'jho155.5', 'jho155.6', 'jho155.7', 'jho210.2', 'jho210.3', 'jho210.4', 'jho212.1', 'jho212.2', 'jho212.3', 'jho212.4', 'jho213.1', 'jho213.10', 'jho213.11', 'jho213.12', 'jho213.13', 'jho213.14', 'jho213.15', 'jho213.16', 'jho213.17', 'jho213.18', 'jho213.19', 'jho213.2', 'jho213.20', 'jho213.3', 'jho213.4', 'jho213.5', 'jho213.6', 'jho213.7', 'jho213.8', 'jho213.9', 'jho218.1', 'jho218.10', 'jho218.11', 'jho218.12', 'jho218.2', 'jho218.3', 'jho218.4', 'jho218.5', 'jho218.6', 'jho218.7', 'jho218.8', 'jho218.9', 'jho220.1', 'jho220.10', 'jho220.11', 'jho220.12', 'jho220.2', 'jho220.3', 'jho220.4', 'jho220.5', 'jho220.6', 'jho220.7', 'jho220.8', 'jho220.9', 'jho225.1', 'jho225.2', 'jho225.3', 'jho225.4', 'jho225.5', 'jho228.1', 'jho228.10', 'jho228.2', 'jho228.3', 'jho228.4', 'jho228.5', 'jho228.6', 'jho228.7', 'jho228.8', 'jho228.9', 'jho259.1', 'jho259.10', 'jho259.11', 'jho259.12', 'jho259.13', 'jho259.15', 'jho259.16', 'jho259.17', 'jho259.18', 'jho259.19', 'jho259.2', 'jho259.20', 'jho259.21', 'jho259.3', 'jho259.4', 'jho259.6', 'jho259.7', 'jho259.8', 'jho259.9', 'jho270.1', 'jho270.2', 'jho270.3', 'jho270.4', 'jho272.1', 'jho272.2', 'jho272.3', 'jho272.4', 'jho272.5', 'jho272.6', 'jho272.7', 'jho272.8', 'jho274.1', 'jho274.2', 'jho274.3', 'jho274.4', 'jho274.5', 'jho274.6', 'jho274.7', 'jho274.8', 'jk222.1', 'jk222.10', 'jk222.11', 'jk222.12', 'jk222.13', 'jk222.14', 'jk222.15', 'jk222.16', 'jk222.17', 'jk222.18', 'jk222.19', 'jk222.2', 'jk222.20', 'jk222.21', 'jk222.22', 'jk222.23', 'jk222.24', 'jk222.25', 'jk222.26', 'jk222.27', 'jk222.28', 'jk222.29', 'jk222.3', 'jk222.30', 'jk222.4', 'jk222.5', 'jk222.6', 'jk222.7', 'jk222.8', 'jk222.9', 'jk260.10', 'jk260.11', 'jk260.12', 'jk260.9', 'jk272.1', 'jk272.2', 'jk272.3', 'jk272.4', 'jk272.5', 'jk296.10', 'jk296.11', 'jk296.12', 'jk296.7', 'jk296.8', 'jk296.9', 'kc96.10', 'mds50.4', 'mds50.5', 'mds50.6', 'mds53.10', 'mds53.2', 'mds53.3', 'mds53.4', 'mds53.5', 'mds53.6', 'mds53.7', 'mds53.8', 'mds53.9', 'mds57.1', 'mds57.2', 'mds57.3', 'mds57.4', 'mds57.5', 'mds57.6', 'mds57.7', 'mds57.8', 'mds57.9', 'mds59.1', 'mds59.10', 'mds59.2', 'mds59.3', 'mds59.4', 'mds59.5', 'mds59.6', 'mds59.7', 'mds59.8', 'mds59.9', 'mds63.1', 'mds63.10', 'mds63.2', 'mds63.3', 'mds63.4', 'mds63.5', 'mds63.6', 'mds63.7', 'mds63.8', 'mds63.9', 'mds67.1', 'mds67.2', 'mds67.3', 'mds71.1', 'mds71.10', 'mds71.11', 'mds71.12', 'mds71.13', 'mds71.14', 'mds71.15', 'mds71.16', 'mds71.2', 'mds71.4', 'mds71.5', 'mds71.6', 'mds71.7', 'mds71.8', 'mds71.9', 'yh82.10', 'yh82.26', 'yh82.4', 'yh82.6', 'yh82.8']
