model_name,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,step11,step12,step13,step14,step15,step16,step17,step18,step19,step20,step21,step22,step23
J48,,0.74719771182025474,0.74451324543936748,0.7428238045056279,0.73969097177799747,0.74196316731083767,0.74203658708024756,0.74203658708024756,0.7386992137040983,0.74317994549974864,0.74346272840836747,0.74554131937215351,0.7457530355784735,0.74461644089182843,0.74032071380465714,0.74858459791688148,0.74465127022380695,0.73663536490486814,0.73598702630294055,0.73447054713921056,0.72751011384058439,0.72779711887245457,0.72786774034138113,0.72843388720687907
KNN,,0.7378247811778017,0.73797964930265125,0.73742031837421551,0.7386972167429946,0.73748205298635883,0.73614481640542695,0.73614481640542695,0.73690764181692681,0.7362689386250878,0.7353595870557561,0.73543020852468277,0.73585144608222108,0.69657808090406415,0.68090682212065401,0.70116573587578102,0.69862316689400672,0.71327708793283473,0.71367889304021104,0.7201183580370617,0.71780101056084844,0.71372860295661622,0.71428831064806719,0.70963364938520757
NB,,0.59836314047754402,0.6105316859448221,0.60574980491275354,0.60651666345271704,0.61133278101779354,0.60712573854044793,0.60712573854044793,0.63769627845297994,0.63903405774056965,0.62218604418310164,0.62359023018918769,0.62676734962515335,0.62461265259831722,0.61373989244729776,0.62150667078203059,0.61952701247605824,0.63084501032667162,0.63014608895778357,0.63593136678770956,0.63368470624007633,0.62685680092283391,0.6269279731799664,0.62311123559325354
SVMBCR,,0.72227244154550863,0.72595541242072958,0.72764223590162402,0.72624229481186908,0.72926536480670323,0.7311009658069717,0.7311009658069717,0.73194231849504954,0.73222781426640382,0.73313652649203587,0.73320546823626209,0.73376532777501191,0.70644276660959771,0.70015320612211884,0.70147996402145096,0.70105313736497965,0.69852212356093135,0.69958450073233536,0.702590041380039,0.703361440783139,0.70349375991904339,0.70299888540508093,0.70257522974327236
SVMbasic,,0.77626538685639446,0.77457428309558563,0.77497670360504278,0.77582589214227171,0.77645626201642182,0.77596976487697955,0.77596976487697955,0.77597625598385145,0.77653586637618421,0.77689123006499883,0.77689123006499883,0.77710067369407576,0.73176446133953188,0.72678097498139682,0.72816064591177621,0.72837335144099313,0.72837824490242409,0.72963543368521988,0.71924391773132801,0.7198805995771892,0.71995055410674502,0.71995055410674502,0.71995055410674502
