model_name,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,step11,step12,step13,step14,step15,step16,step17,step18,step19,step20,step21,step22,step23
J48,,0.65718853930595811,0.65588260865630743,0.65466298277650425,0.65271351995023574,0.65971297635067017,0.65912667287868787,0.65912667287868787,0.65709985469331589,0.66079765575125549,0.66047423242115899,0.66855575016167235,0.66835049343693465,0.65058392998758185,0.64643570850389198,0.65927352078427781,0.65347047158218274,0.6436032687247436,0.6407581316340093,0.63984300395132998,0.62985764158673097,0.63134764532997401,0.6313969549946683,0.63119117775175604
KNN,,0.67308759700706566,0.67353266799180855,0.67335881104408513,0.6747831529737951,0.67859654944651859,0.67610722134763634,0.67610722134763634,0.67393420248913372,0.67368193974844859,0.67264831812238868,0.67269762778708286,0.67254116297812616,0.61210355954653106,0.58442126335738476,0.60262781415015576,0.60075464656702593,0.60828887638287688,0.6094044979589498,0.61449967861672172,0.61021063837369505,0.60530503930099544,0.60636197848670825,0.60128654557084782
NB,,0.58154473567886633,0.58065848212315752,0.59344931551284119,0.59115241240571781,0.59165583150484868,0.58543052492756553,0.58543052492756553,0.59585247149162768,0.59386632310238874,0.58799605151690426,0.59053017259489271,0.58628628656762982,0.56619328231720467,0.55550470608896552,0.57254642416364043,0.56999072461713096,0.5738730650176862,0.57517324766631739,0.57778038862311554,0.57643018360800047,0.57412921593507626,0.57421254887294892,0.57004308956234007
SVMBCR,,0.67942494618522897,0.68130264660183804,0.68106975124982461,0.67719904279912424,0.67881100167819775,0.67970559062198854,0.67970559062198854,0.67915512070559925,0.67946799692108206,0.68024586170590751,0.68029307605907086,0.68062149147091289,0.57282477661539022,0.54399579993869052,0.51697773684093884,0.51462124161269995,0.50712090536547505,0.50762932684523743,0.50868038034694341,0.50787548432837781,0.50706123685255877,0.50621582622453942,0.5054187697720951
SVMbasic,,0.63972764961448869,0.63815240695787445,0.64037482996401673,0.63977884493900838,0.64152629864650557,0.64158178713460845,0.64158178713460845,0.64210152508398133,0.6432664178921994,0.64429481266208766,0.64429481266208766,0.6450226418531686,0.53825399086738157,0.52156633683701636,0.51489111314202385,0.5145323816418953,0.51443028861836071,0.5149750235032523,0.49720373760601194,0.49747045215473246,0.49752118782190646,0.49752118782190646,0.49752118782190646
