"reference"	"labGroup.title"	"notes"	"user.username"	"valid"	"duplicateOf.reference"	"legacyRecommendedFlag"	"insertedDateTime"	"public"	"temp"	"time"	"leak"	"slow_cool"	"pH"	"outcome"	"purity"
"eg13.1"	"Norquist Lab"	""	"cfalk"	"1"	""	"No"	"2013-07-16 17:50:02"	"0"	"90"	"60"	"No"	"No"	"8"	"0"	"0"
"AN 12.10"	"Norquist Lab"	""	"cfalk"	"1"	""	"No"	"2013-07-17 21:21:28"	"0"	"90"	"24"	"No"	"Yes"	"7.0"	"3"	"1"
