@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R3-5,7-8,13,17,43,74,85,168,170-172,174,179-180,188,228,232,250,256,269,274'

@attribute slowCool {yes,no}
@attribute pH numeric
@attribute leak {yes,no}
@attribute numberOrg numeric
@attribute numberOxlike numeric
@attribute orgmaximalprojectionradiusMax numeric
@attribute orgminimalprojectionsizeMax numeric
@attribute orgASA_HMin numeric
@attribute orgminimalprojectionsizeGeomAvg numeric
@attribute orghbdamsdonGeomAvg numeric
@attribute Na {yes,no}
@attribute Te {yes,no}
@attribute Br {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute P {yes,no}
@attribute S {yes,no}
@attribute Cr {yes,no}
@attribute PaulingElectronegMax numeric
@attribute IonizationMin numeric
@attribute IonizationMaxWeighted numeric
@attribute IonizationMinWeighted numeric
@attribute EAGeomWeighted numeric
@attribute outcome {1,2,3,4}

@data
yes,8,no,1,0,6.9,13.42,592.69,13.42,0,yes,yes,yes,no,no,no,no,no,2.1,650.9,1.0745,0.8146,0.122,3
yes,8,no,1,0,6.9,13.42,592.69,13.42,0,yes,yes,yes,no,no,no,no,no,2.1,650.9,0.8082,0.5406,0.0862,3
yes,8,no,1,0,6.9,13.42,592.69,13.42,0,yes,yes,yes,no,no,no,no,no,2.1,650.9,1.0815,0.4255,0.0885,3
yes,8,no,1,0,4.15,8.07,190.53,8.07,5.69,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0741,0.8093,0.1216,3
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0811,0.403,0.0861,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.804,0.5339,0.0854,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.548,0.4772,0.0667,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.5123,0.253,0.0807,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.1424,0.3232,0.0793,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.324,0.2381,0.0362,3
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8622,0.647,0.0974,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.865,0.3214,0.0688,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.6491,0.4362,0.0694,1
yes,8,yes,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,2.1889,0.7682,0.1691,4
yes,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.9811,0.1714,0.0535,4
yes,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.9772,0.7255,0.1098,4
yes,8,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,4.0625,1.0796,0.2731,4
yes,8,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8029,0.5386,0.0858,4
yes,8,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.5402,0.4094,0.0613,4
yes,8,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.5103,0.2402,0.0786,4
yes,8,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.239,0.3244,0.0827,3
yes,8,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.326,0.2418,0.0366,4
yes,8,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.6454,0.4374,0.0693,4
yes,8,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8646,0.3224,0.0689,4
yes,8,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8646,0.6427,0.0972,3
yes,8,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.7191,0.5413,0.0814,4
yes,8,?,1,0,4.77,9.5,267.23,9.5,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.9729,0.726,0.1096,1
no,8,?,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8237,0.5374,0.0868,1
no,8,?,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8552,0.5461,0.0891,1
no,8,?,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8157,0.5398,0.0865,1
no,8,?,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8691,0.5449,0.0897,1
no,8,?,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8072,0.5359,0.0858,1
no,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8125,0.5496,0.0872,1
no,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8066,0.5457,0.0865,1
no,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8024,0.5382,0.0857,1
no,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8093,0.5394,0.0862,1
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,5.018,1.0819,0.3039,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8072,0.5414,0.0862,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.5366,0.4009,0.0605,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.5142,0.2877,0.0861,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.1312,0.3244,0.079,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,2.4396,0.3232,0.1158,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.6427,0.4774,0.0722,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8615,0.3224,0.0687,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.9493,0.0833,0.0525,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0984,0.0806,0.0388,3
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3534,0.1212,0.0528,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.6504,0.1271,0.0375,4
?,8,no,1,0,4.66,9.43,250.4,9.43,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0807,0.4004,0.0858,4
yes,8,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.7532,0.4743,0.078,4
yes,8,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.7639,0.4845,0.0793,4
yes,8,no,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.7564,0.4786,0.0785,4
yes,8,no,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.7554,0.4837,0.0788,3
yes,8,no,1,0,4.69,9.35,277,9.35,0.99,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8499,0.4892,0.0841,3
yes,8,?,1,0,4.69,9.35,277,9.35,0.99,yes,yes,no,no,no,no,no,no,2.1,650.9,0.7591,0.4754,0.0784,4
yes,8,?,1,0,4.69,9.35,277,9.35,0.99,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8552,0.5421,0.0888,4
yes,8,?,1,0,4.38,8.74,296.17,8.74,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.7671,0.4786,0.079,3
yes,8,?,1,0,4.38,8.74,296.17,8.74,0,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8696,0.5366,0.0891,3
yes,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.758,0.4841,0.079,4
yes,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8563,0.5351,0.0883,3
yes,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.7591,0.479,0.0786,3
yes,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.883,0.5366,0.0898,3
yes,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.9297,0.8066,0.1129,3
yes,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.5437,0.4004,0.0608,4
yes,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0909,0.4089,0.0871,3
yes,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.1328,0.3295,0.0797,2
yes,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8253,0.5382,0.0869,2
yes,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.5433,0.4078,0.0614,3
yes,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0882,0.4025,0.0863,3
yes,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.1638,0.3232,0.08,3
yes,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,0.8621,0.537,0.0887,3
yes,8,?,1,0,4.18,8.34,217.26,8.34,3.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.1269,0.3217,0.0785,3
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.2969,0.6222,0.1172,4
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.2998,0.7073,0.125,4
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3055,0.7489,0.129,3
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3127,0.8995,0.1417,4
yes,5,no,2,0,4.58,9.05,141.19,7.245,2.4495,no,no,no,no,no,no,no,no,1.63,650.9,1.0121,1.0121,0.0787,4
yes,5,no,2,0,4.58,9.05,141.19,7.245,2.4495,no,no,no,no,no,no,no,no,1.63,650.9,1.0278,1.0278,0.0799,4
yes,5,no,2,0,4.58,9.05,141.19,7.245,2.4495,no,no,no,no,no,no,no,no,1.63,650.9,1.0278,1.0278,0.0799,4
yes,5,no,2,0,4.58,9.05,141.19,7.245,2.4495,no,no,no,no,no,no,no,no,1.63,650.9,1.0257,1.0257,0.0797,4
yes,5,no,2,0,4.58,9.05,141.19,7.245,2.4495,no,no,no,no,no,no,no,no,1.63,650.9,1.0164,1.0164,0.079,4
yes,5,no,2,0,4.58,9.05,141.19,7.245,2.4495,no,no,no,no,no,no,no,no,1.63,650.9,1.0214,1.0214,0.0794,4
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.06,0.435,0.0886,4
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.342,0.5378,0.1108,4
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.322,0.3358,0.0869,4
no,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3148,0.7065,0.1257,4
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0378,0.459,0.09,3
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3306,0.5531,0.1119,4
no,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3177,0.3413,0.0875,4
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3084,0.7092,0.1256,4
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.2969,0.652,0.1199,4
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.2941,0.7391,0.1275,4
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3012,0.6653,0.1213,3
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.2955,0.7418,0.1279,4
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.2962,0.6492,0.1196,4
yes,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.2955,0.7371,0.1274,3
no,7,no,2,0,4.79,9.27,181.33,7.3325,1.4663,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0557,0.4248,0.0873,4
no,7,no,2,0,4.79,9.27,181.33,7.3325,1.4663,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0443,0.2746,0.0698,4
no,7,no,2,0,4.79,9.27,181.33,7.3325,1.4663,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0436,0.3483,0.0786,4
no,7,no,2,0,4.79,9.27,181.33,7.3325,1.4663,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0486,0.3456,0.0785,4
no,8,no,1,0,3.87,7.5,151.32,7.5,5.49,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6144,0.8387,0.1931,2
no,8,no,1,0,3.87,7.5,151.32,7.5,5.49,yes,yes,no,no,no,no,no,no,2.1,650.9,2.5899,0.8499,0.1935,2
no,8,no,1,0,3.56,6.58,205.33,6.58,1.02,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6068,0.8408,0.1931,3
no,8,no,1,0,3.56,6.58,205.33,6.58,1.02,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6008,0.8531,0.1943,4
no,11,no,1,0,4.58,9.05,222.4,9.05,4.79,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6003,0.852,0.1941,4
no,11,no,1,0,4.58,9.05,222.4,9.05,4.79,yes,yes,no,no,no,no,no,no,2.1,650.9,2.615,0.8451,0.1939,3
no,9,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6057,0.875,0.1969,4
no,9,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,2.597,0.8392,0.1925,4
no,12,no,1,0,5.4,10.83,315.94,10.83,6.08,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6014,0.8435,0.1932,3
no,12,no,1,0,5.4,10.83,315.94,10.83,6.08,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6095,0.8621,0.1956,3
no,10,no,1,0,3.6,6.77,215.15,6.77,2.78,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6063,0.8392,0.1929,3
no,10,no,1,0,3.6,6.77,215.15,6.77,2.78,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6123,0.8403,0.1932,3
no,9,no,2,0,3.87,7.5,151.32,6.5955,2.2517,yes,yes,no,no,no,no,no,no,2.1,650.9,1.312,0.4382,0.0989,4
no,9,no,2,0,3.87,7.5,151.32,6.5955,2.2517,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3148,0.4527,0.1006,4
no,9,no,2,0,3.6,6.77,181.33,6.2663,1.7234,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3127,0.4539,0.1007,4
no,9,no,2,0,3.6,6.77,181.33,6.2663,1.7234,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3163,0.4496,0.1003,4
no,9,no,2,0,3.56,6.58,181.33,6.1777,0.995,yes,yes,no,no,no,no,no,no,2.1,650.9,1.284,0.4496,0.0991,3
no,9,no,2,0,3.56,6.58,181.33,6.1777,0.995,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3034,0.4382,0.0986,2
no,9,no,2,0,3.56,6.58,181.33,6.1777,0.995,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3005,0.4523,0.1,3
no,9,no,2,0,3.56,6.58,181.33,6.1777,0.995,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3148,0.4394,0.0991,3
no,9,no,2,0,4.58,9.05,141.19,7.245,2.4166,yes,yes,no,no,no,no,no,no,2.1,650.9,1.312,0.4543,0.1007,4
no,9,no,2,0,4.58,9.05,141.19,7.245,2.4166,yes,yes,no,no,no,no,no,no,2.1,650.9,1.2976,0.4492,0.0996,4
no,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.2955,0.4397,0.0984,4
no,10,no,2,0,4.58,9.05,181.33,7.245,2.3043,yes,yes,no,no,no,no,no,no,2.1,650.9,1.2969,0.4488,0.0995,4
no,9,no,2,0,4.05,7.98,181.33,6.8032,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3105,0.4413,0.0992,3
no,9,no,2,0,4.05,7.98,181.33,6.8032,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3019,0.4394,0.0986,3
no,9,no,2,0,4.05,7.98,181.33,6.8032,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.2876,0.4437,0.0986,3
no,9,no,2,0,4.05,7.98,181.33,6.8032,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3105,0.4452,0.0996,3
yes,12,no,1,0,4.58,9.05,222.4,9.05,4.23,yes,yes,no,no,no,no,no,no,2.1,650.9,1.7598,1.302,0.1974,3
yes,4,no,1,0,5.74,11.24,170.62,11.24,8,yes,yes,no,no,no,no,no,no,2.1,650.9,1.739,1.2903,0.1954,3
yes,11,no,1,0,5.74,11.24,274.38,11.24,5.51,yes,yes,no,no,no,no,no,no,2.1,650.9,1.7359,1.3186,0.1973,1
yes,11,no,1,0,5.74,11.24,274.38,11.24,5.51,yes,yes,no,no,no,no,no,no,2.1,650.9,1.7484,1.2951,0.1962,1
yes,8,no,1,0,5.74,11.24,194.98,11.24,7.01,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0356,0.8024,0.1189,4
yes,8,no,1,0,5.4,10.83,203.2,10.83,8.99,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0396,0.781,0.1175,4
yes,8,no,1,0,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0529,0.7698,0.1174,3
yes,8,no,1,0,4.12,7.94,226.27,7.94,2.01,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0666,0.7842,0.1193,3
yes,8,no,1,0,4.58,9.05,141.19,9.05,5.98,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0486,0.7703,0.1172,4
yes,6,no,1,0,6.31,12.27,237.23,12.27,6,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0364,0.7981,0.1186,4
yes,8,no,1,0,5.7,11.35,340.64,11.35,2.25,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0764,0.7719,0.1189,1
yes,8,no,1,0,5.19,10.13,338.1,10.13,1.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0356,0.7773,0.117,4
yes,8,no,1,0,3.57,6.77,200.46,6.77,0.07,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0415,0.7719,0.1169,3
yes,8,no,1,0,6.48,13.1,271.92,13.1,8.38,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0576,0.7917,0.1193,4
yes,8,no,1,0,3.56,6.58,205.33,6.58,1.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0341,0.7762,0.1168,1
yes,8,no,1,0,4.15,8.07,190.53,8.07,5.69,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0219,0.7805,0.1165,4
yes,8,no,1,0,4.79,9.27,261.98,9.27,2.02,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0474,0.8072,0.1199,4
yes,7,no,1,0,4.69,9.35,277,9.35,1,yes,yes,no,no,no,no,no,no,2.1,650.9,1.029,0.7709,0.1162,1
yes,8,no,1,0,4.38,8.74,296.17,8.74,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0352,0.7746,0.1168,1
yes,7,no,1,0,4.66,9.43,250.4,9.43,3.2,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0454,0.7933,0.1188,4
yes,8,no,1,0,7.85,15.66,314.18,15.66,6.78,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0317,0.7719,0.1164,3
no,10,no,1,0,3.87,7.5,192.82,7.5,4.84,yes,yes,no,no,no,no,no,no,2.1,650.9,2.5883,0.8493,0.1934,4
no,10,no,1,0,3.87,7.5,192.82,7.5,4.84,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6074,0.8472,0.1938,4
no,10,no,1,0,3.87,7.5,192.82,7.5,4.84,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6291,0.8387,0.1937,4
no,10,no,1,0,4.58,9.05,181.5,9.05,5.31,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6095,0.8429,0.1934,1
no,10,no,1,0,4.58,9.05,181.5,9.05,5.31,yes,yes,no,no,no,no,no,no,2.1,650.9,2.591,0.8419,0.1926,1
no,10,no,1,0,4.58,9.05,181.5,9.05,5.31,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6133,0.8429,0.1936,1
no,11,no,1,0,5.4,10.83,315.94,10.83,6.59,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6014,0.8381,0.1926,2
no,11,no,1,0,5.4,10.83,315.94,10.83,6.59,yes,yes,no,no,no,no,no,no,2.1,650.9,2.5926,0.8408,0.1926,2
no,11,no,1,0,5.4,10.83,315.94,10.83,6.59,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6079,0.8381,0.1928,2
no,9,no,1,0,4.12,7.94,226.27,7.94,1.97,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6063,0.8429,0.1933,3
no,9,no,1,0,4.12,7.94,226.27,7.94,1.97,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6193,0.8403,0.1935,3
no,9,no,1,0,4.12,7.94,226.27,7.94,1.97,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6144,0.8451,0.1939,3
no,11,no,1,0,3.66,6.94,239.3,6.94,0,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6106,0.8509,0.1944,3
no,11,no,1,0,3.66,6.94,239.3,6.94,0,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6144,0.8435,0.1937,3
no,11,no,1,0,3.66,6.94,239.3,6.94,0,yes,yes,no,no,no,no,no,no,2.1,650.9,2.6063,0.8488,0.194,3
no,12,no,2,0,6.48,12.74,181.33,8.596,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3213,0.4519,0.1008,1
no,3,no,2,0,6.48,12.74,181.33,8.596,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.327,0.4441,0.1001,1
no,8,no,2,0,6.48,12.74,181.33,8.596,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3184,0.4503,0.1005,1
no,8,no,2,0,4.12,7.94,181.33,6.7862,1.4177,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3313,0.4531,0.1013,1
no,10,no,2,0,4.12,7.94,181.33,6.7862,1.3191,yes,yes,no,no,no,no,no,no,2.1,650.9,1.2948,0.4464,0.0992,1
no,13,no,2,0,4.12,7.94,181.33,6.7862,1,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3241,0.4433,0.0999,1
no,4,no,2,0,4.12,7.94,181.33,6.7862,1.7292,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3127,0.4574,0.1011,1
no,9,no,2,0,5.19,10.13,181.33,7.6651,0.9849,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3141,0.459,0.1013,1
no,10,no,2,0,5.19,10.13,181.33,7.6651,0.8485,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3062,0.4413,0.099,1
no,12,no,2,0,5.19,10.13,181.33,7.6651,0.1732,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3077,0.4554,0.1006,1
no,3,no,2,0,5.19,10.13,181.33,7.6651,1.4142,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3764,0.4594,0.1037,1
no,10,no,2,0,4.79,9.27,181.33,7.3325,1.3416,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3091,0.4535,0.1005,1
no,7,no,2,0,4.79,9.27,181.33,7.3325,1.4663,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3184,0.4547,0.101,1
no,12,no,2,0,4.79,9.27,181.33,7.3325,1.0198,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3134,0.459,0.1013,1
no,3,no,2,0,4.79,9.27,181.33,7.3325,1.7321,yes,yes,no,no,no,no,no,no,2.1,650.9,1.2969,0.4527,0.0999,1
no,8,no,2,0,3.6,6.77,181.33,6.2663,1.7349,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3213,0.4601,0.1017,4
no,8,no,2,0,3.6,6.77,181.33,6.2663,1.7349,yes,yes,no,no,no,no,no,no,2.1,650.9,1.2934,0.4472,0.0992,4
no,9,no,2,0,3.56,6.58,181.33,6.1777,0.995,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3198,0.4649,0.1022,3
no,9,no,2,0,3.56,6.58,181.33,6.1777,0.995,yes,yes,no,no,no,no,no,no,2.1,650.9,1.332,0.4605,0.1021,3
no,10,no,2,0,4.9,9.67,172.41,7.4891,2.4249,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3055,0.4668,0.1018,4
no,10,no,2,0,4.9,9.67,172.41,7.4891,2.4249,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3384,0.4668,0.1031,4
