@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R5,16,25,32,80,170,172,174,180,230,274'

@attribute leak {yes,no}
@attribute orgminimalprojectionradiusMax numeric
@attribute orgASA_PMax numeric
@attribute orgmaximalprojectionradiusMin numeric
@attribute orgASA-GeomAvg numeric
@attribute Te {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute S {yes,no}
@attribute hardnessMax numeric
@attribute outcome {1,2,3,4}

@data
no,3.12,33.93,4.05,64.97,no,no,no,no,373,3
no,3.12,33.93,4.05,64.97,no,no,no,no,373,3
no,3.12,33.93,4.05,64.97,no,no,no,no,373,2
no,3.12,33.93,4.05,64.97,no,no,no,no,373,1
no,3.12,33.93,4.05,64.97,no,no,no,no,373,4
no,3.12,33.93,4.05,64.97,no,no,no,no,373,3
no,3.12,33.93,4.05,64.97,no,no,no,no,373,3
no,3.12,33.93,4.05,64.97,no,no,no,no,373,3
no,3.83,16.6,5.19,72.8,no,no,no,no,300.1,3
yes,3.83,14.69,5.19,83.69,no,no,no,no,300.1,4
no,3.83,16.6,5.19,72.8,no,no,no,no,300.1,3
no,3.83,16.6,5.19,72.8,no,no,no,no,373,4
yes,3.12,33.93,4.05,64.97,no,no,no,no,373,4
no,3.12,33.93,4.05,64.97,no,no,no,no,373,4
no,3.21,64.03,3.84,17.71,no,no,no,no,373,3
no,3.21,64.03,3.84,17.71,no,no,no,no,373,3
no,3.62,30.99,4.77,86.74,no,no,no,no,373,3
yes,3.42,32.37,4.66,35.85,no,no,no,no,373,4
no,3.41,27.89,4.12,18.24,no,no,no,no,373,3
no,4.62,34.93,5.82,105.39,no,no,no,no,373,3
no,3.47,72.41,5.4,7.71,no,no,no,no,373,2
no,3.36,17.76,3.56,0,no,no,no,no,373,3
yes,2.62,44.53,5.06,51.26,no,no,no,no,373,3
no,3.12,33.93,4.05,64.97,no,no,no,no,373,4
no,3.43,28.21,4.18,29.96,no,no,no,no,373,4
no,3.43,28.21,4.18,29.96,no,no,no,no,373,4
no,3.43,28.21,4.18,29.96,no,no,no,no,373,4
no,3.43,28.21,4.18,29.96,no,no,no,no,373,4
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,3.12,33.93,4.05,64.97,no,no,no,no,373,3
no,3.21,64.03,3.84,17.71,no,no,no,no,373,3
no,3.62,31.24,4.77,25.88,no,no,no,no,373,3
no,3.42,32.37,4.66,35.85,no,no,no,no,373,3
no,3.33,13.86,4.69,36.51,no,no,no,no,373,3
no,2.62,44.53,5.06,51.26,no,no,no,no,373,4
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,3.12,33.93,4.05,64.97,no,no,no,no,373,3
no,3.21,64.03,3.84,17.71,no,no,no,no,373,3
no,3.62,31.24,4.77,25.88,no,no,no,no,373,3
no,3.42,32.37,4.66,35.85,no,no,no,no,373,3
no,3.41,27.89,4.12,18.24,no,no,no,no,373,3
no,3.33,13.86,4.69,36.51,no,no,no,no,373,3
no,2.62,44.53,5.06,51.26,no,no,no,no,373,4
yes,3.62,36.59,3.76,16.46,no,no,no,no,373,1
yes,3.47,72.41,5.4,7.71,no,no,no,no,373,1
yes,3.42,32.37,4.66,35.85,no,no,no,no,373,1
no,3.41,27.89,4.12,18.24,no,no,no,no,373,3
no,3.33,13.86,4.69,36.51,no,no,no,no,373,4
no,3.38,45.39,4.38,23.68,no,no,no,no,373,3
no,3.12,33.93,4.05,64.97,no,no,no,no,373,3
no,3.62,31.24,4.77,25.88,no,no,no,no,373,3
no,3.21,64.03,3.84,17.71,no,no,no,no,373,3
no,3.12,59.99,4.05,28.58,no,no,no,no,373,2
no,3.07,50.03,4.56,23.01,no,no,no,no,373,2
no,3.55,90.41,3.57,3.71,no,no,no,no,373,2
no,2.92,112.14,5.74,17.11,no,no,no,no,373,3
no,3.44,128.75,6.48,16.81,no,no,no,no,373,2
no,2.62,44.53,5.06,51.26,no,no,no,no,373,2
yes,3.83,16.6,5.19,72.8,no,no,no,no,373,1
no,3.76,104.58,7.85,46.69,no,no,no,no,373,3
no,4.81,142.75,5.4,22.22,no,no,no,no,373,3
no,3.42,32.37,4.66,35.85,no,no,no,no,373,2
no,3.41,27.89,4.12,18.24,no,no,no,no,373,3
no,3.12,59.99,4.05,28.58,no,no,no,no,373,3
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,3.41,27.25,4.12,29.41,yes,no,no,no,339.6,4
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,4
no,3.33,12.27,4.69,44.29,yes,no,no,no,339.6,4
no,2.94,96.39,6.31,75.36,yes,no,no,no,339.6,4
no,3.83,14.69,5.19,83.69,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,2.88,96.38,4.58,43.33,yes,no,no,no,339.6,4
no,2.88,96.38,4.58,43.33,yes,no,no,no,339.6,4
no,2.88,96.38,4.58,43.33,yes,no,no,no,339.6,4
no,2.96,96.02,4.9,42.52,yes,no,no,no,339.6,3
no,2.96,96.02,4.9,42.52,yes,no,no,no,339.6,3
no,2.96,96.02,4.9,42.52,yes,no,no,no,339.6,3
no,2.94,96.32,5.81,68.08,yes,no,no,no,339.6,3
no,2.94,96.32,5.81,68.08,yes,no,no,no,339.6,3
no,2.94,96.32,5.81,68.08,yes,no,no,no,339.6,3
no,3.07,96.34,6.89,82.6,yes,no,no,no,339.6,4
no,3.07,96.34,6.89,82.6,yes,no,no,no,339.6,4
no,3.07,96.34,6.89,82.6,yes,no,no,no,339.6,4
no,3.37,96.36,7.56,89.91,yes,no,no,no,339.6,4
no,3.37,96.36,7.56,89.91,yes,no,no,no,339.6,3
no,3.37,96.36,7.56,89.91,yes,no,no,no,339.6,4
no,3.16,96.37,8.1,97,yes,no,no,no,339.6,3
no,3.16,96.37,8.1,97,yes,no,no,no,339.6,4
no,3.42,32.37,4.66,35.85,no,no,no,no,373,3
no,3.42,32.37,4.66,35.85,no,no,no,no,300.1,3
no,3.42,32.37,4.66,35.85,no,no,no,no,300.1,3
no,3.38,45.39,4.38,23.68,no,no,no,no,373,3
no,3.38,45.39,4.38,23.68,no,no,no,no,300.1,4
no,3.38,45.39,4.38,23.68,no,no,no,no,300.1,3
no,3.12,59.99,4.05,28.58,no,no,no,no,373,3
no,3.12,59.99,4.05,28.58,no,no,no,no,300.1,2
no,3.12,59.99,4.05,28.58,no,no,no,no,300.1,3
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,3.83,16.6,5.19,72.8,no,no,no,no,300.1,3
no,3.83,16.6,5.19,72.8,no,no,no,no,300.1,3
no,3.48,58.26,4.18,14.88,no,no,no,no,373,2
no,3.48,58.26,4.18,14.88,no,no,no,no,300.1,2
no,3.48,58.26,4.18,14.88,no,no,no,no,300.1,2
yes,2.92,112.14,5.74,17.11,no,no,no,no,373,1
yes,2.92,112.14,5.74,17.11,no,no,no,no,300.1,1
yes,2.92,112.14,5.74,17.11,no,no,no,no,300.1,1
no,3.76,107.52,7.85,46.15,no,no,no,no,373,3
no,3.76,107.52,7.85,46.15,no,no,no,no,300.1,4
yes,3.76,107.52,7.85,46.15,no,no,no,no,300.1,1
no,3.41,27.89,4.12,18.24,no,no,no,no,373,4
no,3.41,27.89,4.12,18.24,no,no,no,no,373,4
no,2.6,96.11,3.87,17.75,no,no,no,yes,373,4
no,3.36,17.76,3.56,0,no,no,no,yes,373,4
no,2.88,96.38,4.58,43.33,no,no,no,yes,373,3
no,2.96,96.02,4.9,42.52,no,no,no,yes,373,4
no,2.94,96.32,5.81,68.08,no,no,no,yes,373,3
no,3.57,41.81,3.6,0,no,no,no,yes,373,3
no,3.41,27.89,4.12,18.24,no,no,no,yes,373,3
no,2.6,96.11,3.87,17.75,no,no,no,yes,373,3
no,2.6,96.11,3.87,17.75,no,no,no,yes,373,3
no,2.6,96.11,3.87,17.75,no,no,no,yes,373,3
no,2.6,96.11,3.87,17.75,no,no,no,yes,373,4
no,2.6,96.11,3.87,17.75,no,no,no,yes,373,2
no,2.6,96.11,3.87,17.75,no,no,no,yes,373,4
no,2.6,96.11,3.87,17.75,no,no,no,yes,373,4
no,2.6,96.11,3.87,17.75,no,no,no,yes,373,3
no,2.6,96.11,3.87,17.75,no,no,no,yes,373,4
no,2.6,96.11,3.87,17.75,no,no,no,yes,373,4
no,2.6,96.11,3.87,17.75,no,no,no,yes,373,4
no,2.6,96.11,3.87,17.75,no,no,no,yes,373,4
no,4.81,143.27,5.4,53.09,no,no,no,yes,373,3
no,3.12,33.93,4.05,64.97,no,no,no,yes,373,3
no,3.33,13.86,4.69,36.51,no,no,no,yes,373,4
no,3.38,27.88,4.38,87.65,no,no,no,yes,373,2
no,3.48,26.37,4.79,27.53,no,no,no,yes,373,3
no,2.62,44.53,5.06,51.26,no,no,no,yes,373,3
no,3.3,26.03,5.7,74.62,no,no,no,yes,373,4
no,3.83,16.6,5.19,72.8,no,no,no,yes,373,3
no,3.12,46.13,3.16,62.1644,yes,no,no,no,339.6,3
no,3.33,46.13,3.16,51.3261,yes,no,no,no,339.6,3
no,3.42,46.13,3.16,51.517,yes,no,no,no,339.6,3
no,3.38,46.13,3.16,72.204,yes,no,no,no,339.6,4
no,3.48,46.13,3.16,46.428,yes,no,no,no,339.6,4
no,3.41,46.13,3.16,41.8247,yes,no,no,no,339.6,4
no,3.76,102.72,3.16,52.6476,yes,no,no,no,339.6,4
no,3.57,46.13,3.16,27.7108,yes,no,no,no,339.6,4
no,3.36,46.13,3.16,17.1762,yes,no,no,no,339.6,4
no,2.42,46.13,3.16,59.48,yes,no,no,no,339.6,3
no,2.6,61.92,3.16,48.256,yes,no,no,no,339.6,3
no,2.88,96.38,3.16,50.7668,yes,no,no,no,339.6,3
no,2.96,96.02,3.16,50.2901,yes,no,no,no,339.6,4
no,2.94,96.32,3.16,63.6349,yes,no,no,no,339.6,4
no,3.06,46.13,3.16,79.5343,yes,no,no,no,339.6,3
no,3.41,27.89,4.12,18.24,no,no,no,no,373,3
yes,3.41,27.89,4.12,18.24,no,no,no,no,373,1
no,3.41,27.89,4.12,18.24,no,no,no,no,373,3
no,3.33,13.86,4.69,36.51,no,no,no,no,373,2
no,3.33,13.86,4.69,36.51,no,no,no,no,373,3
no,3.33,13.86,4.69,36.51,no,no,no,no,373,3
no,3.12,59.99,4.05,28.58,no,no,no,no,373,3
no,3.12,59.99,4.05,28.58,no,no,no,no,373,3
no,3.12,59.99,4.05,28.58,no,no,no,no,373,3
no,3.42,32.37,4.66,35.85,no,no,no,no,373,3
no,3.42,32.37,4.66,35.85,no,no,no,no,373,3
no,3.42,32.37,4.66,35.85,no,no,no,no,373,3
no,3.38,45.39,4.38,23.68,no,no,no,no,373,2
no,3.38,45.39,4.38,23.68,no,no,no,no,373,4
yes,3.38,45.39,4.38,23.68,no,no,no,no,373,1
no,3.83,16.6,5.19,72.8,no,no,no,no,373,4
yes,3.83,16.6,5.19,72.8,no,no,no,no,373,1
no,3.83,16.6,5.19,72.8,no,no,no,no,373,4
no,2.92,112.14,5.74,17.11,no,no,no,no,373,4
no,2.92,112.14,5.74,17.11,no,no,no,no,373,3
yes,2.92,112.14,5.74,17.11,no,no,no,no,373,1
no,3.42,32.37,4.66,35.85,no,no,no,no,373,3
no,3.41,27.89,4.12,18.24,no,no,no,no,373,3
yes,3.33,13.86,4.69,36.51,no,no,no,no,373,1
no,3.12,59.99,4.05,28.58,no,no,no,no,373,4
no,3.12,59.99,4.05,28.58,no,no,no,no,373,3
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,3.38,45.39,4.38,23.68,no,no,no,no,373,4
yes,3.42,32.37,4.66,35.85,no,no,no,no,373,1
no,3.41,27.89,4.12,18.24,no,no,no,no,373,2
no,3.33,13.86,4.69,36.51,no,no,no,no,373,3
no,3.12,59.99,4.05,28.58,no,no,no,no,373,2
no,2.92,112.14,5.74,17.11,no,no,no,no,373,3
yes,3.83,16.6,5.19,72.8,no,no,no,no,373,1
no,3.38,45.39,4.38,23.68,no,no,no,no,373,3
no,3.41,27.89,4.12,18.24,no,no,no,no,373,3
no,3.41,27.89,4.12,18.24,no,no,no,no,373,3
no,3.41,27.89,4.12,18.24,no,no,no,no,373,4
no,3.41,27.89,4.12,18.24,no,no,no,no,373,4
yes,3.41,27.89,4.12,18.24,no,no,no,no,373,1
no,3.41,27.89,4.12,18.24,no,no,no,no,373,3
no,3.41,27.89,4.12,18.24,no,no,no,no,373,3
no,3.41,27.89,4.12,18.24,no,no,no,no,373,4
no,3.41,27.89,4.12,18.24,no,no,no,no,373,4
no,3.41,27.89,4.12,18.24,no,no,no,no,373,3
no,3.41,27.89,4.12,18.24,no,no,no,no,373,4
no,2.88,96.38,3.16,50.7668,yes,no,no,no,339.6,3
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,3
no,2.88,96.38,3.16,50.7668,yes,no,no,no,339.6,3
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,3
no,3.07,96.34,6.89,82.6,yes,no,no,no,339.6,4
no,3.07,96.34,6.89,82.6,yes,no,no,no,339.6,4
no,3.07,96.34,6.89,82.6,yes,no,no,no,339.6,4
no,3.37,96.36,7.56,89.91,yes,no,no,no,339.6,4
no,3.37,96.36,7.56,89.91,yes,no,no,no,339.6,3
no,3.37,96.36,7.56,89.91,yes,no,no,no,339.6,4
no,3.16,96.37,8.1,97,yes,no,no,no,339.6,3
no,3.16,96.37,8.1,97,yes,no,no,no,339.6,4
no,3.33,12.27,4.69,44.29,yes,no,no,no,339.6,4
no,3.33,12.27,4.69,44.29,yes,no,no,no,339.6,4
no,3.33,12.27,4.69,44.29,yes,no,no,no,339.6,4
no,3.41,27.25,4.12,29.41,yes,no,no,no,339.6,3
no,3.41,27.25,4.12,29.41,yes,no,no,no,339.6,1
no,3.41,27.25,4.12,29.41,yes,no,no,no,339.6,3
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,3
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,4
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,3
no,3.36,13.98,3.56,4.96,yes,no,no,no,339.6,4
no,3.36,13.98,3.56,4.96,yes,no,no,no,339.6,4
no,3.36,13.98,3.56,4.96,yes,no,no,no,339.6,4
no,3.57,30.88,3.6,12.91,yes,no,no,no,339.6,4
no,3.57,30.88,3.6,12.91,yes,no,no,no,339.6,4
no,3.57,30.88,3.6,12.91,yes,no,no,no,339.6,4
no,3.06,0,3.66,106.35,yes,no,no,no,339.6,2
no,3.06,0,3.66,106.35,yes,no,no,no,339.6,4
no,3.06,0,3.66,106.35,yes,no,no,no,339.6,3
no,2.99,19.05,4.46,80.41,yes,no,no,no,339.6,3
no,2.99,19.05,4.46,80.41,yes,no,no,no,339.6,4
no,2.99,19.05,4.46,80.41,yes,no,no,no,339.6,3
no,6.5,0,6.9,135.75,yes,no,no,no,339.6,3
no,6.5,0,6.9,135.75,yes,no,no,no,339.6,3
no,6.5,0,6.9,135.75,yes,no,no,no,339.6,3
no,3.72,40.31,4.15,40.87,yes,no,no,no,339.6,3
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,3
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,1
yes,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,4
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,4
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,4
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,4
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,3
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,4
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,4
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,4
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,3
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,4
?,3.62,30.99,4.77,86.74,yes,no,no,no,339.6,1
?,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,1
?,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,1
?,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,1
?,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,1
?,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,1
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,1
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,1
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,1
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,1
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,3
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,4
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,4
no,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,4
no,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,3
no,3.33,12.27,4.69,44.29,yes,no,no,no,339.6,3
?,3.33,12.27,4.69,44.29,yes,no,no,no,339.6,4
?,3.33,12.27,4.69,44.29,yes,no,no,no,339.6,4
?,3.38,27.88,4.38,87.65,yes,no,no,no,339.6,3
?,3.38,27.88,4.38,87.65,yes,no,no,no,339.6,3
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,4
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,3
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,3
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,3
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,3
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,4
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,3
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,2
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,2
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,3
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,3
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,3
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,3
?,3.43,28.21,4.18,29.96,yes,no,no,no,339.6,3
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,3
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,96.38,3.16,50.7668,no,no,no,no,300.1,4
no,2.88,96.38,3.16,50.7668,no,no,no,no,300.1,4
no,2.88,96.38,3.16,50.7668,no,no,no,no,300.1,4
no,2.88,96.38,3.16,50.7668,no,no,no,no,300.1,4
no,2.88,96.38,3.16,50.7668,no,no,no,no,300.1,4
no,2.88,96.38,3.16,50.7668,no,no,no,no,300.1,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,3
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,3
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,3
no,3.48,46.13,3.16,46.428,yes,no,no,no,339.6,4
no,3.48,46.13,3.16,46.428,yes,no,no,no,339.6,4
no,3.48,46.13,3.16,46.428,yes,no,no,no,339.6,4
no,3.48,46.13,3.16,46.428,yes,no,no,no,339.6,4
no,2.6,61.92,3.87,39.15,yes,no,no,no,339.6,2
no,2.6,61.92,3.87,39.15,yes,no,no,no,339.6,2
no,3.36,13.98,3.56,4.96,yes,no,no,no,339.6,3
no,3.36,13.98,3.56,4.96,yes,no,no,no,339.6,4
no,2.88,25.06,4.58,69.6,yes,no,no,no,339.6,4
no,2.88,25.06,4.58,69.6,yes,no,no,no,339.6,3
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,4
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,4
no,4.81,37.25,5.4,37.25,yes,no,no,no,339.6,3
no,4.81,37.25,5.4,37.25,yes,no,no,no,339.6,3
no,3.57,19.12,3.6,19.12,yes,no,no,no,339.6,3
no,3.57,19.12,3.6,19.12,yes,no,no,no,339.6,3
no,2.6,61.92,3.16,48.256,yes,no,no,no,339.6,4
no,2.6,61.92,3.16,48.256,yes,no,no,no,339.6,4
no,3.57,46.13,3.16,27.7108,yes,no,no,no,339.6,4
no,3.57,46.13,3.16,27.7108,yes,no,no,no,339.6,4
no,3.36,46.13,3.16,17.1762,yes,no,no,no,339.6,3
no,3.36,46.13,3.16,17.1762,yes,no,no,no,339.6,2
no,3.36,46.13,3.16,17.1762,yes,no,no,no,339.6,3
no,3.36,46.13,3.16,17.1762,yes,no,no,no,339.6,3
no,2.88,96.38,3.16,50.7668,yes,no,no,no,339.6,4
no,2.88,96.38,3.16,50.7668,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,2.88,60.56,3.16,54.3651,yes,no,no,no,339.6,4
no,3.12,46.13,3.16,62.1644,yes,no,no,no,339.6,3
no,3.12,46.13,3.16,62.1644,yes,no,no,no,339.6,3
no,3.12,46.13,3.16,62.1644,yes,no,no,no,339.6,3
no,3.12,46.13,3.16,62.1644,yes,no,no,no,339.6,3
no,2.88,25.06,4.58,69.6,yes,no,no,no,339.6,3
no,2.92,112.14,5.74,17.11,yes,no,no,no,339.6,3
no,2.92,33.96,5.74,33.96,yes,no,no,no,339.6,1
no,2.92,33.96,5.74,33.96,yes,no,no,no,339.6,1
no,2.92,104.8,5.74,52.63,yes,no,no,no,339.6,4
no,4.81,143.27,5.4,53.09,yes,no,no,no,339.6,4
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,3
no,3.41,27.25,4.12,29.41,yes,no,no,no,339.6,3
no,2.88,96.38,4.58,43.33,yes,no,no,no,339.6,4
no,2.94,96.39,6.31,75.36,yes,no,no,no,339.6,4
no,3.3,24.54,5.7,88.73,yes,no,no,no,339.6,1
no,3.83,14.69,5.19,83.69,yes,no,no,no,339.6,4
no,3.55,18.92,3.57,18.92,yes,no,no,no,339.6,3
no,3.44,111.5,6.48,58.71,yes,no,no,no,339.6,4
no,3.36,13.98,3.56,4.96,yes,no,no,no,339.6,1
no,3.72,40.31,4.15,40.87,yes,no,no,no,339.6,4
no,3.48,14.18,4.79,36.24,yes,no,no,no,339.6,4
no,3.33,12.27,4.69,44.29,yes,no,no,no,339.6,1
no,3.38,27.88,4.38,87.65,yes,no,no,no,339.6,1
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,4
no,3.76,102.72,7.85,46.6,yes,no,no,no,339.6,3
no,2.6,27.06,3.87,27.06,yes,no,no,no,339.6,4
no,2.6,27.06,3.87,27.06,yes,no,no,no,339.6,4
no,2.6,27.06,3.87,27.06,yes,no,no,no,339.6,4
no,2.88,60.56,4.58,49.69,yes,no,no,no,339.6,1
no,2.88,60.56,4.58,49.69,yes,no,no,no,339.6,1
no,2.88,60.56,4.58,49.69,yes,no,no,no,339.6,1
no,4.81,37.25,5.4,37.25,yes,no,no,no,339.6,2
no,4.81,37.25,5.4,37.25,yes,no,no,no,339.6,2
no,4.81,37.25,5.4,37.25,yes,no,no,no,339.6,2
no,3.41,27.25,4.12,29.41,yes,no,no,no,339.6,3
no,3.41,27.25,4.12,29.41,yes,no,no,no,339.6,3
no,3.41,27.25,4.12,29.41,yes,no,no,no,339.6,3
no,3.06,0,3.66,106.35,yes,no,no,no,339.6,3
no,3.06,0,3.66,106.35,yes,no,no,no,339.6,3
no,3.06,0,3.66,106.35,yes,no,no,no,339.6,3
no,3.21,46.13,3.16,80.7293,yes,no,no,no,339.6,1
no,3.21,46.13,3.16,80.7293,yes,no,no,no,339.6,1
no,3.21,46.13,3.16,80.7293,yes,no,no,no,339.6,1
no,3.41,46.13,3.16,41.8247,yes,no,no,no,339.6,1
no,3.41,46.13,3.16,46.2161,yes,no,no,no,339.6,1
no,3.41,46.13,3.16,46.2161,yes,no,no,no,339.6,1
no,3.41,46.13,3.16,32.9381,yes,no,no,no,339.6,1
no,3.83,46.13,3.16,70.5541,yes,no,no,no,339.6,1
no,3.83,46.13,3.16,75.3759,yes,no,no,no,339.6,1
no,3.83,46.13,3.16,75.3759,yes,no,no,no,339.6,1
no,3.83,46.13,3.16,65.8038,yes,no,no,no,339.6,1
no,3.48,46.13,3.16,51.4245,yes,no,no,no,339.6,1
no,3.48,46.13,3.16,46.428,yes,no,no,no,339.6,1
no,3.48,46.13,3.16,51.4245,yes,no,no,no,339.6,1
no,3.48,46.13,3.16,40.4658,yes,no,no,no,339.6,1
no,3.57,46.13,3.16,27.7108,yes,no,no,no,339.6,4
no,3.57,46.13,3.16,27.7108,yes,no,no,no,339.6,4
no,3.36,46.13,3.16,17.1762,yes,no,no,no,339.6,3
no,3.36,46.13,3.16,17.1762,yes,no,no,no,339.6,3
no,2.96,96.02,3.16,50.2901,yes,no,no,no,339.6,4
no,2.96,96.02,3.16,50.2901,yes,no,no,no,339.6,4
no,3.12,46.13,3.16,62.1644,yes,no,no,no,339.6,3
no,3.12,46.13,3.16,62.1644,yes,no,no,no,339.6,4
no,3.83,46.13,3.16,70.5541,yes,no,no,no,339.6,4
no,3.83,46.13,3.16,70.5541,yes,no,no,no,339.6,3
no,2.94,96.32,3.16,63.6349,yes,no,no,no,339.6,3
no,2.94,96.32,3.16,63.6349,yes,no,no,no,339.6,2
no,2.62,46.13,3.16,64.549,yes,no,no,no,339.6,4
no,2.62,46.13,3.16,64.549,yes,no,no,no,339.6,4
no,3.03,46.13,3.16,71.7785,yes,no,no,no,339.6,4
no,3.03,46.13,3.16,71.7785,yes,no,no,no,339.6,4
no,2.62,46.13,3.16,55.2173,yes,no,no,no,339.6,1
