@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1-3,5,9,14,24,33,39,94-95,101,170-172,174,178-180,183,185,224,256,259-260,274'

@attribute Temp_max numeric
@attribute time numeric
@attribute slowCool {yes,no}
@attribute leak {yes,no}
@attribute numberComponents numeric
@attribute orgmaximalprojectionsizeMax numeric
@attribute orgASA_HMax numeric
@attribute orgmaximalprojectionsizeMin numeric
@attribute orgvanderwaalsMin numeric
@attribute oxlikeavgpol_pHdependentMax numeric
@attribute oxlikemolpolMax numeric
@attribute oxlikeASA_PMax numeric
@attribute Te {yes,no}
@attribute Br {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute N {yes,no}
@attribute P {yes,no}
@attribute S {yes,no}
@attribute Zn {yes,no}
@attribute Cl {yes,no}
@attribute V6 {yes,no}
@attribute IonizationMinWeighted numeric
@attribute PearsonElectronegMinWeighted numeric
@attribute hardnessMinWeighted numeric
@attribute outcome {1,2,3,4}

@data
110,48,yes,no,3,6.62,194.04,6.62,211.8,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6416,0.3457,0.2958,3
110,48,yes,no,3,6.62,194.04,6.62,211.8,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6644,0.358,0.3063,3
110,48,yes,no,3,5.69,173.72,5.69,210.31,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6521,0.3514,0.3007,3
110,48,yes,no,3,5.69,173.72,5.69,210.31,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6594,0.3553,0.304,3
110,48,yes,no,3,5.56,161.57,5.56,203.38,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6532,0.352,0.3012,3
110,48,yes,yes,3,5.56,161.57,5.56,203.38,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6649,0.3583,0.3066,1
90,24,yes,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6599,0.3556,0.3043,3
90,24,yes,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6371,0.3433,0.2937,3
90,24,yes,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6455,0.3478,0.2976,3
90,24,yes,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6733,0.3628,0.3104,3
90,24,yes,no,3,5.4,170.62,5.4,282.76,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6499,0.3502,0.2996,4
90,24,yes,no,3,5.4,170.62,5.4,282.76,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6455,0.3478,0.2976,4
90,24,yes,no,3,5.4,170.62,5.4,282.76,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6271,0.3379,0.2891,4
90,24,yes,no,3,5.4,170.62,5.4,282.76,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6544,0.3526,0.3017,4
90,24,yes,no,3,5.25,261.95,5.25,275.81,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.651,0.3508,0.3002,3
90,24,yes,no,3,5.25,261.95,5.25,275.81,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6577,0.3544,0.3032,3
90,24,yes,no,3,5.25,261.95,5.25,275.81,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6416,0.3457,0.2958,3
90,24,yes,no,3,5.25,261.95,5.25,275.81,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6571,0.3541,0.303,3
90,48,no,no,3,5.18,213.24,5.18,273.23,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6578,0.3544,0.3033,3
90,48,no,no,3,5.69,142.39,5.69,206.42,-1,-1,-1,no,no,no,no,yes,no,no,no,yes,yes,0.6542,0.3525,0.3016,3
90,48,no,no,3,5.52,225.86,5.52,258.23,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6685,0.3602,0.3082,3
90,48,no,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6571,0.354,0.3029,3
90,48,no,no,3,4.08,263.26,4.08,294.5,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6642,0.3579,0.3062,4
90,48,no,no,3,4.08,263.26,4.08,294.5,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7725,0.4162,0.3561,4
90,24,yes,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6592,0.3552,0.3039,4
90,24,yes,no,3,7.03,110.13,7.03,200.55,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6642,0.3579,0.3062,3
90,24,yes,no,3,5.18,247.34,5.18,281.27,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6542,0.3525,0.3016,3
90,24,yes,no,3,5.69,142.39,5.69,206.42,-1,-1,-1,no,no,no,no,yes,no,no,no,yes,yes,0.7093,0.3822,0.327,4
90,24,yes,no,3,4.08,263.26,4.08,294.5,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7107,0.3829,0.3277,4
90,24,yes,no,3,5.52,225.86,5.52,258.23,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6878,0.3706,0.3171,3
130,20,yes,no,3,5.25,261.95,5.25,275.81,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6678,0.3598,0.3079,4
130,20,yes,no,3,5.25,261.95,5.25,275.81,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6684,0.3601,0.3081,2
130,20,yes,yes,3,5.25,261.95,5.25,275.81,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6411,0.3454,0.2956,1
130,20,yes,yes,3,5.25,261.95,5.25,275.81,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6518,0.3512,0.3005,1
130,20,yes,yes,3,5.25,261.95,5.25,275.81,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6774,0.365,0.3123,1
130,20,yes,yes,3,5.25,261.95,5.25,275.81,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6636,0.3575,0.3059,1
105,60,yes,no,4,5.92,210.85,5.92,238.74,5.84,5.75,220.06,no,no,no,no,yes,no,no,no,no,yes,0.6599,0.3556,0.3043,4
105,60,yes,no,4,5.92,210.85,5.92,238.74,5.84,5.75,220.06,no,no,no,no,yes,no,no,no,no,yes,0.661,0.3562,0.3048,4
105,60,yes,no,4,5.92,210.85,5.92,238.74,6.23,5.87,211.65,no,no,no,no,yes,no,no,no,no,yes,0.7089,0.3819,0.3268,4
105,60,yes,no,4,5.92,210.85,5.92,238.74,6.23,5.87,211.65,no,no,no,no,yes,no,no,no,no,yes,0.6571,0.3541,0.303,4
105,60,yes,no,4,5.92,210.85,5.92,238.74,5.84,5.75,220.06,no,no,no,no,yes,no,no,no,no,yes,0.651,0.3508,0.3002,4
105,60,yes,no,4,5.92,210.85,5.92,238.74,5.46,5.63,209.93,no,no,no,no,yes,no,no,no,no,yes,0.7389,0.3981,0.3407,4
90,24,?,no,3,5.18,247.34,5.18,281.27,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7975,0.4297,0.3677,4
90,24,?,no,3,5.18,247.34,5.18,281.27,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.773,0.4165,0.3564,4
90,24,?,no,3,4.08,267.23,4.08,298.21,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7719,0.4159,0.3559,4
90,24,?,no,3,4.08,267.23,4.08,298.21,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7789,0.4196,0.3591,3
90,24,?,no,3,5.69,142.39,5.69,206.42,-1,-1,-1,no,no,no,no,yes,no,no,no,yes,yes,0.7895,0.4254,0.364,4
90,24,?,no,3,5.69,142.39,5.69,206.42,-1,-1,-1,no,no,no,no,yes,no,no,no,yes,yes,0.7693,0.4145,0.3547,4
90,24,?,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7863,0.4237,0.3625,4
90,24,?,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7842,0.4225,0.3616,3
90,24,?,no,3,5.52,225.86,5.52,258.23,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7853,0.4231,0.3621,2
90,24,?,no,3,5.52,225.86,5.52,258.23,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7922,0.4268,0.3653,2
90,24,?,no,3,5.71,239.3,5.71,239.3,-1,-1,-1,no,no,no,no,no,no,no,no,yes,yes,0.7863,0.4237,0.3625,2
90,24,?,no,3,5.71,239.3,5.71,239.3,-1,-1,-1,no,no,no,no,no,no,no,no,yes,yes,0.7837,0.4222,0.3613,2
90,24,?,no,3,5.18,247.34,5.18,281.27,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7773,0.4188,0.3584,4
90,24,?,no,3,5.18,247.34,5.18,281.27,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7757,0.4179,0.3576,4
