@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1-3,5,18,26,63,83,99-100,103,170,172,174,180,182,234,255,261,274'

@attribute Temp_max numeric
@attribute time numeric
@attribute slowCool {yes,no}
@attribute leak {yes,no}
@attribute orgavgpol_pHdependentMax numeric
@attribute orgpolarsurfaceareaMax numeric
@attribute orgASA_PArithAvg numeric
@attribute orgpolarsurfaceareaGeomAvg numeric
@attribute oxlikeASA-Max numeric
@attribute oxlikeASA_HMax numeric
@attribute oxlikehbdamsaccMax numeric
@attribute Te {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute S {yes,no}
@attribute Se {yes,no}
@attribute PaulingElectronegMin numeric
@attribute AtomicRadiusMaxWeighted numeric
@attribute AtomicRadiusMinWeighted numeric
@attribute outcome {1,2}

@data
90,24,yes,no,14.51,33.22,32.37,33.22,-1,-1,-1,no,no,no,no,yes,1.63,0.6162,0.1807,2
130,20,yes,no,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6506,0.1754,2
130,20,yes,no,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.5394,0.1756,1
130,20,yes,yes,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6032,0.1684,1
130,20,yes,yes,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.634,0.1712,1
130,20,yes,yes,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.5877,0.1743,1
105,60,yes,no,12.54,21.05,27.89,21.05,178.8,0,8.3,no,no,no,no,yes,1.63,0.4146,0.1737,2
105,60,yes,no,12.54,21.05,27.89,21.05,150.36,0,8.04,no,no,no,no,yes,1.63,0.4303,0.1862,2
105,60,yes,no,12.54,21.05,27.89,21.05,178.8,0,8.82,no,no,no,no,yes,1.63,0.4173,0.171,2
90,24,?,no,13.33,25.78,30.99,25.78,-1,-1,-1,no,no,no,no,yes,1.63,0.3803,0.2028,2
90,24,?,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,no,yes,1.63,0.3714,0.2074,2
90,24,?,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,no,yes,1.63,0.2021,0.1332,2
90,24,?,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.3816,0.2066,2
90,24,?,no,14.51,33.22,32.37,33.22,-1,-1,-1,no,no,no,no,yes,1.63,0.2081,0.143,1
90,24,?,no,9.47,0,0,0,-1,-1,-1,no,no,no,no,yes,1.63,0.3679,0.2066,1
90,24,?,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,no,yes,1.63,0.3098,0.2042,2
90,24,?,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,no,yes,1.63,0.2038,0.1023,2
90,24,?,no,13.33,25.78,30.99,25.78,-1,-1,-1,no,no,no,no,yes,1.63,0.3157,0.2062,2
90,24,?,no,13.33,25.78,30.99,25.78,-1,-1,-1,no,no,no,no,yes,1.63,0.2074,0.1395,2
90,24,?,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,no,yes,1.63,0.205,0.0983,2
90,24,?,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.3135,0.2076,2
120,60,yes,no,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6485,0.1785,2
120,60,yes,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.5169,0.175,2
120,60,yes,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6127,0.1702,2
120,60,yes,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.7336,0.1652,2
120,60,yes,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.8174,0.1718,2
120,60,yes,no,13.52,71.89,112.14,71.89,-1,-1,-1,no,no,no,no,yes,1.63,0.6146,0.1756,2
120,60,yes,no,13.52,71.89,112.14,71.89,-1,-1,-1,no,no,no,no,yes,1.63,0.7188,0.1684,2
120,60,yes,no,13.52,71.89,112.14,71.89,-1,-1,-1,no,no,no,no,yes,1.63,0.9221,0.168,2
150,20,yes,no,10.53,44.25,64.07,44.25,-1,-1,-1,no,no,no,no,yes,1.63,0.6439,0.1708,2
150,20,yes,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,no,yes,1.63,0.6229,0.1721,2
150,20,yes,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,no,yes,1.63,0.6554,0.169,2
130,20,yes,no,12.52,33.22,36.99,33.22,178.8,0,8.3,no,no,no,no,yes,1.63,0.6388,0.169,2
130,20,yes,no,10.62,44.25,58.29,44.25,150.36,0,8.04,no,no,no,no,yes,1.63,0.6159,0.176,2
130,20,yes,no,10.53,44.25,64.07,44.25,150.36,0,8.04,no,no,no,no,yes,1.63,0.6157,0.1728,2
130,20,yes,no,19.47,88.5,128.75,88.5,178.8,0,8.3,no,no,no,no,yes,1.63,0.6116,0.1827,2
130,20,yes,no,26.21,62.96,104.58,62.96,178.8,0,8.3,no,no,no,no,yes,1.63,0.6205,0.1669,2
110,72,?,no,10.27,28.64,30.88,28.64,-1,-1,-1,no,no,no,yes,yes,1.63,0.5203,0.3422,2
110,72,?,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.5343,0.3351,2
110,72,?,no,14.28,7.68,12.27,7.68,-1,-1,-1,no,no,no,yes,yes,1.63,0.5512,0.3366,2
110,72,?,no,15.15,7.68,14.69,7.68,-1,-1,-1,no,no,no,yes,yes,1.63,0.5337,0.3398,1
110,312,?,no,10.27,28.64,30.88,28.64,-1,-1,-1,no,no,no,yes,yes,1.63,0.5143,0.3509,2
110,312,?,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.5183,0.3427,2
110,312,?,no,14.23,28.64,23.05,28.64,-1,-1,-1,no,no,no,yes,yes,1.63,0.5208,0.3448,2
110,312,?,no,14.28,7.68,12.27,7.68,-1,-1,-1,no,no,no,yes,yes,1.63,0.5284,0.3305,2
110,312,?,no,15.15,7.68,14.69,7.68,-1,-1,-1,no,no,no,yes,yes,1.63,0.5168,0.3422,2
90,60,yes,no,10.63,44.25,64.03,44.25,209.93,17.64,9.99,yes,no,no,no,no,1.63,0.2041,0.1937,1
90,60,yes,no,13.33,25.78,30.99,25.78,209.93,17.64,9.99,yes,no,no,no,no,1.63,0.197,0.1454,2
90,60,yes,no,14.23,28.64,23.05,28.64,209.93,17.64,9.99,yes,no,no,no,no,1.63,0.2035,0.1536,2
90,60,yes,no,12.43,33.22,36.59,33.22,209.93,17.64,9.99,yes,no,no,no,no,1.63,0.2104,0.1446,2
90,60,yes,no,11.87,25.78,27.88,25.78,209.93,17.64,9.99,yes,no,no,no,no,1.63,0.2,0.1458,2
90,60,yes,no,18.99,83.92,119.9,83.92,209.93,17.64,9.99,yes,no,no,no,no,1.63,0.2038,0.145,2
90,60,yes,no,9.47,0,0,0,209.93,17.64,9.99,yes,no,no,no,no,1.63,0.1987,0.1466,2
90,60,yes,no,13.8,55.28,96.32,55.28,209.93,17.64,9.99,yes,no,no,no,no,1.63,0.2069,0.1493,2
90,60,yes,no,14.28,7.68,12.27,7.68,209.93,17.64,9.99,yes,no,no,no,no,1.63,0.2041,0.1451,2
90,60,yes,no,15.15,7.68,14.69,7.68,209.93,17.64,9.99,yes,no,no,no,no,1.63,0.1984,0.1454,2
90,60,yes,no,13.24,67.31,104.8,67.31,209.93,17.64,9.99,yes,no,no,no,no,1.63,0.2015,0.1466,2
90,60,yes,no,11.76,33.22,44.53,33.22,209.93,17.64,9.99,yes,no,no,no,no,1.63,0.2066,0.143,2
90,60,yes,no,18.79,86.16,143.27,86.16,209.93,17.64,9.99,yes,no,no,no,no,1.63,0.202,0.1461,2
90,60,yes,no,15.81,47.49,72.75,47.49,209.93,17.64,9.99,yes,no,no,no,no,1.63,0.2063,0.1469,2
110,24,yes,no,10.27,28.64,30.88,28.64,-1,-1,-1,no,no,no,yes,yes,1.63,0.5555,0.3438,2
110,24,yes,no,10.27,28.64,30.88,28.64,-1,-1,-1,no,no,no,yes,yes,1.63,0.5276,0.3407,2
110,24,yes,yes,10.27,28.64,30.88,28.64,-1,-1,-1,no,no,no,yes,yes,1.63,0.5213,0.3416,2
110,24,yes,no,14.23,28.64,23.05,28.64,-1,-1,-1,no,no,no,yes,yes,1.63,0.5227,0.3357,1
110,24,yes,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,yes,yes,1.63,0.5384,0.3352,2
110,24,yes,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.5069,0.342,2
110,24,yes,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.5205,0.3393,2
110,24,yes,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.56,0.3384,2
150,20,yes,no,34.44,24.75,22.43,24.75,-1,-1,-1,no,no,no,no,yes,1.63,0.6159,0.1868,2
150,20,yes,no,34.44,24.75,22.43,24.75,-1,-1,-1,no,no,no,no,yes,1.63,0.614,0.1822,2
90,24,yes,no,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,yes,yes,1.63,0.5076,0.3679,2
90,24,yes,no,13.33,25.78,30.99,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.5127,0.3401,2
90,24,yes,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,yes,yes,1.63,0.5138,0.3383,1
90,24,yes,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.5245,0.3382,2
90,24,yes,no,10.57,33.22,41.81,33.22,-1,-1,-1,no,no,no,yes,yes,1.63,0.5074,0.3416,2
90,24,yes,no,12.17,27.03,45.39,27.03,-1,-1,-1,no,no,no,yes,yes,1.63,0.5194,0.3466,1
