@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R18,48,60,162-163,171,233,250,255,262,273-274'

@attribute orgavgpol_pHdependentMax numeric
@attribute orgavgpolArithAvg numeric
@attribute orgASA+ArithAvg numeric
@attribute inorg-water-moleratio numeric
@attribute org-water-moleratio numeric
@attribute Br {yes,no}
@attribute EAMin numeric
@attribute IonizationMaxWeighted numeric
@attribute AtomicRadiusMaxWeighted numeric
@attribute IonizationMeanWeighted numeric
@attribute AtomicRadiusGeomWeighted numeric
@attribute outcome {1,2,3,4}

@data
13.69,13.33,268.62,0.0092,0.0035,no,50.6,3.4134,0.3736,2.0929,0.2754,4
15.43,14.87,267.29,0.0189,0.0029,no,50.6,5.5955,0.6125,3.1273,0.3257,4
15.34,14.26,196.83,0.0205,0.0031,no,50.6,5.9567,0.652,3.3105,0.3373,3
9.73,9.73,216.3,0.0222,0.0036,no,50.6,6.5173,0.7134,3.5857,0.3501,3
10.63,9.94,188.71,0.0192,0.0029,no,50.6,5.5802,0.6108,3.1447,0.3374,4
13.69,13.33,268.62,0.0172,0.0037,no,50.6,6.2739,0.6867,3.4923,0.3581,4
14.51,13.88,222.38,0.0192,0.003,no,50.6,5.6294,0.6162,3.1586,0.3337,3
14.53,14.02,239.3,0.0219,0.0033,no,50.6,5.944,0.6506,3.3059,0.3379,4
14.53,14.02,239.3,0.0183,0.003,no,50.6,4.928,0.5394,2.7982,0.3078,2
14.53,14.02,239.3,0.0203,0.0029,no,50.6,5.5107,0.6032,3.0759,0.3187,1
14.53,14.02,239.3,0.0144,0.002,no,50.6,5.7922,0.634,3.222,0.3295,1
14.53,14.02,239.3,0.0131,0.0018,no,50.6,5.3885,0.5898,3.033,0.324,1
14.53,14.02,239.3,0.0134,0.0022,no,50.6,5.369,0.5877,3.0163,0.3201,1
12.54,11.97,220.5,0.0102,0.0021,no,50.6,3.8646,0.423,2.2623,0.2708,4
12.54,11.97,220.5,0.0099,0.0023,no,50.6,3.7874,0.4146,2.2242,0.2683,4
12.54,11.97,220.5,0.0103,0.0021,no,50.6,3.9316,0.4303,2.3202,0.2831,4
12.54,11.97,220.5,0.0084,0.0022,no,50.6,2.941,0.3219,1.7991,0.2357,4
12.54,11.97,220.5,0.0101,0.0024,no,50.6,3.812,0.4173,2.2315,0.2671,4
12.54,11.97,220.5,0.0083,0.0021,no,50.6,2.897,0.3171,1.8179,0.2481,4
9.73,9.73,216.3,0.0096,0.0026,no,50.6,3.4134,0.3736,2.1055,0.2798,4
9.73,9.73,216.3,0.0054,0.0028,no,50.6,1.4366,0.2031,1.1048,0.1787,4
13.33,13.33,211.47,0.0098,0.0034,no,50.6,3.4745,0.3803,2.1232,0.2777,4
13.33,13.33,211.47,0.0049,0.0038,no,50.6,1.222,0.2046,1.0005,0.1654,3
10.63,9.94,188.71,0.0096,0.0025,no,50.6,3.3931,0.3714,2.0913,0.2776,4
10.63,9.94,188.71,0.0048,0.0025,no,50.6,1.217,0.2021,0.9931,0.1641,4
15.43,14.87,267.29,0.0098,0.0024,no,50.6,3.4863,0.3816,2.1363,0.2808,4
15.43,14.87,267.29,0.0052,0.0024,no,50.6,1.3594,0.206,1.0718,0.1751,3
14.51,13.88,222.38,0.0098,0.0024,no,50.6,3.5067,0.3838,2.146,0.2814,2
14.51,13.88,222.38,0.0052,0.0025,no,50.6,1.3069,0.2081,1.0495,0.1725,2
9.47,9.47,132.96,0.0096,0.0017,no,50.6,3.3608,0.3679,2.0736,0.2757,2
9.47,9.47,132.96,0.0053,0.0016,no,50.6,1.4137,0.2059,1.0987,0.1785,2
9.73,9.73,216.3,0.0083,0.0029,no,50.6,2.8305,0.3098,1.8039,0.2515,4
9.73,9.73,216.3,0.0043,0.0025,no,50.6,0.9348,0.2038,0.8552,0.1444,4
13.33,13.33,211.47,0.0085,0.0036,no,50.6,2.8838,0.3157,1.8343,0.2551,4
13.33,13.33,211.47,0.0051,0.0057,no,50.6,1.2749,0.2074,1.0322,0.1701,3
10.63,9.94,188.71,0.0083,0.0025,no,50.6,2.8028,0.3068,1.7919,0.2509,4
10.63,9.94,188.71,0.0043,0.0025,no,50.6,0.8983,0.205,0.8394,0.142,4
15.43,14.87,267.29,0.0085,0.0024,no,50.6,2.8642,0.3135,1.8272,0.2551,4
15.43,14.87,267.29,0.0048,0.0023,no,50.6,1.0904,0.2088,0.9426,0.1579,4
14.53,14.02,239.3,0.0217,0.0036,no,50.6,5.8796,0.6436,3.2788,0.3386,4
14.53,14.02,239.3,0.0219,0.0035,no,50.6,5.9245,0.6485,3.302,0.3403,4
15.43,14.87,267.29,0.018,0.003,no,50.6,4.722,0.5169,2.694,0.3007,3
15.43,14.87,267.29,0.0207,0.003,no,50.6,5.598,0.6127,3.1228,0.3229,3
15.43,14.87,267.29,0.0239,0.0031,no,50.6,6.7022,0.7336,3.6655,0.3481,3
15.43,14.87,267.29,0.0264,0.003,no,50.6,7.468,0.8174,4.0609,0.3747,3
15.43,14.87,267.29,0.0293,0.0028,no,50.6,8.4933,0.9297,4.5682,0.3964,4
13.52,12.56,265.65,0.0178,0.0029,no,50.6,4.8136,0.5269,2.7379,0.3027,3
13.52,12.56,265.65,0.021,0.0029,no,50.6,5.615,0.6146,3.1416,0.3285,3
13.52,12.56,265.65,0.0238,0.0039,no,50.6,6.5665,0.7188,3.6037,0.3479,3
13.52,12.56,265.65,0.0266,0.0034,no,50.6,7.5595,0.8275,4.0975,0.3717,4
13.52,12.56,265.65,0.0297,0.0039,no,50.6,8.4246,0.9221,4.5319,0.3936,4
10.53,9.94,188.82,0.0214,0.0028,no,50.6,5.8829,0.6439,3.2666,0.3317,4
10.62,9.88,181.77,0.021,0.0046,no,50.6,5.9771,0.6542,3.3126,0.3338,3
10.63,9.94,188.71,0.0208,0.003,no,50.6,5.6904,0.6229,3.1727,0.3274,4
10.63,9.94,188.71,0.0219,0.0029,no,50.6,5.9873,0.6554,3.3153,0.3328,4
12.52,11.86,211.13,0.0145,0.002,no,50.6,5.8363,0.6388,3.2398,0.3286,4
12.52,11.86,211.13,0.0146,0.0021,no,50.6,5.7201,0.6261,3.1777,0.3233,4
10.62,9.88,181.77,0.0143,0.0036,no,50.6,5.6268,0.6159,3.1484,0.3292,4
10.53,9.94,188.82,0.0141,0.0021,no,50.6,5.6251,0.6157,3.1414,0.3262,4
11.76,11.15,244.26,0.0142,0.0021,no,50.6,5.6752,0.6212,3.1894,0.3389,4
19.47,18.04,337.12,0.014,0.002,no,50.6,5.5878,0.6116,3.1417,0.3343,4
19,17.76,309.3,0.0141,0.0021,no,50.6,5.6082,0.6139,3.1244,0.3214,4
26.21,24.87,358.69,0.014,0.0021,no,50.6,5.6692,0.6205,3.1522,0.3218,3
10.27,9.88,205.41,0.0557,0.0305,no,50.6,4.7533,0.5203,3.028,0.422,4
9.73,9.73,216.3,0.0582,0.0322,no,50.6,4.8814,0.5343,3.0784,0.4231,4
14.23,13.88,228.83,0.0598,0.0287,no,50.6,4.9798,0.5451,3.2564,0.4685,4
14.28,14.02,244.99,0.0588,0.0294,no,50.6,5.0357,0.5512,3.1586,0.4308,4
12.28,11.97,224.12,0.0479,0.0267,no,50.6,4.6974,0.5142,2.9868,0.4152,1
13.36,12.65,211.8,0.0552,0.0299,no,50.6,4.683,0.5126,3.0077,0.4236,4
15.15,14.87,269.11,0.0559,0.0284,no,50.6,4.8755,0.5337,3.0844,0.4258,1
13.24,12.56,247.15,0.056,0.0308,no,50.6,4.733,0.5181,3.006,0.4172,3
10.27,9.88,205.41,0.0519,0.0274,no,50.6,4.6982,0.5143,3.017,0.4248,4
9.73,9.73,216.3,0.0529,0.0303,no,50.6,4.7355,0.5183,3.02,0.4215,4
14.23,13.88,228.83,0.0576,0.0298,no,50.6,4.7584,0.5208,3.0355,0.4238,4
14.28,14.02,244.99,0.0564,0.0291,no,50.6,4.8271,0.5284,3.0425,0.4179,4
12.28,11.97,224.12,0.0523,0.0285,no,50.6,4.7152,0.5161,2.9995,0.4172,4
13.36,12.65,211.8,0.0584,0.03,no,50.6,4.7728,0.5224,3.0565,0.4289,4
15.15,14.87,269.11,0.0576,0.0307,no,50.6,4.7211,0.5168,3.0118,0.4205,3
13.24,12.56,247.15,0.0569,0.0306,no,50.6,4.733,0.5181,3.0176,0.421,2
10.63,9.94,188.71,0.0083,0.0036,no,50.6,1.3691,0.2041,1.0729,0.1988,2
9.73,9.73,216.3,0.0066,0.0035,no,50.6,1.0552,0.2046,0.9171,0.1748,3
13.33,13.33,211.47,0.007,0.0055,no,50.6,1.0278,0.197,0.8889,0.1693,3
14.23,13.88,228.83,0.0073,0.0035,no,50.6,1.0854,0.2035,0.93,0.1768,3
10.27,9.88,205.41,0.0072,0.0051,no,50.6,1.0737,0.201,0.9193,0.1747,3
12.43,11.75,193.85,0.007,0.0039,no,50.6,1.0219,0.2104,0.9113,0.1744,4
11.87,11.87,236.4,0.007,0.0037,no,50.6,1.0301,0.2,0.8957,0.1707,3
13.01,12.65,214.35,0.0071,0.0052,no,50.6,1.0274,0.205,0.9039,0.1726,3
18.99,18.04,330.78,0.0071,0.0035,no,50.6,1.025,0.2038,0.9003,0.1719,3
9.47,9.47,132.96,0.0069,0.0024,no,50.6,1.036,0.1987,0.8962,0.1707,3
9.74,9.06,194.24,0.0072,0.0036,no,50.6,1.0654,0.2071,0.927,0.1767,3
13.8,13.11,233.22,0.007,0.0036,no,50.6,1.0549,0.2069,0.9211,0.1757,3
15.86,15.18,258.26,0.0083,0.0036,no,50.6,1.4201,0.2009,1.0896,0.2002,3
12.28,11.97,224.12,0.0071,0.0037,no,50.6,1.0356,0.2063,0.9104,0.1739,3
