@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R18,48,60,162-163,171,233,250,255,262,273-274'

@attribute orgavgpol_pHdependentMax numeric
@attribute orgavgpolArithAvg numeric
@attribute orgASA+ArithAvg numeric
@attribute inorg-water-moleratio numeric
@attribute org-water-moleratio numeric
@attribute Br {yes,no}
@attribute EAMin numeric
@attribute IonizationMaxWeighted numeric
@attribute AtomicRadiusMaxWeighted numeric
@attribute IonizationMeanWeighted numeric
@attribute AtomicRadiusGeomWeighted numeric
@attribute outcome {1,2,3,4}

@data
12.24,11.86,215.51,0.0025,0.0025,no,50.6,0.5433,0.1071,0.4756,0.0908,3
12.24,11.86,215.51,0.0037,0.0013,no,50.6,1.0882,0.154,0.7454,0.1276,3
12.24,11.86,215.51,0.0043,0.0007,no,50.6,1.1638,0.3057,0.7435,0.1183,3
12.24,11.86,215.51,0.0038,0.0017,no,50.6,0.8621,0.2265,0.6996,0.1312,3
12.24,11.86,215.51,0.0042,0.0008,no,50.6,1.1269,0.2961,0.7243,0.1161,3
9.4,7.18,180.175,0.0062,0.1958,no,50.6,1.2969,0.3407,0.9595,0.1732,4
9.4,7.18,180.175,0.0065,0.196,no,50.6,1.2998,0.3415,1.0035,0.1849,4
9.4,7.18,180.175,0.0067,0.1958,no,50.6,1.3055,0.343,1.0272,0.1906,3
9.4,7.18,180.175,0.0074,0.1957,no,50.6,1.3127,0.3449,1.1061,0.2095,4
9.74,7.18,181.11,0.0187,1.8449,no,50.6,1.0121,0.2659,1.0121,0.2659,4
9.74,7.18,181.11,0.0095,0.7677,no,50.6,1.0278,0.27,1.0278,0.27,4
9.74,7.18,181.11,0.0063,0.4095,no,50.6,1.0278,0.27,1.0278,0.27,4
9.74,7.18,181.11,0.0047,0.2299,no,50.6,1.0257,0.2695,1.0257,0.2695,4
9.74,7.18,181.11,0.0038,0.1204,no,50.6,1.0164,0.267,1.0164,0.267,4
9.74,7.18,181.11,0.0031,0.0506,no,50.6,1.0214,0.2683,1.0214,0.2683,4
9.4,7.18,180.175,0.0063,0.1068,no,50.6,1.06,0.2785,0.7475,0.1309,4
9.4,7.18,180.175,0.0079,0.1077,no,50.6,1.342,0.3526,0.9399,0.1638,4
9.4,7.18,180.175,0.0067,0.1067,no,50.6,1.322,0.3473,0.8289,0.1285,4
9.4,7.18,180.175,0.0088,0.1079,no,50.6,1.3148,0.3454,1.0107,0.1858,4
9.4,7.18,180.175,0.004,0.1012,no,50.6,1.0378,0.2727,0.7484,0.1331,3
9.4,7.18,180.175,0.005,0.1015,no,50.6,1.3306,0.3496,0.9418,0.1654,4
9.4,7.18,180.175,0.0042,0.1012,no,50.6,1.3177,0.3462,0.8295,0.1293,4
9.4,7.18,180.175,0.0055,0.1013,no,50.6,1.3084,0.3437,1.0088,0.1857,4
9.4,7.18,180.175,0.0052,0.1015,no,50.6,1.2969,0.3407,0.9745,0.1773,4
9.4,7.18,180.175,0.0055,0.1016,no,50.6,1.2941,0.34,1.0166,0.1886,4
9.4,7.18,180.175,0.0085,0.1069,no,50.6,1.3012,0.3418,0.9833,0.1794,3
9.4,7.18,180.175,0.0089,0.1067,no,50.6,1.2955,0.3403,1.0187,0.189,4
9.4,7.18,180.175,0.0101,0.5056,no,50.6,1.2962,0.3405,0.9727,0.1769,4
9.4,7.18,180.175,0.0107,0.5053,no,50.6,1.2955,0.3403,1.0163,0.1884,3
14.2,9.63,203.95,0.0059,0.3107,no,50.6,1.0557,0.2774,0.7403,0.1291,4
14.2,9.63,203.95,0.005,0.311,no,50.6,1.0443,0.2743,0.6594,0.1032,4
14.2,9.63,203.95,0.0054,0.3113,no,50.6,1.0436,0.2742,0.696,0.1162,4
14.2,9.63,203.95,0.0054,0.3102,no,50.6,1.0486,0.2755,0.6971,0.1161,4
7.42,7.08,174.09,0.0085,0.0125,no,50.6,2.6144,0.3699,1.7265,0.2855,2
7.42,7.08,174.09,0.0085,0.0127,no,50.6,2.5899,0.3665,1.7199,0.286,2
13.01,12.65,214.35,0.0083,0.0119,no,50.6,2.6068,0.3688,1.7238,0.2854,3
13.01,12.65,214.35,0.0086,0.0121,no,50.6,2.6008,0.368,1.7269,0.2872,4
9.06,9.06,177.86,0.0085,0.012,no,50.6,2.6003,0.3679,1.7261,0.287,4
9.06,9.06,177.86,0.0086,0.012,no,50.6,2.615,0.37,1.73,0.2866,3
9.73,9.73,216.3,0.0082,0.0125,no,50.6,2.6057,0.3687,1.7403,0.2911,4
9.73,9.73,216.3,0.0085,0.0132,no,50.6,2.597,0.3675,1.7181,0.2846,4
17.76,17.76,315.94,0.0086,0.012,no,50.6,2.6014,0.3681,1.7224,0.2856,3
17.76,17.76,315.94,0.0087,0.012,no,50.6,2.6095,0.3692,1.7358,0.2892,3
9.88,9.88,215.15,0.0086,0.012,no,50.6,2.6063,0.3688,1.7227,0.2851,3
9.88,9.88,215.15,0.0086,0.012,no,50.6,2.6123,0.3696,1.7263,0.2856,3
7.42,6.19,171.035,0.0054,0.3107,no,50.6,1.312,0.3447,0.8751,0.1462,4
7.42,6.19,171.035,0.0055,0.3115,no,50.6,1.3148,0.3454,0.8838,0.1487,4
10.27,7.59,186.695,0.0055,0.3101,no,50.6,1.3127,0.3449,0.8833,0.1488,4
10.27,7.59,186.695,0.0055,0.3099,no,50.6,1.3163,0.3458,0.8829,0.1483,4
13.01,8.975,191.165,0.0054,0.3108,no,50.6,1.284,0.3373,0.8668,0.1465,3
13.01,8.975,191.165,0.0054,0.3127,no,50.6,1.3034,0.3424,0.8708,0.1457,2
13.01,8.975,191.165,0.0054,0.3105,no,50.6,1.3005,0.3417,0.8764,0.1479,3
13.01,8.975,191.165,0.0055,0.3128,no,50.6,1.3148,0.3454,0.8771,0.1465,3
9.74,7.18,181.11,0.0055,0.3106,no,50.6,1.312,0.3447,0.8831,0.1488,4
9.74,7.18,181.11,0.0054,0.3101,no,50.6,1.2976,0.3409,0.8734,0.1472,4
9.4,7.18,180.175,0.0054,0.3115,no,50.6,1.2955,0.3403,0.8676,0.1455,4
9.4,7.18,180.175,0.0054,0.3136,no,50.6,1.2969,0.3407,0.8729,0.1471,4
9.73,7.515,192.14,0.0054,0.3108,no,50.6,1.3105,0.3443,0.8759,0.1466,3
9.73,7.515,192.14,0.0054,0.314,no,50.6,1.3019,0.342,0.8707,0.1458,3
9.73,7.515,192.14,0.0054,0.3127,no,50.6,1.2876,0.3383,0.8657,0.1457,3
9.73,7.515,192.14,0.0054,0.3131,no,50.6,1.3105,0.3443,0.8779,0.1473,3
9.06,9.06,177.86,0.0104,0.0052,no,50.6,1.7598,0.3421,1.5309,0.2918,3
13.52,12.56,265.65,0.0072,0.0035,no,50.6,1.739,0.339,1.5146,0.2888,3
12.56,12.56,274.38,0.0072,0.0036,no,50.6,1.7359,0.3464,1.5272,0.2917,1
12.56,12.56,274.38,0.0072,0.0036,no,50.6,1.7484,0.3402,1.5217,0.2901,1
13.24,12.56,247.15,0.0218,0.0113,no,50.6,1.0356,0.2108,0.919,0.1757,4
18.79,17.76,293.38,0.0216,0.011,no,50.6,1.0396,0.2052,0.9103,0.1737,4
9.73,9.73,216.3,0.0216,0.0119,no,50.6,1.0529,0.2022,0.9113,0.1736,3
12.28,11.97,224.12,0.0219,0.0113,no,50.6,1.0666,0.206,0.9254,0.1763,3
9.74,9.06,194.24,0.0215,0.0105,no,50.6,1.0486,0.2024,0.9094,0.1733,4
15.86,15.18,258.26,0.0073,0.0035,no,50.6,1.0364,0.2097,0.9172,0.1753,4
15.36,15.1,276.46,0.0073,0.0035,no,50.6,1.0764,0.2028,0.9242,0.1757,1
15.15,14.87,269.11,0.0072,0.0034,no,50.6,1.0356,0.2042,0.9064,0.173,4
14.26,14.26,200.46,0.0072,0.0036,no,50.6,1.0415,0.2028,0.9067,0.1729,3
18.69,18.04,324.71,0.0073,0.0037,no,50.6,1.0576,0.208,0.9246,0.1764,4
13.01,12.65,214.35,0.0072,0.0038,no,50.6,1.0341,0.2039,0.9051,0.1727,1
14.06,13.71,189.97,0.0071,0.0037,no,50.6,1.0219,0.205,0.9012,0.1722,4
14.2,13.96,239.92,0.0073,0.0036,no,50.6,1.0474,0.2121,0.9273,0.1773,4
14.28,14.02,244.99,0.0071,0.0036,no,50.6,1.029,0.2025,0.8999,0.1717,1
11.87,11.87,236.4,0.0071,0.0038,no,50.6,1.0352,0.2035,0.9049,0.1726,1
14.23,13.88,228.83,0.0073,0.0036,no,50.6,1.0454,0.2084,0.9194,0.1756,4
25.55,24.87,370.3,0.0071,0.0037,no,50.6,1.0317,0.2028,0.9018,0.1721,3
7.08,7.08,192.82,0.0086,0.0128,no,50.6,2.5883,0.3662,1.7188,0.2859,4
7.08,7.08,192.82,0.0086,0.0126,no,50.6,2.6074,0.3689,1.7273,0.2865,4
7.08,7.08,192.82,0.0086,0.0128,no,50.6,2.6291,0.372,1.7339,0.2863,4
9.4,9.06,192.37,0.0086,0.012,no,50.6,2.6095,0.3692,1.7262,0.2859,1
9.4,9.06,192.37,0.0085,0.012,no,50.6,2.591,0.3666,1.7164,0.2847,1
9.4,9.06,192.37,0.0084,0.0119,no,50.6,2.6133,0.3698,1.7281,0.2862,1
17.76,17.76,315.94,0.0086,0.012,no,50.6,2.6014,0.3681,1.7197,0.2847,2
17.76,17.76,315.94,0.0085,0.012,no,50.6,2.5926,0.3668,1.7167,0.2847,2
17.76,17.76,315.94,0.0085,0.0118,no,50.6,2.6079,0.369,1.723,0.285,2
12.28,11.97,224.12,0.0085,0.0119,no,50.6,2.6063,0.3688,1.7246,0.2858,3
12.28,11.97,224.12,0.0085,0.012,no,50.6,2.6193,0.3706,1.7298,0.286,3
12.28,11.97,224.12,0.0085,0.0123,no,50.6,2.6144,0.3699,1.7297,0.2866,3
9.47,9.47,132.96,0.0085,0.008,no,50.6,2.6106,0.3694,1.7308,0.2874,3
9.47,9.47,132.96,0.0086,0.0081,no,50.6,2.6144,0.3699,1.7289,0.2863,3
9.47,9.47,132.96,0.0086,0.0081,no,50.6,2.6063,0.3688,1.7275,0.2868,3
16.42,10.86,229.175,0.0054,0.3114,no,50.6,1.3213,0.3471,0.8866,0.149,1
16.42,10.86,229.175,0.0055,0.3188,no,50.6,1.327,0.3486,0.8855,0.148,1
16.42,10.86,229.175,0.0054,0.3091,no,50.6,1.3184,0.3464,0.8844,0.1486,1
12.28,8.635,196.05,0.0055,0.3114,no,50.6,1.3313,0.3497,0.8922,0.1497,1
11.97,8.635,199.885,0.0053,0.3105,no,50.6,1.2948,0.3402,0.8706,0.1466,1
11.97,8.635,199.885,0.0054,0.313,no,50.6,1.3241,0.3479,0.8837,0.1477,1
12.54,8.635,194.24,0.0054,0.3096,no,50.6,1.3127,0.3449,0.885,0.1494,1
15.15,10.085,218.545,0.0053,0.3026,no,50.6,1.3141,0.3452,0.8865,0.1497,1
14.87,10.085,219.145,0.0054,0.314,no,50.6,1.3062,0.3432,0.8738,0.1464,1
14.87,10.085,219.145,0.0055,0.3087,no,50.6,1.3077,0.3435,0.8816,0.1488,1
15.43,10.085,217.635,0.0057,0.3121,no,50.6,1.3764,0.3616,0.9179,0.1533,1
13.96,9.63,208.735,0.0055,0.3118,no,50.6,1.3091,0.3439,0.8813,0.1486,1
14.2,9.63,203.95,0.0054,0.3088,no,50.6,1.3184,0.3464,0.8865,0.1493,1
13.96,9.63,208.735,0.0055,0.3142,no,50.6,1.3134,0.345,0.8862,0.1497,1
14.5,9.63,202.25,0.0054,0.3108,no,50.6,1.2969,0.3407,0.8748,0.1477,1
10.27,7.59,186.695,0.0046,0.2584,no,50.6,1.3213,0.3471,0.8907,0.1503,4
10.27,7.59,186.695,0.0053,0.3057,no,50.6,1.2934,0.3398,0.8703,0.1466,4
13.01,8.975,191.165,0.0054,0.3065,no,50.6,1.3198,0.3467,0.8923,0.151,3
13.01,8.975,191.165,0.0055,0.3108,no,50.6,1.332,0.3499,0.8963,0.151,3
11.75,8.185,196.945,0.0055,0.3204,no,50.6,1.3055,0.343,0.8862,0.1505,4
11.75,8.185,196.945,0.0054,0.2994,no,50.6,1.3384,0.3516,0.9026,0.1524,4
9.73,7.515,192.14,0.0048,0.2761,no,50.6,1.3155,0.3456,0.8849,0.149,3
9.73,7.515,192.14,0.0054,0.3094,no,50.6,1.2862,0.3379,0.8832,0.1515,4
15.15,10.085,218.545,0.0051,0.2967,no,50.6,1.2926,0.3396,0.8687,0.1462,4
15.15,10.085,218.545,0.0057,0.3154,no,50.6,1.2955,0.3403,0.9118,0.1595,3
13.8,9.205,200.6,0.0054,0.3122,no,50.6,1.3112,0.3445,0.8767,0.1468,3
13.8,9.205,200.6,0.0057,0.307,no,50.6,1.3356,0.3509,0.9381,0.1638,2
11.45,8.225,204.42,0.0056,0.311,no,50.6,1.3306,0.3496,0.9107,0.1558,4
11.45,8.225,204.42,0.0054,0.3062,no,50.6,1.3342,0.3505,0.8852,0.1471,4
15.44,10.225,224.38,0.0053,0.3108,no,50.6,1.2984,0.3411,0.8691,0.1457,4
15.44,10.225,224.38,0.0052,0.2997,no,50.6,1.3034,0.3424,0.871,0.1458,4
11.76,8.225,206.12,0.0055,0.3098,no,50.6,1.2948,0.3402,0.8798,0.1496,1
11.76,8.225,206.12,0.0046,0.2617,no,50.6,1.2883,0.3385,0.8754,0.1488,2
15.85,10.225,223.905,0.0054,0.3125,no,50.6,1.2833,0.3371,0.8645,0.1458,1
15.85,10.225,223.905,0.0053,0.3051,no,50.6,1.2984,0.3411,0.8728,0.1469,2
15.85,10.225,223.905,0.0052,0.2941,no,50.6,1.3198,0.3467,0.8876,0.1495,1
10.57,7.59,185.68,0.0053,0.3001,no,50.6,1.3077,0.3435,0.8776,0.1475,2
10.57,7.59,185.68,0.0053,0.3036,no,50.6,1.2883,0.3385,0.8719,0.1477,3
13.36,8.975,189.89,0.0052,0.2984,no,50.6,1.2926,0.3396,0.8689,0.1463,1
13.36,8.975,189.89,0.0052,0.2935,no,50.6,1.3027,0.3422,0.8869,0.151,4
11.75,8.185,196.945,0.0054,0.3044,no,50.6,1.3098,0.3441,0.8869,0.1503,1
11.75,8.185,196.945,0.0054,0.301,no,50.6,1.3062,0.3432,0.9061,0.1568,4
9.73,7.515,192.14,0.0055,0.2959,no,50.6,1.3134,0.345,0.9223,0.161,1
9.73,7.515,192.14,0.005,0.2875,no,50.6,1.3241,0.3479,0.8819,0.1471,2
9.73,7.515,192.14,0.0055,0.3121,no,50.6,1.3077,0.3435,0.8874,0.1507,2
15.43,10.085,217.635,0.0054,0.3089,no,50.6,1.2955,0.3403,0.8706,0.1465,1
15.43,10.085,217.635,0.0053,0.2905,no,50.6,1.3206,0.3469,0.9004,0.1535,2
15.43,10.085,217.635,0.005,0.281,no,50.6,1.3019,0.342,0.8875,0.1513,3
13.8,9.205,200.6,0.0052,0.2989,no,50.6,1.3105,0.3443,0.8779,0.1473,1
9.4,7.18,180.175,0.0049,0.2885,no,50.6,1.2912,0.3392,0.867,0.1458,4
9.74,7.18,181.11,0.0054,0.312,no,50.6,1.2941,0.34,0.871,0.1468,3
9.74,7.18,181.11,0.0055,0.3141,no,50.6,1.2869,0.3381,0.8778,0.1498,4
9.4,7.18,180.175,0.0045,0.2676,no,50.6,1.2948,0.3402,0.8655,0.1449,4
9.74,7.18,181.11,0.0053,0.3054,no,50.6,1.2962,0.3405,0.8703,0.1463,3
11.75,8.185,196.945,0.0054,0.306,no,50.6,1.3048,0.3428,0.8848,0.1502,4
11.75,8.185,196.945,0.0054,0.3082,no,50.6,1.2948,0.3402,0.8769,0.1486,3
11.75,8.185,196.945,0.0052,0.2978,no,50.6,1.2926,0.3396,0.8711,0.147,3
11.75,8.185,196.945,0.0052,0.2948,no,50.6,1.3248,0.3481,0.8843,0.1478,4
11.75,8.185,196.945,0.0053,0.3148,no,50.6,1.3313,0.3497,0.8928,0.1499,4
11.75,8.185,196.945,0.0102,0.3675,no,50.6,1.3342,0.3505,0.8909,0.149,3
11.75,8.185,196.945,0.0054,0.3102,no,50.6,1.3198,0.3467,0.8872,0.1494,4
11.07,8.185,185.14,0.0103,0.3027,no,50.6,1.2984,0.3411,0.8767,0.1482,3
13.11,9.205,197.56,0.0052,0.3025,no,50.6,1.2955,0.3403,0.8727,0.1472,3
13.11,9.205,197.56,0.0106,0.3117,no,50.6,1.2891,0.3387,0.8685,0.1465,3
13.8,9.205,200.6,0.0054,0.3177,no,50.6,1.3012,0.3418,0.8734,0.1468,3
13.11,9.205,197.56,0.0101,0.2923,no,50.6,1.3062,0.3432,0.8814,0.1489,3
15.18,10.24,210.15,0.0054,0.3107,no,50.6,1.2941,0.34,0.8755,0.1483,3
15.86,10.24,213.12,0.0107,0.3107,no,50.6,1.2934,0.3398,0.8732,0.1476,3
15.86,10.24,213.12,0.0054,0.3092,no,50.6,1.3098,0.3441,0.8785,0.1476,4
15.86,10.24,213.12,0.0095,0.2723,no,50.6,1.3062,0.3432,0.8777,0.1477,3
11.75,8.185,196.945,0.0057,0.3138,no,50.6,1.3256,0.3482,0.9095,0.1559,3
11.75,8.185,196.945,0.0055,0.1643,no,50.6,1.2948,0.3402,0.8906,0.153,3
11.75,8.185,196.945,0.0092,0.315,no,50.6,1.3346,0.3506,0.892,0.1493,3
11.07,8.185,185.14,0.018,0.3057,no,50.6,1.3346,0.3506,0.8971,0.151,4
15.86,10.24,213.12,0.0053,0.3197,no,50.6,1.2962,0.3405,0.8679,0.1455,4
15.86,10.24,213.12,0.0058,0.3142,no,50.6,1.3084,0.3437,0.9219,0.1614,4
15.18,10.24,210.15,0.0092,0.3129,no,50.6,1.3196,0.3467,0.8954,0.152,3
15.18,10.24,210.15,0.009,0.3154,no,50.6,1.3084,0.3437,0.8873,0.1506,3
18.01,11.475,227.375,0.0055,0.315,no,50.6,1.2962,0.3405,0.8812,0.1499,3
18.01,11.475,227.375,0.0077,0.2205,no,50.6,1.3012,0.3418,0.8848,0.1505,3
18.01,11.475,227.375,0.009,0.3153,no,50.6,1.3164,0.3458,0.878,0.1467,4
17.65,11.475,229.655,0.0181,0.3112,no,50.6,1.3004,0.3416,0.8945,0.1537,4
13.33,9.315,189.725,0.0054,0.3073,no,50.6,1.3091,0.3439,0.8842,0.1495,3
13.33,9.315,189.725,0.0106,0.3221,no,50.6,1.3091,0.3439,0.8797,0.148,3
13.33,9.315,189.725,0.0054,0.3162,no,50.6,1.3198,0.3467,0.8872,0.1494,2
13.33,9.315,189.725,0.0054,0.3155,no,50.6,1.3019,0.342,0.8752,0.1473,3
9.73,7.515,192.14,0.0054,0.31,no,50.6,1.2984,0.3411,0.8785,0.1488,4
9.73,7.515,192.14,0.011,0.3198,no,50.6,1.2955,0.3403,0.8763,0.1484,4
9.73,7.515,192.14,0.0053,0.3189,no,50.6,1.3027,0.3422,0.8792,0.1486,3
9.73,7.515,192.14,0.0051,0.3208,no,50.6,1.3019,0.342,0.872,0.1463,4
15.86,15.18,258.26,0.0076,0.0024,no,50.6,1.0972,0.2203,0.9679,0.1849,1
15.15,14.87,269.11,0.0071,0.0043,no,50.6,1.0529,0.2039,0.9145,0.1743,1
14.23,13.88,228.83,0.0075,0.0035,no,50.6,1.0227,0.2293,0.9477,0.1822,3
14.93,14.59,198.3,0.0074,0.0024,no,50.6,1.0941,0.2149,0.956,0.1824,4
25.55,24.87,370.3,0.0077,0.0026,no,50.6,1.0941,0.2272,0.9794,0.1875,1
15.81,15.28,259.02,0.0073,0.0024,no,50.6,1.0631,0.2126,0.9362,0.1788,1
14.93,14.59,198.3,0.0078,0.0024,no,50.6,1.1376,0.2196,0.9868,0.188,1
14.93,14.59,198.3,0.0056,0.0025,no,50.6,1.0823,0.1531,0.7405,0.1267,1
14.93,14.59,198.3,0.006,0.0025,no,50.6,0.8045,0.2113,0.7273,0.1394,1
25.55,24.87,370.3,0.0076,0.0025,no,50.6,1.0886,0.2199,0.9628,0.184,1
25.55,24.87,370.3,0.0056,0.0025,no,50.6,1.0729,0.1518,0.7425,0.1282,1
25.55,24.87,370.3,0.0057,0.0026,no,50.6,0.8157,0.2143,0.6919,0.1312,1
15.81,15.28,259.02,0.0077,0.0025,no,50.6,1.1141,0.2184,0.9726,0.1855,1
15.81,15.28,259.02,0.0055,0.003,no,50.6,1.0607,0.1501,0.7343,0.1268,1
15.81,15.28,259.02,0.0058,0.0027,no,50.6,0.8621,0.2265,0.6933,0.1296,1
15.86,15.18,258.26,0.0076,0.0024,no,50.6,1.0827,0.2179,0.9561,0.1827,4
15.86,15.18,258.26,0.0067,0.0024,no,50.6,1.1294,0.1598,0.8636,0.1584,4
15.86,15.18,258.26,0.0057,0.0029,no,50.6,0.8328,0.2188,0.681,0.128,3
15.15,14.87,269.11,0.0073,0.0035,no,50.6,1.0741,0.2032,0.9238,0.1757,4
15.15,14.87,269.11,0.0056,0.0035,no,50.6,1.0733,0.1519,0.7411,0.1277,3
15.15,14.87,269.11,0.0054,0.0036,no,50.6,0.7559,0.1986,0.6545,0.1247,4
14.23,13.88,228.83,0.0074,0.0035,no,50.6,1.067,0.2109,0.9349,0.1785,1
14.23,13.88,228.83,0.0058,0.0036,no,50.6,1.0654,0.1508,0.7644,0.1355,1
14.23,13.88,228.83,0.0055,0.0035,no,50.6,0.7943,0.2087,0.6655,0.1259,1
14.93,14.59,198.3,0.0073,0.0024,no,50.6,1.0803,0.2258,0.9699,0.1858,1
14.93,14.59,198.3,0.0075,0.0025,no,50.6,1.1113,0.2121,0.9592,0.1826,1
14.93,14.59,198.3,0.0072,0.0024,no,50.6,1.0733,0.2115,0.9392,0.1792,1
14.93,14.59,198.3,0.0074,0.0025,no,50.6,1.0709,0.2118,0.9385,0.1791,1
14.93,14.59,198.3,0.0056,0.0025,no,50.6,0.8007,0.2104,0.6763,0.1282,1
14.93,14.59,198.3,0.0055,0.0026,no,50.6,1.069,0.1513,0.7339,0.1259,1
14.93,14.59,198.3,0.0054,0.0025,no,50.6,0.805,0.2115,0.6518,0.1221,1
14.93,14.59,198.3,0.0056,0.0024,no,50.6,1.0682,0.1511,0.7383,0.1273,1
14.93,14.59,198.3,0.0054,0.0025,no,50.6,0.8365,0.2198,0.637,0.1166,1
14.93,14.59,198.3,0.0052,0.0025,no,50.6,1.0796,0.1528,0.7023,0.1142,1
14.93,14.59,198.3,0.005,0.0026,no,50.6,0.8114,0.2132,0.5873,0.1047,1
14.93,14.59,198.3,0.0053,0.0024,no,50.6,1.0851,0.1535,0.723,0.1206,1
14.93,14.59,198.3,0.0049,0.003,no,50.6,0.821,0.2157,0.5715,0.0991,1
14.93,14.59,198.3,0.0048,0.0028,no,50.6,1.0666,0.1509,0.6529,0.0974,1
14.93,14.59,198.3,0.0048,0.0028,no,50.6,0.8392,0.2205,0.5502,0.0903,1
14.93,14.59,198.3,0.0045,0.0025,no,50.6,1.0733,0.1519,0.629,0.0858,1
14.93,14.59,198.3,0.0044,0.0024,no,50.6,0.7933,0.2084,0.4967,0.0768,1
14.93,14.59,198.3,0.0044,0.0023,no,50.6,1.1149,0.1577,0.637,0.0812,1
15.86,15.18,258.26,0.0072,0.0029,no,50.6,1.0741,0.1965,0.911,0.1728,1
15.86,15.18,258.26,0.0073,0.0024,no,50.6,1.065,0.2007,0.9145,0.1739,1
15.86,15.18,258.26,0.0071,0.0031,no,50.6,1.0133,0.2025,0.8921,0.1704,1
15.86,15.18,258.26,0.0068,0.0025,no,50.6,1.049,0.1977,0.9008,0.1713,1
15.86,15.18,258.26,0.0069,0.0026,no,50.6,1.025,0.1963,0.8862,0.1688,1
15.86,15.18,258.26,0.0076,0.0026,no,50.6,1.0172,0.2464,0.9776,0.1883,1
15.86,15.18,258.26,0.0072,0.0024,no,50.6,1.0607,0.2038,0.9182,0.1749,1
15.86,15.18,258.26,0.0076,0.0033,no,50.6,1.0541,0.228,0.961,0.1844,1
15.86,15.18,258.26,0.0072,0.0028,no,50.6,1.0435,0.2056,0.913,0.1742,1
15.86,15.18,258.26,0.0072,0.0024,no,50.6,1.0929,0.2064,0.9394,0.1787,1
15.15,14.87,269.11,0.0071,0.0035,no,50.6,1.0376,0.2031,0.9053,0.1727,1
15.15,14.87,269.11,0.007,0.0035,no,50.6,1.0199,0.2101,0.9098,0.1741,1
15.15,14.87,269.11,0.0073,0.0036,no,50.6,1.0552,0.2098,0.9269,0.177,1
15.15,14.87,269.11,0.0069,0.0038,no,50.6,1.0611,0.198,0.9074,0.1724,1
15.15,14.87,269.11,0.0073,0.0036,no,50.6,1.0294,0.2167,0.9271,0.1776,1
15.15,14.87,269.11,0.0069,0.0033,no,50.6,1.0148,0.2059,0.8993,0.1719,1
15.15,14.87,269.11,0.007,0.0035,no,50.6,1.018,0.2008,0.8912,0.1701,1
15.15,14.87,269.11,0.0073,0.0037,no,50.6,1.0862,0.2049,0.9331,0.1775,1
15.15,14.87,269.11,0.0074,0.0035,no,50.6,1.0694,0.2174,0.9484,0.1814,1
15.15,14.87,269.11,0.0071,0.0035,no,50.6,1.0435,0.1996,0.9016,0.1717,1
15.15,14.87,269.11,0.0072,0.0036,no,50.6,1.0564,0.2027,0.9139,0.174,1
15.15,14.87,269.11,0.0073,0.0035,no,50.6,1.0392,0.2094,0.9181,0.1755,1
15.15,14.87,269.11,0.0074,0.0037,no,50.6,1.0423,0.2195,0.9389,0.1799,1
15.15,14.87,269.11,0.0071,0.0033,no,50.6,1.0411,0.2048,0.9103,0.1737,1
15.15,14.87,269.11,0.0078,0.0035,no,50.6,1.0282,0.2458,0.982,0.1891,1
15.15,14.87,269.11,0.0072,0.0034,no,50.6,1.0552,0.2177,0.9419,0.1803,1
15.15,14.87,269.11,0.0071,0.0037,no,50.6,1.0341,0.2028,0.903,0.1723,1
15.15,14.87,269.11,0.0071,0.0035,no,50.6,1.0246,0.2032,0.8991,0.1716,1
15.15,14.87,269.11,0.0071,0.0038,no,50.6,1.0345,0.206,0.9093,0.1737,1
15.15,14.87,269.11,0.007,0.0042,no,50.6,1.0521,0.2043,0.9149,0.1744,1
15.15,14.87,269.11,0.0071,0.0035,no,50.6,1.0368,0.2084,0.915,0.1749,1
15.15,14.87,269.11,0.0071,0.0036,no,50.6,1.0364,0.2034,0.9052,0.1727,1
15.15,14.87,269.11,0.0073,0.0036,no,50.6,1.0427,0.2168,0.934,0.1789,1
15.15,14.87,269.11,0.007,0.0039,no,50.6,1.0356,0.2073,0.9123,0.1743,1
15.15,14.87,269.11,0.0072,0.0034,no,50.6,1.0517,0.2049,0.9158,0.1746,1
15.15,14.87,269.11,0.0072,0.0035,no,50.6,1.0372,0.208,0.9144,0.1747,1
15.86,15.18,258.26,0.0072,0.0027,no,50.6,1.0286,0.209,0.912,0.1744,1
15.86,15.18,258.26,0.0073,0.0027,no,50.6,1.0576,0.2052,0.9193,0.1752,1
15.86,15.18,258.26,0.0073,0.0023,no,50.6,1.0592,0.2192,0.9468,0.1812,1
15.86,15.18,258.26,0.0074,0.0025,no,50.6,1.0533,0.2118,0.9297,0.1777,1
15.86,15.18,258.26,0.0074,0.0024,no,50.6,1.0474,0.2179,0.9385,0.1797,1
15.86,15.18,258.26,0.0068,0.0024,no,50.6,1.0309,0.2003,0.8966,0.1709,1
15.86,15.18,258.26,0.0071,0.0025,no,50.6,1.0333,0.2118,0.9197,0.176,1
15.86,15.18,258.26,0.007,0.0027,no,50.6,1.0388,0.1976,0.8955,0.1704,1
15.86,15.18,258.26,0.007,0.0029,no,50.6,1.0294,0.2008,0.8969,0.171,1
15.86,15.18,258.26,0.0072,0.0023,no,50.6,1.0274,0.2251,0.9421,0.1809,1
15.86,15.18,258.26,0.0072,0.0024,no,50.6,1.0576,0.2034,0.9158,0.1744,1
15.86,15.18,258.26,0.0069,0.0024,no,50.6,1.0454,0.199,0.9015,0.1716,1
